,Model Type,seed,Held-out AuROC,Held-out AuPRC,Early Stopping Metric
0,RCSumPool,1535,0.9822953812251015,0.961591224849664,auroc
1,RCSumPoolBias,1535,0.9839814424110696,0.9651294521654818,auroc
2,RCWeight,1535,0.984606314446192,0.9675862719662331,auroc
3,Siamese,1535,0.9792322927963368,0.9594190666310403,auroc
4,Standard,1535,0.9776558033513951,0.9548124081400013,auroc
5,AugWithin,1535,0.9726558550491625,0.9445639378831595,auroc
6,AugOut100,1535,0.9759370977348102,0.9501163021280636,auroc
7,AugOutDouble,1535,0.9719182887622593,0.9438258778648556,auroc
8,NStandard,1535,0.9757971266742056,0.9509571374608647,auroc
9,NAugWithin,1535,0.9798737752123603,0.9591292653485471,auroc
10,NAugOut100,1535,0.9758819161742289,0.9501007950220791,auroc
11,NAugOutDouble,1535,0.9787100163143015,0.9557947211243986,auroc
12,RCSumPool,9999,0.9854186231461727,0.9688588064112915,auroc
13,RCSumPoolBias,9999,0.9856041071665647,0.969176119531295,auroc
14,RCWeight,9999,0.9871988413644283,0.971241416805969,auroc
15,Siamese,9999,0.9792126029144707,0.9587042749309337,auroc
16,Standard,9999,0.9758728497104951,0.9537505467946835,auroc
17,AugWithin,9999,0.9735857869228596,0.9467470358903919,auroc
18,AugOut100,9999,0.9771871686794589,0.9531511544686667,auroc
19,AugOutDouble,9999,0.9718941602700644,0.943516470193402,auroc
20,NStandard,9999,0.9755162297356577,0.9499640725372972,auroc
21,NAugWithin,9999,0.9785715333924311,0.9579430745913067,auroc
22,NAugOut100,9999,0.9770018739021428,0.9538391446251424,auroc
23,NAugOutDouble,9999,0.9810104035348819,0.959340615308066,auroc
24,RCSumPool,4652,0.9826911487108048,0.9629398819275267,auroc
25,RCSumPoolBias,4652,0.9840658276190669,0.9655757218745192,auroc
26,RCWeight,4652,0.9857747528094039,0.9692524492923155,auroc
27,Siamese,4652,0.9807319753582805,0.9605414291843247,auroc
28,Standard,4652,0.977245980266317,0.9538800254171258,auroc
29,AugWithin,4652,0.9722937556270784,0.9479300508585076,auroc
30,AugOut100,4652,0.9774855275927501,0.9552347453361401,auroc
31,AugOutDouble,4652,0.9729268683379665,0.945828907965716,auroc
32,NStandard,4652,0.9764127602064339,0.9512899810998213,auroc
33,NAugWithin,4652,0.9798820072861681,0.9585323654616289,auroc
34,NAugOut100,4652,0.9767482193645867,0.9542251352070579,auroc
35,NAugOutDouble,4652,0.9806914429321762,0.9603299249576103,auroc
36,RCSumPool,6806,0.9863926572585446,0.9697932084127509,auroc
37,RCSumPoolBias,6806,0.986443443218587,0.9708725284134219,auroc
38,RCWeight,6806,0.9864828315842772,0.9686722830466392,auroc
39,Siamese,6806,0.9792447656354392,0.9568801170304836,auroc
40,Standard,6806,0.976793414051928,0.9531789199750261,auroc
41,AugWithin,6806,0.9742569977057373,0.9487775412349867,auroc
42,AugOut100,6806,0.9769440859482869,0.952885532631008,auroc
43,AugOutDouble,6806,0.9728617773217669,0.9455293902901443,auroc
44,NStandard,6806,0.9764802167610838,0.9523373708601011,auroc
45,NAugWithin,6806,0.9796593197974184,0.958510499164746,auroc
46,NAugOut100,6806,0.9780813938254904,0.9546513951289886,auroc
47,NAugOutDouble,6806,0.9803080364601215,0.9587023914795355,auroc
48,RCSumPool,7626,0.9860568970318615,0.968783298440208,auroc
49,RCSumPoolBias,7626,0.9874815791219883,0.9721161227180236,auroc
50,RCWeight,7626,0.9859483231179633,0.9693218763732503,auroc
51,Siamese,7626,0.9782833936052457,0.9560481023011449,auroc
52,Standard,7626,0.9755911441878952,0.9509445897597685,auroc
53,AugWithin,7626,0.972198850224445,0.946117076699118,auroc
54,AugOut100,7626,0.975502784875301,0.9499918906213611,auroc
55,AugOutDouble,7626,0.9719583308767575,0.9418585718944898,auroc
56,NStandard,7626,0.9757589339806778,0.9498418269317637,auroc
57,NAugWithin,7626,0.9780386162883477,0.9562805260169684,auroc
58,NAugOut100,7626,0.9766290306345146,0.953435074467016,auroc
59,NAugOutDouble,7626,0.979788073904789,0.9574103693232315,auroc
60,RCSumPool,2143,0.9850979507538249,0.9673862248388011,auroc
61,RCSumPoolBias,2143,0.9847014521016915,0.9686393867915735,auroc
62,RCWeight,2143,0.9849501691153545,0.9671552495697474,auroc
63,Siamese,2143,0.9803193996466417,0.9594801659121964,auroc
64,Standard,2143,0.977406510006546,0.9543282390691786,auroc
65,AugWithin,2143,0.9736975521631765,0.9458515432911211,auroc
66,AugOut100,2143,0.9784097133585018,0.9544372174044349,auroc
67,AugOutDouble,2143,0.9732064319730237,0.9464748439123981,auroc
68,NStandard,2143,0.9766433873024194,0.9532661538902362,auroc
69,NAugWithin,2143,0.980407561114202,0.9596430882827571,auroc
70,NAugOut100,2143,0.9765210760615921,0.9516381735193318,auroc
71,NAugOutDouble,2143,0.9821985489838755,0.9611232709703004,auroc
72,RCSumPool,3578,0.9850122580482112,0.9694131590916395,auroc
73,RCSumPoolBias,3578,0.9857202508035046,0.9695267284240102,auroc
74,RCWeight,3578,0.9862047130781639,0.969528175454796,auroc
75,Siamese,3578,0.9792292304992881,0.9565909304494398,auroc
76,Standard,3578,0.9759720991019194,0.9487719290414967,auroc
77,AugWithin,3578,0.9714271685721065,0.9443722775737623,auroc
78,AugOut100,3578,0.9769255659327092,0.9518730066325888,auroc
79,AugOutDouble,3578,0.9713870920497761,0.9420305952972233,auroc
80,NStandard,3578,0.9752561925452645,0.9503762516397904,auroc
81,NAugWithin,3578,0.9796564553454039,0.955873118066485,auroc
82,NAugOut100,3578,0.9751597301882328,0.9511254584506911,auroc
83,NAugOutDouble,3578,0.9809443404974283,0.9583845901944333,auroc
84,RCSumPool,1780,0.9848254235204128,0.9686389657740475,auroc
85,RCSumPoolBias,1780,0.9846526617959055,0.9672887513221711,auroc
86,RCWeight,1780,0.9866902075877837,0.9698088217683782,auroc
87,Siamese,1780,0.9789486002214384,0.9566728907486943,auroc
88,Standard,1780,0.9764791673222076,0.953082665105944,auroc
89,AugWithin,1780,0.9740823349485116,0.9468855989295543,auroc
90,AugOut100,1780,0.9772230990580323,0.9533112235843584,auroc
91,AugOutDouble,1780,0.9724225011324907,0.945217868199433,auroc
92,NStandard,1780,0.9760022059549257,0.9518410895720476,auroc
93,NAugWithin,1780,0.9795432105683105,0.9582196646223098,auroc
94,NAugOut100,1780,0.9769106759434082,0.9522009471770809,auroc
95,NAugOutDouble,1780,0.9811110378415443,0.9598257150267928,auroc
96,RCSumPool,6117,0.9826131117478127,0.9620075400897109,auroc
97,RCSumPoolBias,6117,0.9831762131225243,0.9625453723192247,auroc
98,RCWeight,6117,0.985872754916918,0.9707961447498721,auroc
99,Siamese,6117,0.978663256070604,0.9567024585148772,auroc
100,Standard,6117,0.9760503683177776,0.9527253169876926,auroc
101,AugWithin,6117,0.9725212430083929,0.9452798413070074,auroc
102,AugOut100,6117,0.9782361344479843,0.9559381828408029,auroc
103,AugOutDouble,6117,0.9736827912032455,0.945794333208143,auroc
104,NStandard,6117,0.9762601098597348,0.9518802478020606,auroc
105,NAugWithin,6117,0.9790236006932559,0.9577102369035934,auroc
106,NAugOut100,6117,0.9759856557877302,0.9512495781018455,auroc
107,NAugOutDouble,6117,0.981157557230418,0.9606354485268354,auroc
108,RCSumPool,9295,0.9870487199933812,0.9714473764997719,auroc
109,RCSumPoolBias,9295,0.9856999157747883,0.9701554658589981,auroc
110,RCWeight,9295,0.9883336976836011,0.9741205368872183,auroc
111,Siamese,9295,0.9808692798119049,0.9609876348565904,auroc
112,Standard,9295,0.9777445583540574,0.9544054311181864,auroc
113,AugWithin,9295,0.9736577509035023,0.9475315017016764,auroc
114,AugOut100,9295,0.9777023313422266,0.9551196879923093,auroc
115,AugOutDouble,9295,0.973685449208268,0.9446002662556254,auroc
116,NStandard,9295,0.9766704404603347,0.9513179978621148,auroc
117,NAugWithin,9295,0.9803907786941406,0.9593283702347322,auroc
118,NAugOut100,9295,0.9776469003248632,0.9540847635981837,auroc
119,NAugOutDouble,9295,0.9805736907290902,0.960031300892231,auroc
120,RCSumPool,1535,0.9844714959584301,0.9673442828123475,loss
121,RCSumPoolBias,1535,0.986823279878071,0.9717198405945444,loss
122,RCWeight,1535,0.9842083878690302,0.9666091677444357,loss
123,Siamese,1535,0.9754126879671906,0.9529930486997156,loss
124,Standard,1535,0.9739032593868306,0.9496491522467195,loss
125,AugWithin,1535,0.9704446873369766,0.944511375249925,loss
126,AugOut100,1535,0.975628502491497,0.9507890493378246,loss
127,AugOutDouble,1535,0.9682327970603188,0.9421735265978096,loss
128,NStandard,1535,0.972462173362795,0.9503821325432231,loss
129,NAugWithin,1535,0.9771286581611308,0.9551360483829306,loss
130,NAugOut100,1535,0.9746446535450449,0.951900865774109,loss
131,NAugOutDouble,1535,0.9789656751080721,0.9568613961832695,loss
132,RCSumPool,9999,0.9823094798342664,0.9656059511593535,loss
133,RCSumPoolBias,9999,0.9836938703531126,0.9686391901204128,loss
134,RCWeight,9999,0.9862771071567069,0.9719378791031709,loss
135,Siamese,9999,0.9793661822726342,0.957202394716649,loss
136,Standard,9999,0.9761886878024459,0.9531589028352663,loss
137,AugWithin,9999,0.9723513285319842,0.9450056721017743,loss
138,AugOut100,9999,0.9747496490444145,0.9517967722650802,loss
139,AugOutDouble,9999,0.9709189046796561,0.9428190794583069,loss
140,NStandard,9999,0.974430748655415,0.9493048860594722,loss
141,NAugWithin,9999,0.9797844782863441,0.9593857534020235,loss
142,NAugOut100,9999,0.9763286846689246,0.9529689266680003,loss
143,NAugOutDouble,9999,0.9793920053505554,0.9587914395940134,loss
144,RCSumPool,4652,0.9847058735081042,0.9680681940265516,loss
145,RCSumPoolBias,4652,0.9828326939297238,0.9674773109428128,loss
146,RCWeight,4652,0.9845767925263299,0.9691024806139427,loss
147,Siamese,4652,0.9781259777738136,0.9577570131905971,loss
148,Standard,4652,0.9761269429479092,0.9548062031803873,loss
149,AugWithin,4652,0.9712111045910181,0.946237180405334,loss
150,AugOut100,4652,0.9753061871251708,0.9536549254193514,loss
151,AugOutDouble,4652,0.9738039755875743,0.9483787176683223,loss
152,NStandard,4652,0.9768835969796186,0.9544966200455107,loss
153,NAugWithin,4652,0.979374646599308,0.959621957654045,loss
154,NAugOut100,4652,0.9763957799413384,0.9545213303389203,loss
155,NAugOutDouble,4652,0.9791549869997749,0.9596435849427604,loss
156,RCSumPool,6806,0.9855746024506188,0.9718419860361365,loss
157,RCSumPoolBias,6806,0.9815741328525275,0.9637243664024867,loss
158,RCWeight,6806,0.9854452117983561,0.9711733324242328,loss
159,Siamese,6806,0.9775682612248111,0.9561585427101024,loss
160,Standard,6806,0.9760090015017471,0.95416141173083,loss
161,AugWithin,6806,0.9711397255435193,0.9435677694094453,loss
162,AugOut100,6806,0.9744411656265553,0.9518969309414412,loss
163,AugOutDouble,6806,0.9716420368810326,0.9459840459885066,loss
164,NStandard,6806,0.9754284295503337,0.9529927217323253,loss
165,NAugWithin,6806,0.9792440774787992,0.9590700645619872,loss
166,NAugOut100,6806,0.9756101459131212,0.9510434444255655,loss
167,NAugOutDouble,6806,0.9780879227116137,0.9578506834140152,loss
168,RCSumPool,7626,0.9849328447719389,0.9717670590690111,loss
169,RCSumPoolBias,7626,0.9843839538318462,0.9689191591875939,loss
170,RCWeight,7626,0.9867852764276193,0.9729649926974019,loss
171,Siamese,7626,0.9780309949535582,0.9580831867406907,loss
172,Standard,7626,0.9742861153335733,0.9490164198920912,loss
173,AugWithin,7626,0.9702228256361953,0.942526941579366,loss
174,AugOut100,7626,0.9738978917650376,0.9481375994382004,loss
175,AugOutDouble,7626,0.9711222979766078,0.9427718941680747,loss
176,NStandard,7626,0.9753793725838499,0.9511490854282157,loss
177,NAugWithin,7626,0.9774879791507807,0.9549664260418353,loss
178,NAugOut100,7626,0.9761853416407833,0.952436181250264,loss
179,NAugOutDouble,7626,0.9785978295780425,0.9571585365125005,loss
180,RCSumPool,2143,0.984124243515857,0.966680458884954,loss
181,RCSumPoolBias,2143,0.9837432111842106,0.9663225762969666,loss
182,RCWeight,2143,0.9858565574300006,0.9708811839741156,loss
183,Siamese,2143,0.9789182095038184,0.9585677589241779,loss
184,Standard,2143,0.9774379587650004,0.9552254067964945,loss
185,AugWithin,2143,0.9718348927794321,0.9462451048749274,loss
186,AugOut100,2143,0.9761616432464884,0.9534936005892078,loss
187,AugOutDouble,2143,0.9721097855512945,0.9473711717280975,loss
188,NStandard,2143,0.9764928788432624,0.9542887473802968,loss
189,NAugWithin,2143,0.9804482053657604,0.959906857268414,loss
190,NAugOut100,2143,0.9759398159535387,0.9533581314447047,loss
191,NAugOutDouble,2143,0.9802528635014982,0.960286324191019,loss
192,RCSumPool,3578,0.9828997375903896,0.9657637225818427,loss
193,RCSumPoolBias,3578,0.9832044877584761,0.9663055126116717,loss
194,RCWeight,3578,0.9868108844565906,0.9718699699204605,loss
195,Siamese,3578,0.9764987281747036,0.9541671174855769,loss
196,Standard,3578,0.97625737443709,0.950849397280664,loss
197,AugWithin,3578,0.9699773945704888,0.9410786458416125,loss
198,AugOut100,3578,0.9732751960252899,0.9496900243493098,loss
199,AugOutDouble,3578,0.9705987225989142,0.9436813000786373,loss
200,NStandard,3578,0.9748415093539153,0.9514288676686501,loss
