,Model Type,seed,jsd,pears,spear
0,RevComp,1535,0.16487364401488594,0.3989523050011062,0.35336841660840407
1,Siamese,1535,0.1612437732459474,0.4066130439947266,0.3597400510747697
2,Standard,1535,0.16272969907141616,0.3991408610620398,0.3546414548699129
3,AugWithin,1535,0.159283950082966,0.41241510610065724,0.36460671686734397
4,NAugWithin,1535,0.15760590089585866,0.42175371652324467,0.37137587181878084
5,AugOut,1535,0.15959279959493078,0.41530382744294375,0.3662064742963857
6,AugOutDouble,1535,0.15910042260466106,0.41411860944455153,0.3658047619601231
7,NAugOut,1535,0.15819697152179518,0.42391217953553273,0.372378759656908
8,NAugOutDouble,1535,0.1573651859783524,0.42341196423873545,0.3722212234957345
9,NStandard,1535,0.16025658211610883,0.4119562822523761,0.3637847084988493
10,RevComp,9999,0.16127242093558916,0.4083350454806461,0.35966517957093586
11,Siamese,9999,0.160314318517686,0.4092374483466951,0.360961302630707
12,Standard,9999,0.16816857760937914,0.37716285240535646,0.33886901764847854
13,AugWithin,9999,0.1591327986393489,0.4129599067962329,0.36471773364035165
14,NAugWithin,9999,0.15754663795153245,0.4218084965609151,0.3709270756739444
15,AugOut,9999,0.15880582476794378,0.4162717138197201,0.3671033600475342
16,AugOutDouble,9999,0.15828119389100678,0.41724260412014,0.3678438237831979
17,NAugOut,9999,0.15725001447887121,0.42509669947537554,0.3730384805654999
18,NAugOutDouble,9999,0.15681345832835625,0.42507837290850803,0.37342248112210286
19,NStandard,9999,0.16662161860681668,0.38779389466622366,0.34559260362467353
20,RevComp,4652,0.1582204280658496,0.4173414591946165,0.36882828020467723
21,Siamese,4652,0.15963845641511168,0.4130564183659996,0.36474575525342373
22,Standard,4652,0.16177334886523717,0.4026475519031227,0.35742389462210533
23,AugWithin,4652,0.15959821306931996,0.4134037791486887,0.3652749629272855
24,NAugWithin,4652,0.15829178132654623,0.4213871905582656,0.3707462711918773
25,AugOut,4652,0.15866451131509127,0.415922491938064,0.3675132293763672
26,AugOutDouble,4652,0.15946750069886179,0.4126797318993887,0.3645895405766847
27,NAugOut,4652,0.15711967362197593,0.42440745643321925,0.3731697456870819
28,NAugOutDouble,4652,0.15783859376485812,0.4219264061368987,0.3709002706979638
29,NStandard,4652,0.1593834702055583,0.41499884708553264,0.3660622019403968
30,RevComp,6806,0.1578748254460774,0.41928020159870155,0.3700601690547933
31,Siamese,6806,0.16144394183991528,0.4054346766218905,0.35895721892451077
32,Standard,6806,0.16293513554883157,0.3983445404978487,0.3543191656196501
33,AugWithin,6806,0.15982103351287058,0.4120652016267101,0.3635836277960876
34,NAugWithin,6806,0.1583381198278693,0.42059422935220186,0.3696282900765699
35,AugOut,6806,0.15947616591065109,0.4119753687521846,0.3635217038653218
36,AugOutDouble,6806,0.16023136532422552,0.4095172258498396,0.36176083517668733
37,NAugOut,6806,0.15780648373397474,0.42119365003263876,0.3702140318947426
