,Model Type,seed,Held-out AuROC,Held-out AuPRC,Early Stopping Metric
0,RCSumPool,1535,0.9220356865817223,0.6586097346394155,auroc
1,RCSumPoolBias,1535,0.9228823726905568,0.6677209103745257,auroc
2,RCWeight,1535,0.9225016485246664,0.6608821146647131,auroc
3,Siamese,1535,0.9202640711592118,0.6576674815260812,auroc
4,Standard,1535,0.9189151816229822,0.6478152200421273,auroc
5,AugWithin,1535,0.9149898894144419,0.6181377861317654,auroc
6,AugOut100,1535,0.9206334120016986,0.6538822179867549,auroc
7,AugOutDouble,1535,0.9141052817523406,0.6244569130409945,auroc
8,NStandard,1535,0.9172732057962236,0.6253591319760512,auroc
9,NAugWithin,1535,0.9216027088469544,0.6573083102445603,auroc
10,NAugOut100,1535,0.9171278284129947,0.6282883910975969,auroc
11,NAugOutDouble,1535,0.9222442208375712,0.6667656290545169,auroc
12,RCSumPool,9999,0.9217704757186853,0.6655929902556533,auroc
13,RCSumPoolBias,9999,0.9224583096066473,0.6789345132085698,auroc
14,RCWeight,9999,0.9238314058486694,0.6746586454256869,auroc
15,Siamese,9999,0.923052985393139,0.6565241612504003,auroc
16,Standard,9999,0.9217565894356176,0.6465062315966201,auroc
17,AugWithin,9999,0.9130877086439746,0.6099851553173455,auroc
18,AugOut100,9999,0.9190546959089158,0.6378689117640647,auroc
19,AugOutDouble,9999,0.9147161410588519,0.6257804153117886,auroc
20,NStandard,9999,0.9170144751986185,0.6337578898148095,auroc
21,NAugWithin,9999,0.9226054013458107,0.6543934697461247,auroc
22,NAugOut100,9999,0.9160432582747162,0.6244118257083402,auroc
23,NAugOutDouble,9999,0.9215298830068651,0.6443855859540384,auroc
24,RCSumPool,4652,0.9220392524420657,0.6373725677944644,auroc
25,RCSumPoolBias,4652,0.9219700267494386,0.6592939290807014,auroc
26,RCWeight,4652,0.9217477433589966,0.6675364190124089,auroc
27,Siamese,4652,0.9253688745376725,0.6928426935960713,auroc
28,Standard,4652,0.9224726416222581,0.6740086986686477,auroc
29,AugWithin,4652,0.9168466740397688,0.6487816822681763,auroc
30,AugOut100,4652,0.9212007952417159,0.6580314412446805,auroc
31,AugOutDouble,4652,0.9175426682619778,0.6314344116274603,auroc
32,NStandard,4652,0.9200525196369186,0.6394306463849609,auroc
33,NAugWithin,4652,0.9245188282912068,0.67919703110641,auroc
34,NAugOut100,4652,0.9195958837902571,0.6588901023345795,auroc
35,NAugOutDouble,4652,0.9235410625276353,0.6665149195371076,auroc
36,RCSumPool,6806,0.9201242482892099,0.6421673661643492,auroc
37,RCSumPoolBias,6806,0.9202891007558527,0.6616929679696847,auroc
38,RCWeight,6806,0.9229743993171103,0.6717547083292736,auroc
39,Siamese,6806,0.9226954050323616,0.6682747922056634,auroc
40,Standard,6806,0.9200520739043756,0.6614918264927556,auroc
41,AugWithin,6806,0.9167916775013962,0.6416063716296653,auroc
42,AugOut100,6806,0.9185576698364422,0.6565126890189851,auroc
43,AugOutDouble,6806,0.9167615048369524,0.6537671207144004,auroc
44,NStandard,6806,0.9205637405765282,0.657632657445038,auroc
45,NAugWithin,6806,0.9228173643135281,0.6684771437357614,auroc
46,NAugOut100,6806,0.9206271717460975,0.6562447084407189,auroc
47,NAugOutDouble,6806,0.9218310610574038,0.66752368358142,auroc
48,RCSumPool,7626,0.9245958028726572,0.6658100341189802,auroc
49,RCSumPoolBias,7626,0.9227423440978426,0.6864400833629836,auroc
50,RCWeight,7626,0.9220036624128697,0.6787530525079755,auroc
51,Siamese,7626,0.9222179569046578,0.6846753619664083,auroc
52,Standard,7626,0.9203675496834064,0.6694282833365606,auroc
53,AugWithin,7626,0.9133155808347624,0.6464718151416001,auroc
54,AugOut100,7626,0.9180572493392187,0.6584297656731868,auroc
55,AugOutDouble,7626,0.9153020393429602,0.6503076776796072,auroc
56,NStandard,7626,0.9187140533847695,0.6536681859915177,auroc
57,NAugWithin,7626,0.9231191252450843,0.6756903437786111,auroc
58,NAugOut100,7626,0.9183701192972294,0.6554538201939184,auroc
59,NAugOutDouble,7626,0.9208983828549046,0.668134542638941,auroc
60,RCSumPool,2143,0.9211458672775809,0.6626827973900444,auroc
61,RCSumPoolBias,2143,0.9220818027563551,0.6618643569516509,auroc
62,RCWeight,2143,0.9222876969040652,0.6572585564895291,auroc
63,Siamese,2143,0.9236653533328725,0.6677504275356563,auroc
64,Standard,2143,0.922485533578884,0.6555542882111697,auroc
65,AugWithin,2143,0.9199030277994472,0.6562749067319098,auroc
66,AugOut100,2143,0.9223016517613704,0.6750056146665196,auroc
67,AugOutDouble,2143,0.9179869950330308,0.6501048227046391,auroc
68,NStandard,2143,0.921240225428205,0.6585117203980412,auroc
69,NAugWithin,2143,0.9239911495346278,0.6646183668094827,auroc
70,NAugOut100,2143,0.9234263035413931,0.6688269192890168,auroc
71,NAugOutDouble,2143,0.9254569581455772,0.6882352985626103,auroc
72,RCSumPool,3578,0.9201887766465772,0.6350844528545488,auroc
73,RCSumPoolBias,3578,0.9209214923728991,0.6726028103286986,auroc
74,RCWeight,3578,0.921503241915646,0.6701450492734984,auroc
75,Siamese,3578,0.9223114235901961,0.6690919529891679,auroc
76,Standard,3578,0.9192532183261084,0.639331603387752,auroc
77,AugWithin,3578,0.913860128853735,0.6094734470935952,auroc
78,AugOut100,3578,0.9177133152516785,0.6611657379890882,auroc
79,AugOutDouble,3578,0.9127246080570889,0.6265736876497617,auroc
80,NStandard,3578,0.9168858299293081,0.6364651589240578,auroc
81,NAugWithin,3578,0.9209215609471364,0.6492984058061516,auroc
82,NAugOut100,3578,0.9169771022392504,0.6256709503785904,auroc
83,NAugOutDouble,3578,0.9234954263726642,0.6751308273407274,auroc
84,RCSumPool,1780,0.9225721771278037,0.6533321814611189,auroc
85,RCSumPoolBias,1780,0.9194858221392749,0.6437197569666655,auroc
86,RCWeight,1780,0.9237927642659102,0.6756178054548793,auroc
87,Siamese,1780,0.9241279208510667,0.6897280194847824,auroc
88,Standard,1780,0.921380048298207,0.6705049610129955,auroc
89,AugWithin,1780,0.9171382516970752,0.6439760255581262,auroc
90,AugOut100,1780,0.9193562168306415,0.6731844241807458,auroc
91,AugOutDouble,1780,0.9165473817807579,0.6543093273170052,auroc
92,NStandard,1780,0.9202328698812074,0.659127247799995,auroc
93,NAugWithin,1780,0.923951033605765,0.68021156041739,auroc
94,NAugOut100,1780,0.9212866501869059,0.6544669798770111,auroc
95,NAugOutDouble,1780,0.9238059990937227,0.6887851174591387,auroc
96,RCSumPool,6117,0.9186352958731474,0.6031307284471168,auroc
97,RCSumPoolBias,6117,0.921478658051548,0.6385379095555072,auroc
98,RCWeight,6117,0.9230965300338702,0.6542709555188321,auroc
99,Siamese,6117,0.922832210635919,0.6729292397672088,auroc
100,Standard,6117,0.9175824413196535,0.660553812476616,auroc
101,AugWithin,6117,0.9168932359469445,0.6342100336711541,auroc
102,AugOut100,6117,0.919411624814438,0.6660052807653504,auroc
103,AugOutDouble,6117,0.91611491835277,0.6285559256328106,auroc
104,NStandard,6117,0.9190027166369878,0.6394120808108327,auroc
105,NAugWithin,6117,0.9200835837664482,0.6666755760677251,auroc
106,NAugOut100,6117,0.9207821495225588,0.6436015855483115,auroc
107,NAugOutDouble,6117,0.9227812256904329,0.6763088657211251,auroc
108,RCSumPool,9295,0.9246546738554412,0.676065846345586,auroc
109,RCSumPoolBias,9295,0.9240775530737168,0.6614595111968508,auroc
110,RCWeight,9295,0.9256723155380446,0.6930145894145021,auroc
111,Siamese,9295,0.924471717790132,0.6729336300205551,auroc
112,Standard,9295,0.9184835753729618,0.6470244287644269,auroc
113,AugWithin,9295,0.9172265753148106,0.6383285491588324,auroc
114,AugOut100,9295,0.9213220002062713,0.6553138808753504,auroc
115,AugOutDouble,9295,0.9170728318746221,0.6294554544340079,auroc
116,NStandard,9295,0.9202923237450091,0.6314309635262532,auroc
117,NAugWithin,9295,0.9223686487912831,0.6559690902626288,auroc
118,NAugOut100,9295,0.9207353133184335,0.6509878142829035,auroc
119,NAugOutDouble,9295,0.924647062115093,0.6659872185067995,auroc
120,RCSumPool,1535,0.9105324954110121,0.6031539323478061,loss
121,RCSumPoolBias,1535,0.9224077703937038,0.6663654073679434,loss
122,RCWeight,1535,0.9186547023823239,0.6399379629787096,loss
123,Siamese,1535,0.8967793492250015,0.5525955055175725,loss
124,Standard,1535,0.8886655425977676,0.5420113493179831,loss
125,AugWithin,1535,0.9011558256283321,0.6199763540502979,loss
126,AugOut100,1535,0.9057835580373943,0.6436023292199352,loss
127,AugOutDouble,1535,0.9031462614422973,0.5909898412694818,loss
128,NStandard,1535,0.9084421812203142,0.602934773980436,loss
129,NAugWithin,1535,0.8932966008573425,0.5506877246236231,loss
130,NAugOut100,1535,0.9097216050540858,0.6450205415355953,loss
131,NAugOutDouble,1535,0.9121785171177754,0.6663376672560957,loss
132,RCSumPool,9999,0.9210450631486438,0.6657232575715917,loss
133,RCSumPoolBias,9999,0.9191600602246384,0.6505226804617423,loss
134,RCWeight,9999,0.9209420303569921,0.6800515843922847,loss
135,Siamese,9999,0.9204269692600896,0.6414899902831286,loss
136,Standard,9999,0.9147996987670901,0.6391764814691472,loss
137,AugWithin,9999,0.9061536531964921,0.5801487042655534,loss
138,AugOut100,9999,0.9144074541293212,0.642546657538577,loss
139,AugOutDouble,9999,0.9055825669476565,0.6071945296969585,loss
140,NStandard,9999,0.9158334553954758,0.6251002652660587,loss
141,NAugWithin,9999,0.9166316252313695,0.6464150517358259,loss
142,NAugOut100,9999,0.9098525475603481,0.5872939218418237,loss
143,NAugOutDouble,9999,0.9194168707435971,0.652905737147755,loss
144,RCSumPool,4652,0.9187642840136445,0.6464879114677484,loss
145,RCSumPoolBias,4652,0.9203453316304978,0.649831423016303,loss
146,RCWeight,4652,0.9200271128819721,0.6631917181498689,loss
147,Siamese,4652,0.9199576471795142,0.6663863561934631,loss
148,Standard,4652,0.9178293771484309,0.6711802169206168,loss
149,AugWithin,4652,0.905543959652016,0.6212269335031546,loss
150,AugOut100,4652,0.908041570525586,0.627899817316739,loss
151,AugOutDouble,4652,0.9012359546247014,0.5766118596131522,loss
