,Model Type,seed,jsd,pears,spear
0,RevComp,1535,0.1589258006598255,0.524037210439002,0.41912869518302937
1,Siamese,1535,0.16160564839541777,0.5135622996038736,0.4117482539286658
2,Standard,1535,0.16587268243189976,0.49723925251124845,0.4026441034208061
3,AugWithin,1535,0.15933996451324137,0.5190396773764739,0.41773527592695153
4,NAugWithin,1535,0.15586572662220022,0.5336356631937139,0.42599733525160616
5,AugOut,1535,0.15762059780314353,0.5222529494232986,0.41867937505946584
6,AugOutDouble,1535,0.15995735278528178,0.516577564680197,0.4142230419501229
7,NAugOut,1535,0.15446408103914283,0.5360774407678771,0.42623639749470915
8,NAugOutDouble,1535,0.1565085699940736,0.5311778567617857,0.42252639237025297
9,NStandard,1535,0.16061152883115287,0.518589025877962,0.4154782786071393
10,RevComp,9999,0.15937763494846044,0.5188443882646724,0.41618729697529666
11,Siamese,9999,0.1604881358658188,0.5153354511298518,0.4136275938662734
12,Standard,9999,0.16626137580792594,0.49432412355038824,0.40055525586120966
13,AugWithin,9999,0.15980601915393539,0.5161511734122926,0.41493852569194506
14,NAugWithin,9999,0.15699171363991513,0.5291077916284619,0.4220940390780998
15,AugOut,9999,0.1583551466612711,0.5196958494319118,0.41757492931972434
16,AugOutDouble,9999,0.16060990344115395,0.5115308733550733,0.4121937849119435
17,NAugOut,9999,0.15535528426167391,0.532848343110129,0.42453839336342064
18,NAugOutDouble,9999,0.15706473234707277,0.5267885142557148,0.4204048183721459
19,NStandard,9999,0.16123113552600365,0.5155398696856882,0.4131000412161793
20,RevComp,4652,0.1592663191682182,0.5192697455741986,0.4172608821852661
21,Siamese,4652,0.1620053558612305,0.51208209586265,0.4120331738112159
22,Standard,4652,0.16659944512585836,0.49123031041565207,0.3996181806314432
23,AugWithin,4652,0.159832270736578,0.5169494336717786,0.4153037786154517
24,NAugWithin,4652,0.15649953500704067,0.5312733680989942,0.4229100605434321
25,AugOut,4652,0.1575749970725873,0.5214594023054424,0.41831360594552625
26,AugOutDouble,4652,0.1601020237332536,0.5163418246890087,0.41497315919288486
27,NAugOut,4652,0.15450691185962187,0.5338482103290189,0.4242907922474361
28,NAugOutDouble,4652,0.15682164876680324,0.5310545513560354,0.42287926826151323
29,NStandard,4652,0.1614718382913207,0.5117196297662637,0.41171998431413254
30,RevComp,6806,0.15904470609242577,0.5214117384216104,0.4179861698586243
31,Siamese,6806,0.1635701901028824,0.5048731102728554,0.4081879125102132
32,Standard,6806,0.16662083874419006,0.49213794795074123,0.398704100663299
33,AugWithin,6806,0.1613105867781635,0.5123514646431963,0.4117775905209988
34,NAugWithin,6806,0.1579202824684776,0.526757849718573,0.4197051224491252
35,AugOut,6806,0.1590110692208648,0.5173016466197581,0.4167018469187278
36,AugOutDouble,6806,0.16078590331050097,0.5145542692335493,0.4139616623659895
