,Model Type,seed,jsd,pears,spear
0,RevComp,1535,0.22364449784933357,0.370457621014535,0.289988202534735
1,Siamese,1535,0.2198375789752247,0.38631608066322837,0.2913708076206615
2,Standard,1535,0.22203577375144098,0.3785097207932127,0.2871055459301003
3,AugWithin,1535,0.21755192928304037,0.3944780581885557,0.30027612437154527
4,NAugWithin,1535,0.21451206547997034,0.4074139310431807,0.30970073767969664
5,AugOut,1535,0.21649946666088135,0.39941373764104665,0.303820006794849
6,AugOutDouble,1535,0.21860904558194402,0.3916748683416819,0.2976161172013336
7,NAugOut,1535,0.21444427765326896,0.40801834416089006,0.3101722716342649
8,NAugOutDouble,1535,0.21605124025953729,0.4034175771847935,0.30645698334878285
9,NStandard,1535,0.21807451033389846,0.39545625417809055,0.29987193370058024
10,RevComp,9999,0.21908578883853697,0.39329170213004644,0.29720254017010345
11,Siamese,9999,0.2164867207775977,0.39871956220545673,0.3047305890030907
12,Standard,9999,0.23221544674034686,0.32892592543622057,0.26566242053317934
13,AugWithin,9999,0.2308698596910595,0.34393683733104474,0.26530662655761855
14,NAugWithin,9999,0.22870346221164647,0.35725555470494397,0.2736608043840879
15,AugOut,9999,0.227272703600126,0.352083766437217,0.27740948699337736
16,AugOutDouble,9999,0.2292754050843604,0.3458065252316363,0.2717600289100518
17,NAugOut,9999,0.2250725846791203,0.3690236878424209,0.28577859429486985
18,NAugOutDouble,9999,0.22712274408317162,0.36041219322966395,0.2811899890277323
19,NStandard,9999,0.2291598564785443,0.3507471885205802,0.27862906138590054
20,RevComp,4652,0.22261513154488022,0.37674121580568704,0.2928177862297018
21,Siamese,4652,0.21984085184871172,0.3842175989557205,0.2936618867002723
22,Standard,4652,0.2211804951760915,0.38124339859307826,0.2920962831060875
23,AugWithin,4652,0.21697021686342932,0.3963672309975502,0.3019338220487017
24,NAugWithin,4652,0.2153515948911394,0.4051278736633734,0.3079362521163433
25,AugOut,4652,0.21624755700551898,0.39656302925587206,0.3043987965332838
26,AugOutDouble,4652,0.21601102319313917,0.39891549451451397,0.3056815790487594
27,NAugOut,4652,0.21427513545303128,0.40519197711722427,0.3104770615496562
28,NAugOutDouble,4652,0.21447238393689616,0.406333098185744,0.31128616237356693
29,NStandard,4652,0.21858685332804823,0.39349311301260226,0.30112853218424107
30,RevComp,6806,0.2192771050482847,0.38925896107166896,0.2980943285683624
31,Siamese,6806,0.21989408006269529,0.38786393691114446,0.2948278714160653
32,Standard,6806,0.22197345323496048,0.379467751921497,0.2900376983553849
33,AugWithin,6806,0.2181069573762292,0.3920706252452308,0.29946173774087853
34,NAugWithin,6806,0.21533648222371032,0.4049087214068358,0.3084744738167653
35,AugOut,6806,0.21695613089527027,0.39516826176984593,0.30320190603063574
36,AugOutDouble,6806,0.21730479651586312,0.3947936802229202,0.301911927330954
37,NAugOut,6806,0.21515997642238174,0.4041624992272827,0.30963087583001786
38,NAugOutDouble,6806,0.21529085271137782,0.4038141443129027,0.3092493692283685
39,NStandard,6806,0.2178911103112757,0.3971461519861402,0.3035177500483568
40,RevComp,7626,0.22443697365013424,0.3730753696211052,0.28994795479147634
41,Siamese,7626,0.22079325598833782,0.38473010825050213,0.28895101773966436
42,Standard,7626,0.22175865319957444,0.3814762437976662,0.29319325885609293
43,AugWithin,7626,0.21811605014615754,0.3944379501354097,0.301229836458932
44,NAugWithin,7626,0.21555136418087298,0.4056823724712814,0.3096637430167695
45,AugOut,7626,0.21619010904067457,0.3992221994386298,0.30467489494780975
46,AugOutDouble,7626,0.21987419425220375,0.39176557089816305,0.29863205614359406
47,NAugOut,7626,0.2142818766470561,0.40721082821318577,0.31080224711279075
48,NAugOutDouble,7626,0.21733097381241437,0.4033678972610031,0.30761217217934433
49,NStandard,7626,0.21846652589302232,0.39657697386168755,0.30429107214194095
50,RevComp,2143,0.22069198726289702,0.381952454560459,0.297267849253858
51,Siamese,2143,0.21804610547718137,0.3911248037241958,0.29933242868949206
52,Standard,2143,0.22862916843860553,0.3402202508167274,0.2706531993960563
53,AugWithin,2143,0.21746952774523273,0.39642596279380204,0.30398249028977953
54,NAugWithin,2143,0.2157707898055729,0.4049589731513406,0.31012033303634573
55,AugOut,2143,0.2181618433429423,0.39639020612842507,0.3024478614338729
56,AugOutDouble,2143,0.21787861445301052,0.3915583765878101,0.29966716626930945
57,NAugOut,2143,0.2167582584998524,0.4033105751238656,0.3074197983306334
58,NAugOutDouble,2143,0.21615839102518758,0.4005148347002423,0.30613397785551577
59,NStandard,2143,0.2268449098501551,0.36177875407383453,0.28096315053425797
60,RevComp,3578,0.22558906580471086,0.36742117712410155,0.28477109908274095
61,Siamese,3578,0.22213976641440006,0.3833427609615569,0.28907047033243366
62,Standard,3578,0.22097143520850424,0.38195326440399224,0.29351916467392486
63,AugWithin,3578,0.21809693303110939,0.3933465241396725,0.301288087985217
64,NAugWithin,3578,0.21580846250687521,0.404961518858962,0.30972497778422
65,AugOut,3578,0.21768180329814513,0.3936501008670539,0.3016154222264558
66,AugOutDouble,3578,0.2180887978592313,0.3930628043705233,0.3007613746267098
67,NAugOut,3578,0.21604014830394014,0.4014624270958334,0.3068394472777829
68,NAugOutDouble,3578,0.21599728026874085,0.40294001432281973,0.3085213763206567
69,NStandard,3578,0.21836451314841687,0.39394834426708214,0.3029656580269958
70,RevComp,1780,0.22231615391169487,0.3781033692567224,0.2880252062461277
71,Siamese,1780,0.21780518296045415,0.3924555670309393,0.3009642091267396
72,Standard,1780,0.22363941374561788,0.37250697105018804,0.28753944796144904
73,AugWithin,1780,0.21868053315469882,0.3907716016435227,0.297628192161025
74,NAugWithin,1780,0.21561549256855167,0.40428685205243553,0.3075365159623023
75,AugOut,1780,0.21670139186688087,0.39784130067986473,0.30400711221586935
76,AugOutDouble,1780,0.2186986073459957,0.39268391017182797,0.29961438436769033
77,NAugOut,1780,0.2148973290125977,0.40642818566257477,0.31010979597304705
78,NAugOutDouble,1780,0.21592332774708262,0.4051704094477842,0.3095814020814098
79,NStandard,1780,0.22082302467205386,0.38712573296541514,0.2977953575883425
80,RevComp,6117,0.21910481439706034,0.38641934770116215,0.2991317543276843
81,Siamese,6117,0.2179218635095466,0.3933241086346217,0.3018060448405661
82,Standard,6117,0.21997736777993296,0.38384582097793063,0.29355501167451187
83,AugWithin,6117,0.22502500258717673,0.35920782527343487,0.2834114470896248
84,NAugWithin,6117,0.22375160050292353,0.3760151902567846,0.2918809557437017
85,AugOut,6117,0.21791272753891716,0.3908347450604578,0.3015178107848499
86,AugOutDouble,6117,0.22805448679492193,0.3470406551190423,0.27628041308856083
87,NAugOut,6117,0.216431785415921,0.3987016596396006,0.3069061753257338
88,NAugOutDouble,6117,0.22669330023573403,0.3677637751839047,0.2865813980067641
89,NStandard,6117,0.21638557275939127,0.39965010601044515,0.3061993525352379
90,RevComp,9295,0.22111386211918785,0.3817791477246922,0.29426286373220384
91,Siamese,9295,0.21788197102087825,0.39257398731881077,0.2992281238157464
92,Standard,9295,0.2219792097712916,0.37897025248781946,0.2891770288339343
93,AugWithin,9295,0.21865680420635458,0.3938359309754592,0.29914938359141774
94,NAugWithin,9295,0.21618653986921105,0.4047291489325008,0.308019012032734
95,AugOut,9295,0.21721225020652565,0.3976009502700924,0.30165324536310273
96,AugOutDouble,9295,0.2188983609286477,0.39222833866835893,0.29727410090675765
97,NAugOut,9295,0.21436662678495394,0.4091216200236608,0.310787664489579
98,NAugOutDouble,9295,0.21643322659123249,0.4040215728495709,0.3063536417657988
99,NStandard,9295,0.21823943276034702,0.3955509651883191,0.3019826445416801
