,Model Type,seed,Held-out AuROC,Held-out AuPRC,Early Stopping Metric
0,RCSumPool,1535,0.9874055980269585,0.9706565206487165,auroc
1,RCSumPoolBias,1535,0.9907531187990096,0.9778026895641151,auroc
2,RCWeight,1535,0.986472371603347,0.9706016505668487,auroc
3,Siamese,1535,0.9828885980547774,0.9629718740663135,auroc
4,Standard,1535,0.9820708271114654,0.9620788227314008,auroc
5,AugWithin,1535,0.9799516229322764,0.9575461327759416,auroc
6,AugOut100,1535,0.9808585531702766,0.9613787565443165,auroc
7,AugOutDouble,1535,0.979145223777443,0.9558649967410067,auroc
8,NStandard,1535,0.9820271721746064,0.9617334011224578,auroc
9,NAugWithin,1535,0.9843377011036708,0.9657916533522914,auroc
10,NAugOut100,1535,0.9826613257224127,0.9622974353147792,auroc
11,NAugOutDouble,1535,0.9841490601646921,0.9669263070310259,auroc
12,RCSumPool,9999,0.9876186255168722,0.9733098506526389,auroc
13,RCSumPoolBias,9999,0.988976582218779,0.9753811756806966,auroc
14,RCWeight,9999,0.9888108740998331,0.9752684346553481,auroc
15,Siamese,9999,0.9841398216617981,0.9669602069236352,auroc
16,Standard,9999,0.9812831974289917,0.960603731220698,auroc
17,AugWithin,9999,0.979497534171321,0.9555049980386243,auroc
18,AugOut100,9999,0.9818010611065721,0.9621541025005049,auroc
19,AugOutDouble,9999,0.9784796816848883,0.9545169337379137,auroc
20,NStandard,9999,0.9812523077978074,0.9597665032263861,auroc
21,NAugWithin,9999,0.9841101707125661,0.965487827713268,auroc
22,NAugOut100,9999,0.9818266949414174,0.9605867751272642,auroc
23,NAugOutDouble,9999,0.9843081017661867,0.9664613700807461,auroc
24,RCSumPool,4652,0.9861420306102052,0.9706303550449311,auroc
25,RCSumPoolBias,4652,0.9864416110015327,0.9705524826662844,auroc
26,RCWeight,4652,0.9893939750268986,0.9762631409007313,auroc
27,Siamese,4652,0.9847822760990759,0.9670803824283588,auroc
28,Standard,4652,0.9827386659268065,0.9628779039216417,auroc
29,AugWithin,4652,0.9801381133817547,0.9595026274774521,auroc
30,AugOut100,4652,0.9824463111802004,0.9645002554386868,auroc
31,AugOutDouble,4652,0.979613144486865,0.9575703948883233,auroc
32,NStandard,4652,0.981791848409552,0.9620341208657822,auroc
33,NAugWithin,4652,0.984446128784283,0.965626069442945,auroc
34,NAugOut100,4652,0.982429141672029,0.9632456376295478,auroc
35,NAugOutDouble,4652,0.9852878561806298,0.9683725197971115,auroc
36,RCSumPool,6806,0.9878940172022986,0.9729752196517343,auroc
37,RCSumPoolBias,6806,0.9864758639982957,0.9702160903281868,auroc
38,RCWeight,6806,0.9888307618267332,0.9743410958932325,auroc
39,Siamese,6806,0.9841536622122229,0.967248319039132,auroc
40,Standard,6806,0.9816441699945777,0.9610239432740018,auroc
41,AugWithin,6806,0.9802167610837648,0.959093070096447,auroc
42,AugOut100,6806,0.9824978799184212,0.9626309488987543,auroc
43,AugOutDouble,6806,0.9790673502516529,0.9555408349555125,auroc
44,NStandard,6806,0.9816523074468474,0.9615803088836289,auroc
45,NAugWithin,6806,0.9844910396070102,0.9658251774090063,auroc
46,NAugOut100,6806,0.9831002492314106,0.9642626399295188,auroc
47,NAugOutDouble,6806,0.9847643410166425,0.9671214469971067,auroc
48,RCSumPool,7626,0.987139677097292,0.9726673348228178,auroc
49,RCSumPoolBias,7626,0.9892033900454117,0.9749338722558133,auroc
50,RCWeight,7626,0.9897181484161532,0.9778019611042063,auroc
51,Siamese,7626,0.9840675824184993,0.9654223674889578,auroc
52,Standard,7626,0.9812728922833055,0.9611649454916003,auroc
53,AugWithin,7626,0.9798201334022615,0.9569992906700149,auroc
54,AugOut100,7626,0.9803271930205915,0.9575689200775283,auroc
55,AugOutDouble,7626,0.9771606574448973,0.9530283571815605,auroc
56,NStandard,7626,0.980364551324193,0.9597945954246844,auroc
57,NAugWithin,7626,0.9836311448753637,0.9650841195230819,auroc
58,NAugOut100,7626,0.9826655492837915,0.9627250288845997,auroc
59,NAugOutDouble,7626,0.9834001220893102,0.963921489291556,auroc
60,RCSumPool,2143,0.9878526331823524,0.9725552142627736,auroc
61,RCSumPoolBias,2143,0.9896598701506912,0.975493788953842,auroc
62,RCWeight,2143,0.9862474648094329,0.9693168904036287,auroc
63,Siamese,2143,0.9837125280000186,0.966032127394787,auroc
64,Standard,2143,0.9817902140375319,0.9604217681637803,auroc
65,AugWithin,2143,0.9797175034413423,0.9569786361565669,auroc
66,AugOut100,2143,0.9825434961017045,0.9625131518924385,auroc
67,AugOutDouble,2143,0.9787460499163709,0.9547606715352275,auroc
68,NStandard,2143,0.9820764011802505,0.9613586533971804,auroc
69,NAugWithin,2143,0.9844887686900979,0.965297489431412,auroc
70,NAugOut100,2143,0.983394393185281,0.9640686056034117,auroc
71,NAugOutDouble,2143,0.9857099886676084,0.967846709646442,auroc
72,RCSumPool,3578,0.988016380054874,0.972475460688564,auroc
73,RCSumPoolBias,3578,0.9878672737148714,0.9719789406842261,auroc
74,RCWeight,3578,0.988956453637055,0.9759758575308102,auroc
75,Siamese,3578,0.9837706170224044,0.964755683730725,auroc
76,Standard,3578,0.9815416948689027,0.9613717724796114,auroc
