,Model Type,Held-out AuROC,Held-out AuPRC,Imbalance
0,Standard-NoRCAug,0.9803989763601162,0.9587393871832639,upsample
1,Standard-RCAug,0.9841298175846421,0.965889941379323,upsample
2,RCPS-Sum,0.989828098643332,0.9773399597089715,upsample
3,RCPS-Avg,0.9889812100721839,0.9755216740516378,upsample
4,CJ-trained,0.9853708822792628,0.9680125823226364,upsample
5,CJ-trained-max,0.985663486482651,0.9702570045530493,upsample
6,CJ-posthoc,0.9865214629776632,0.9706811935530589,upsample
7,CJ-posthoc-postsigmoid,0.9860622818575708,0.969976260903003,upsample
8,CJRCPS-early,0.9841657995749636,0.9672162983879712,upsample
9,CJRCPS-later,0.9814050097562548,0.9624580244892271,upsample
10,CJRCPS-all,0.984728780522263,0.9682951519564487,upsample
11,Standard-NoRCAug,0.9808374009555503,0.9590042712864079,upsample
12,Standard-RCAug,0.9837742900584711,0.9658182864514007,upsample
13,RCPS-Sum,0.9879372506432158,0.9747753360559944,upsample
14,RCPS-Avg,0.9898116516996326,0.9773196521783684,upsample
15,CJ-trained,0.9848970520246937,0.9673869315081993,upsample
16,CJ-trained-max,0.9861281814578222,0.971005338907893,upsample
17,CJ-posthoc,0.9858216850922613,0.9697894257088294,upsample
18,CJ-posthoc-postsigmoid,0.985464325349036,0.9693286050023381,upsample
19,CJRCPS-early,0.9840794187127095,0.9665136322409402,upsample
20,CJRCPS-later,0.9705513086064086,0.9469416599471993,upsample
21,CJRCPS-all,0.9849208708464003,0.9677243857445389,upsample
22,Standard-NoRCAug,0.9807398633537683,0.9604010530016442,upsample
23,Standard-RCAug,0.9838820381844012,0.965912203057028,upsample
24,RCPS-Sum,0.9858812794572976,0.9720585607480501,upsample
25,RCPS-Avg,0.9877131438313957,0.9743938777999823,upsample
26,CJ-trained,0.9850658310426462,0.96902495673249,upsample
27,CJ-trained-max,0.9852813789062546,0.9689891687681598,upsample
28,CJ-posthoc,0.9862842295779324,0.9701486617755533,upsample
29,CJ-posthoc-postsigmoid,0.9861883865618766,0.9696767236337507,upsample
30,CJRCPS-early,0.985078983436431,0.9620851259229712,upsample
31,CJRCPS-later,0.9839252974311922,0.9651524759011179,upsample
32,CJRCPS-all,0.9859144400053943,0.9697872538941436,upsample
33,Standard-NoRCAug,0.9812323168474113,0.9610724190910737,upsample
34,Standard-RCAug,0.9843789905020793,0.9667120691058668,upsample
35,RCPS-Sum,0.9889772445695452,0.9756727183649634,upsample
36,RCPS-Avg,0.9892519653022476,0.9764616936392124,upsample
37,CJ-trained,0.9850698051472428,0.9677385420146247,upsample
38,CJ-trained-max,0.9844714959584303,0.9688411863989387,upsample
39,CJ-posthoc,0.9866986547105413,0.9710422724979972,upsample
40,CJ-posthoc-postsigmoid,0.9863517033364982,0.9705314492379615,upsample
41,CJRCPS-early,0.9800790265322404,0.9463254110438786,upsample
42,CJRCPS-later,0.9797045144847596,0.9601074088973591,upsample
43,CJRCPS-all,0.9857115714278808,0.9697017582285749,upsample
44,Standard-NoRCAug,0.9795820398067304,0.958444771227464,upsample
45,Standard-RCAug,0.9824075077476546,0.9639326913356875,upsample
46,RCPS-Sum,0.9910784620545526,0.979024294483035,upsample
