,Model Type,seed,Held-out AuROC,Held-out AuPRC,Imbalance
0,RCSumPoolBias,1535,0.989828098643332,0.9773399597089715,upsample
1,RCSumPoolBiasHalf,1535,0.9883739978568394,0.9757319473442634,upsample
2,Siamese,1535,0.9853708822792628,0.9680125823226364,upsample
3,Standard,1535,0.9803989763601162,0.9587393871832639,upsample
4,AugWithin,1535,0.9841298175846421,0.965889941379323,upsample
5,NAugWithin,1535,0.9865214629776632,0.9706811935530589,upsample
6,AStandard,1535,0.9826716136641825,0.9644248668393955,upsample
7,AAugWithin,1535,0.9860622818575708,0.969976260903003,upsample
8,RCSumPoolBias,9999,0.9879372506432158,0.9747753360559944,upsample
9,RCSumPoolBiasHalf,9999,0.9871929060134069,0.9734326055426697,upsample
10,Siamese,9999,0.9848970520246937,0.9673869315081993,upsample
11,Standard,9999,0.9808374009555503,0.9590042712864079,upsample
12,AugWithin,9999,0.9837742900584711,0.9658182864514007,upsample
13,NAugWithin,9999,0.9858216850922613,0.9697894257088294,upsample
14,AStandard,9999,0.9832899052014337,0.9644269043070822,upsample
15,AAugWithin,9999,0.985464325349036,0.9693286050023381,upsample
16,RCSumPoolBias,4652,0.9858812794572976,0.9720585607480501,upsample
17,RCSumPoolBiasHalf,4652,0.9854552244774702,0.9710164915937078,upsample
18,Siamese,4652,0.9850658310426462,0.96902495673249,upsample
19,Standard,4652,0.9807398633537683,0.9604010530016442,upsample
20,AugWithin,4652,0.9838820381844012,0.965912203057028,upsample
21,NAugWithin,4652,0.9862842295779324,0.9701486617755533,upsample
22,AStandard,4652,0.9831042921516716,0.9648136501047194,upsample
23,AAugWithin,4652,0.9861883865618766,0.9696767236337507,upsample
24,RCSumPoolBias,6806,0.9889772445695452,0.9756727183649634,upsample
25,RCSumPoolBiasHalf,6806,0.9887794683511686,0.9759516130145012,upsample
26,Siamese,6806,0.9850698051472428,0.9677385420146247,upsample
27,Standard,6806,0.9812323168474113,0.9610724190910737,upsample
28,AugWithin,6806,0.9843789905020793,0.9667120691058668,upsample
29,NAugWithin,6806,0.9866986547105413,0.9710422724979972,upsample
30,AStandard,6806,0.9835989391446052,0.965102800415388,upsample
31,AAugWithin,6806,0.9863517033364982,0.9705314492379615,upsample
32,RCSumPoolBias,7626,0.9910784620545526,0.979024294483035,upsample
33,RCSumPoolBiasHalf,7626,0.9890719177193128,0.9777280646716469,upsample
34,Siamese,7626,0.9856848279404533,0.9693709944372538,upsample
35,Standard,7626,0.9795820398067304,0.958444771227464,upsample
36,AugWithin,7626,0.9824075077476546,0.9639326913356875,upsample
37,NAugWithin,7626,0.9856795291343242,0.9704078262524645,upsample
38,AStandard,7626,0.98282379950515,0.9642326122608877,upsample
39,AAugWithin,7626,0.9855601253553018,0.9699278400794162,upsample
40,RCSumPoolBias,2143,0.9887527506696151,0.9763401340450005,upsample
41,RCSumPoolBiasHalf,2143,0.9847460876617626,0.9711193096063133,upsample
42,Siamese,2143,0.9859923909488064,0.9703817105633182,upsample
43,Standard,2143,0.9803890755064563,0.9578978659540626,upsample
44,AugWithin,2143,0.9830715530995169,0.9652247776249772,upsample
45,NAugWithin,2143,0.9856090102826258,0.9693866797847787,upsample
46,AStandard,2143,0.9830817034099589,0.9637030948476497,upsample
47,AAugWithin,2143,0.985405298713228,0.9690446467007239,upsample
48,RCSumPoolBias,3578,0.9870448835201125,0.9739707884634099,upsample
49,RCSumPoolBiasHalf,3578,0.9885288158969551,0.9770465032508473,upsample
50,Siamese,3578,0.9863294930809378,0.9707258255108872,upsample
51,Standard,3578,0.9795357440687651,0.9586699022236679,upsample
52,AugWithin,3578,0.9831326442052454,0.9647015507780768,upsample
53,NAugWithin,3578,0.9862857091147085,0.9702477081436497,upsample
54,AStandard,3578,0.9824747320494384,0.9644004855286952,upsample
55,AAugWithin,3578,0.9861046723066035,0.969752012341159,upsample
56,RCSumPoolBias,1780,0.9896418146408457,0.9774390999074525,upsample
57,RCSumPoolBiasHalf,1780,0.9854729445109539,0.9729420168998417,upsample
58,Siamese,1780,0.9851723318846661,0.9684683832019458,upsample
59,Standard,1780,0.9798506187414195,0.9582200873665819,upsample
60,AugWithin,1780,0.983027665909792,0.9634657409197297,upsample
61,NAugWithin,1780,0.9860401662235482,0.9688550373257815,upsample
62,AStandard,1780,0.9828399883901092,0.9636191752410819,upsample
63,AAugWithin,1780,0.9857973329491584,0.9684940461518207,upsample
64,RCSumPoolBias,6117,0.9895642421835856,0.9775444320867142,upsample
65,RCSumPoolBiasHalf,6117,0.9865558364018382,0.9746865314829511,upsample
66,Siamese,6117,0.985937149174519,0.9706534900404677,upsample
67,Standard,6117,0.9799979874859058,0.9577509209311144,upsample
68,AugWithin,6117,0.9834152013216874,0.9649726674166859,upsample
69,NAugWithin,6117,0.9857767828714922,0.9697188858993272,upsample
70,AStandard,6117,0.9825524249341103,0.9630008492942349,upsample
71,AAugWithin,6117,0.9854372119774145,0.9691535989701797,upsample
72,RCSumPoolBias,9295,0.9884659613898363,0.9743968344943376,upsample
73,RCSumPoolBiasHalf,9295,0.9882796773873498,0.9755314846671642,upsample
74,Siamese,9295,0.9851962453279112,0.9694562089834762,upsample
75,Standard,9295,0.9806729315185564,0.959840016658291,upsample
76,AugWithin,9295,0.9843884354519651,0.9657604467326846,upsample
77,NAugWithin,9295,0.986123028884979,0.9690844342408792,upsample
78,AStandard,9295,0.9831509663757892,0.9646673857986225,upsample
79,AAugWithin,9295,0.9861100657342705,0.9689960546069787,upsample
