,Model Type,seed,Held-out AuROC,Held-out AuPRC,Imbalance
0,RCSumPool,1535,0.9874055980269585,0.9706565206487165,class_weight
1,RCSumPoolBias,1535,0.9907531187990096,0.9778026895641151,class_weight
2,RCWeight,1535,0.986472371603347,0.9706016505668487,class_weight
3,Siamese,1535,0.9828885980547774,0.9629718740663135,class_weight
4,AugWithin,1535,0.9820708271114654,0.9620788227314008,class_weight
5,AugOut100,1535,0.9799516229322764,0.9575461327759416,class_weight
6,AugOutDouble,1535,0.9808585531702766,0.9613787565443165,class_weight
7,Standard,1535,0.979145223777443,0.9558649967410067,class_weight
8,NStandard,1535,0.9820271721746064,0.9617334011224578,class_weight
9,NAugWithin,1535,0.9843377011036708,0.9657916533522914,class_weight
10,NAugOut100,1535,0.9826613257224127,0.9622974353147792,class_weight
11,NAugOutDouble,1535,0.9841490601646921,0.9669263070310259,class_weight
12,RCSumPool,9999,0.9876186255168722,0.9733098506526389,class_weight
13,RCSumPoolBias,9999,0.988976582218779,0.9753811756806966,class_weight
14,RCWeight,9999,0.9888108740998331,0.9752684346553481,class_weight
15,Siamese,9999,0.9841398216617981,0.9669602069236352,class_weight
16,AugWithin,9999,0.9812831974289917,0.960603731220698,class_weight
17,AugOut100,9999,0.979497534171321,0.9555049980386243,class_weight
18,AugOutDouble,9999,0.9818010611065721,0.9621541025005049,class_weight
19,Standard,9999,0.9784796816848883,0.9545169337379137,class_weight
20,NStandard,9999,0.9812523077978074,0.9597665032263861,class_weight
21,NAugWithin,9999,0.9841101707125661,0.965487827713268,class_weight
22,NAugOut100,9999,0.9818266949414174,0.9605867751272642,class_weight
23,NAugOutDouble,9999,0.9843081017661867,0.9664613700807461,class_weight
24,RCSumPool,4652,0.9861420306102052,0.9706303550449311,class_weight
25,RCSumPoolBias,4652,0.9864416110015327,0.9705524826662844,class_weight
26,RCWeight,4652,0.9893939750268986,0.9762631409007313,class_weight
27,Siamese,4652,0.9847822760990759,0.9670803824283588,class_weight
28,AugWithin,4652,0.9827386659268065,0.9628779039216417,class_weight
29,AugOut100,4652,0.9801381133817547,0.9595026274774521,class_weight
30,AugOutDouble,4652,0.9824463111802004,0.9645002554386868,class_weight
31,Standard,4652,0.979613144486865,0.9575703948883233,class_weight
32,NStandard,4652,0.981791848409552,0.9620341208657822,class_weight
33,NAugWithin,4652,0.984446128784283,0.965626069442945,class_weight
34,NAugOut100,4652,0.982429141672029,0.9632456376295478,class_weight
35,NAugOutDouble,4652,0.9852878561806298,0.9683725197971115,class_weight
36,RCSumPool,6806,0.9878940172022986,0.9729752196517343,class_weight
37,RCSumPoolBias,6806,0.9864758639982957,0.9702160903281868,class_weight
38,RCWeight,6806,0.9888307618267332,0.9743410958932325,class_weight
39,Siamese,6806,0.9841536622122229,0.967248319039132,class_weight
40,AugWithin,6806,0.9816441699945777,0.9610239432740018,class_weight
41,AugOut100,6806,0.9802167610837648,0.959093070096447,class_weight
42,AugOutDouble,6806,0.9824978799184212,0.9626309488987543,class_weight
43,Standard,6806,0.9790673502516529,0.9555408349555125,class_weight
44,NStandard,6806,0.9816523074468474,0.9615803088836289,class_weight
45,NAugWithin,6806,0.9844910396070102,0.9658251774090063,class_weight
46,NAugOut100,6806,0.9831002492314106,0.9642626399295188,class_weight
47,NAugOutDouble,6806,0.9847643410166425,0.9671214469971067,class_weight
48,RCSumPool,7626,0.987139677097292,0.9726673348228178,class_weight
49,RCSumPoolBias,7626,0.9892033900454117,0.9749338722558133,class_weight
50,RCWeight,7626,0.9897181484161532,0.9778019611042063,class_weight
51,Siamese,7626,0.9840675824184993,0.9654223674889578,class_weight
52,AugWithin,7626,0.9812728922833055,0.9611649454916003,class_weight
53,AugOut100,7626,0.9798201334022615,0.9569992906700149,class_weight
54,AugOutDouble,7626,0.9803271930205915,0.9575689200775283,class_weight
55,Standard,7626,0.9771606574448973,0.9530283571815605,class_weight
56,NStandard,7626,0.980364551324193,0.9597945954246844,class_weight
57,NAugWithin,7626,0.9836311448753637,0.9650841195230819,class_weight
58,NAugOut100,7626,0.9826655492837915,0.9627250288845997,class_weight
59,NAugOutDouble,7626,0.9834001220893102,0.963921489291556,class_weight
60,RCSumPool,2143,0.9878526331823524,0.9725552142627736,class_weight
61,RCSumPoolBias,2143,0.9896598701506912,0.975493788953842,class_weight
62,RCWeight,2143,0.9862474648094329,0.9693168904036287,class_weight
63,Siamese,2143,0.9837125280000186,0.966032127394787,class_weight
64,AugWithin,2143,0.9817902140375319,0.9604217681637803,class_weight
65,AugOut100,2143,0.9797175034413423,0.9569786361565669,class_weight
66,AugOutDouble,2143,0.9825434961017045,0.9625131518924385,class_weight
67,Standard,2143,0.9787460499163709,0.9547606715352275,class_weight
68,NStandard,2143,0.9820764011802505,0.9613586533971804,class_weight
69,NAugWithin,2143,0.9844887686900979,0.965297489431412,class_weight
70,NAugOut100,2143,0.983394393185281,0.9640686056034117,class_weight
71,NAugOutDouble,2143,0.9857099886676084,0.967846709646442,class_weight
72,RCSumPool,3578,0.988016380054874,0.972475460688564,class_weight
73,RCSumPoolBias,3578,0.9878672737148714,0.9719789406842261,class_weight
74,RCWeight,3578,0.988956453637055,0.9759758575308102,class_weight
75,Siamese,3578,0.9837706170224044,0.964755683730725,class_weight
76,AugWithin,3578,0.9815416948689027,0.9613717724796114,class_weight
77,AugOut100,3578,0.9795645520261129,0.9574130133767609,class_weight
78,AugOutDouble,3578,0.9806014234416877,0.958904724876591,class_weight
79,Standard,3578,0.9784652131915292,0.9535890742197697,class_weight
80,NStandard,3578,0.9806998040353538,0.9583179409234894,class_weight
81,NAugWithin,3578,0.9851987657016055,0.9680641376618302,class_weight
82,NAugOut100,3578,0.9824651408662665,0.9622869205495413,class_weight
83,NAugOutDouble,3578,0.9841114868121403,0.9653650972872172,class_weight
84,RCSumPool,1780,0.98902922620175,0.9754919925081341,class_weight
85,RCSumPoolBias,1780,0.9875692158701102,0.9729010750049727,class_weight
86,RCWeight,1780,0.9899812220977213,0.9768581461255715,class_weight
87,Siamese,1780,0.9843846333865283,0.9652503629341106,class_weight
88,AugWithin,1780,0.9817249165743405,0.9610207745503053,class_weight
89,AugOut100,1780,0.9791911496312145,0.9574936193921117,class_weight
90,AugOutDouble,1780,0.9817840808414767,0.9620999207807562,class_weight
91,Standard,1780,0.9793110953335908,0.9552747636289696,class_weight
92,NStandard,1780,0.9818468321250995,0.9601970850954702,class_weight
93,NAugWithin,1780,0.9845394858344761,0.9658065520613635,class_weight
94,NAugOut100,1780,0.982097923279171,0.962374195444467,class_weight
95,NAugOutDouble,1780,0.9845809988837926,0.9664683248664039,class_weight
96,RCSumPool,6117,0.9913850960514415,0.9791913018720042,class_weight
97,RCSumPoolBias,6117,0.9897300191181957,0.9762147437344548,class_weight
98,RCWeight,6117,0.9902288036529281,0.9782405525779344,class_weight
99,Siamese,6117,0.9838631654885454,0.9659824013416698,class_weight
100,AugWithin,6117,0.9811680946289703,0.9604595159760687,class_weight
101,AugOut100,6117,0.979803299370452,0.9559219471284817,class_weight
102,AugOutDouble,6117,0.9828997031825576,0.9639452649302472,class_weight
103,Standard,6117,0.9798482618049272,0.9562155882255772,class_weight
104,NStandard,6117,0.9826260060828574,0.9622945736578579,class_weight
105,NAugWithin,6117,0.9829379130800013,0.9636687353737459,class_weight
106,NAugOut100,6117,0.9824108883171493,0.961295744086251,class_weight
107,NAugOutDouble,6117,0.9851347413281983,0.9680672537230308,class_weight
108,RCSumPool,9295,0.9896598959565653,0.9767277775517789,class_weight
109,RCSumPoolBias,9295,0.9899255244196599,0.9776073706408424,class_weight
110,RCWeight,9295,0.990364921036348,0.9788015117937465,class_weight
111,Siamese,9295,0.9849455412619496,0.9675362681070498,class_weight
112,AugWithin,9295,0.9825454831540029,0.9639399789901497,class_weight
113,AugOut100,9295,0.979754861744944,0.9579770538542497,class_weight
114,AugOutDouble,9295,0.9822545219245931,0.9617842736157615,class_weight
115,Standard,9295,0.9793729864214136,0.9555276312346312,class_weight
116,NStandard,9295,0.9815283102222521,0.9598488950285142,class_weight
117,NAugWithin,9295,0.9856753227768612,0.9690027867140165,class_weight
118,NAugOut100,9295,0.9817066718214187,0.9619201798901404,class_weight
119,NAugOutDouble,9295,0.984478962457976,0.9659008318644674,class_weight
120,RCSumPool,1535,0.9894325204007046,0.977467817048095,upsample
121,RCSumPoolBias,1535,0.989828098643332,0.9773399597089715,upsample
122,RCWeight,1535,0.9895935060447075,0.9768487504699566,upsample
123,Siamese,1535,0.9853708822792628,0.9680125823226364,upsample
124,AugWithin,1535,0.9841298175846421,0.965889941379323,upsample
125,AugOut100,1535,0.9795683454895917,0.9577614097460397,upsample
126,AugOutDouble,1535,0.9799770847279615,0.957630313632153,upsample
127,Standard,1535,0.9803989763601162,0.9587393871832639,upsample
128,NStandard,1535,0.9830112791797984,0.964910702756886,upsample
129,NAugWithin,1535,0.9865214629776632,0.9706811935530589,upsample
130,NAugOut100,1535,0.9827890389928648,0.9636788411513674,upsample
131,NAugOutDouble,1535,0.9832098123704792,0.9645004833581151,upsample
132,RCSumPool,9999,0.9907191926766508,0.978865620052072,upsample
133,RCSumPoolBias,9999,0.9879372506432158,0.9747753360559944,upsample
134,RCWeight,9999,0.98875776561113,0.97624546576781,upsample
135,Siamese,9999,0.9848970520246937,0.9673869315081993,upsample
136,AugWithin,9999,0.9837742900584711,0.9658182864514007,upsample
137,AugOut100,9999,0.9797824912340457,0.9578016355049683,upsample
138,AugOutDouble,9999,0.9815463571301397,0.9619233203927549,upsample
139,Standard,9999,0.9808374009555503,0.9590042712864079,upsample
140,NStandard,9999,0.9835277923499726,0.9647833885586672,upsample
141,NAugWithin,9999,0.9858216850922613,0.9697894257088294,upsample
142,NAugOut100,9999,0.9830967654384201,0.9643623147666789,upsample
143,NAugOutDouble,9999,0.9851276791206789,0.968693869812172,upsample
144,RCSumPool,4652,0.9883215087091125,0.974337476703942,upsample
145,RCSumPoolBias,4652,0.9858812794572976,0.9720585607480501,upsample
146,RCWeight,4652,0.9875090881836778,0.9726351461438498,upsample
147,Siamese,4652,0.9850658310426462,0.96902495673249,upsample
148,AugWithin,4652,0.9838820381844012,0.965912203057028,upsample
149,AugOut100,4652,0.9811651269534596,0.9610618101511944,upsample
150,AugOutDouble,4652,0.9810550562988689,0.9609021767889698,upsample
151,Standard,4652,0.9807398633537683,0.9604010530016442,upsample
152,NStandard,4652,0.9832947653077047,0.9651146414381063,upsample
153,NAugWithin,4652,0.9862842295779324,0.9701486617755533,upsample
154,NAugOut100,4652,0.984027626323581,0.9661890555945768,upsample
155,NAugOutDouble,4652,0.9842143834337574,0.9665212929373923,upsample
156,RCSumPool,6806,0.9875265501584213,0.9733557367843008,upsample
157,RCSumPoolBias,6806,0.9889772445695452,0.9756727183649634,upsample
158,RCWeight,6806,0.9911473723401046,0.9798803478679478,upsample
