,Model Type,seed,Held-out AuROC,Held-out AuPRC,Imbalance
0,RCSumPool,1535,0.9894325204007046,0.977467817048095,upsample
1,RCSumPoolBias,1535,0.989828098643332,0.9773399597089715,upsample
2,RCSumPoolBiasHalf,1535,0.9883739978568394,0.9757319473442634,upsample
3,RCWeight,1535,0.9895935060447075,0.9768487504699566,upsample
4,Siamese,1535,0.9853708822792628,0.9680125823226364,upsample
5,Standard,1535,0.9803989763601162,0.9587393871832639,upsample
6,AugWithin,1535,0.9841298175846421,0.965889941379323,upsample
7,AugOut100,1535,0.9795683454895917,0.9577614097460397,upsample
8,AugOutDouble,1535,0.9799770847279615,0.957630313632153,upsample
9,NStandard,1535,0.9830112791797984,0.964910702756886,upsample
10,NAugWithin,1535,0.9865214629776632,0.9706811935530589,upsample
11,NAugOut100,1535,0.9827890389928648,0.9636788411513674,upsample
12,NAugOutDouble,1535,0.9832098123704792,0.9645004833581151,upsample
13,RCSumPool,9999,0.9907191926766508,0.978865620052072,upsample
14,RCSumPoolBias,9999,0.9879372506432158,0.9747753360559944,upsample
15,RCSumPoolBiasHalf,9999,0.9871929060134069,0.9734326055426697,upsample
16,RCWeight,9999,0.98875776561113,0.97624546576781,upsample
17,Siamese,9999,0.9848970520246937,0.9673869315081993,upsample
18,Standard,9999,0.9808374009555503,0.9590042712864079,upsample
19,AugWithin,9999,0.9837742900584711,0.9658182864514007,upsample
20,AugOut100,9999,0.9797824912340457,0.9578016355049683,upsample
21,AugOutDouble,9999,0.9815463571301397,0.9619233203927549,upsample
22,NStandard,9999,0.9835277923499726,0.9647833885586672,upsample
23,NAugWithin,9999,0.9858216850922613,0.9697894257088294,upsample
24,NAugOut100,9999,0.9830967654384201,0.9643623147666789,upsample
25,NAugOutDouble,9999,0.9851276791206789,0.968693869812172,upsample
26,RCSumPool,4652,0.9883215087091125,0.974337476703942,upsample
27,RCSumPoolBias,4652,0.9858812794572976,0.9720585607480501,upsample
28,RCSumPoolBiasHalf,4652,0.9854552244774702,0.9710164915937078,upsample
29,RCWeight,4652,0.9875090881836778,0.9726351461438498,upsample
30,Siamese,4652,0.9850658310426462,0.96902495673249,upsample
31,Standard,4652,0.9807398633537683,0.9604010530016442,upsample
32,AugWithin,4652,0.9838820381844012,0.965912203057028,upsample
33,AugOut100,4652,0.9811651269534596,0.9610618101511944,upsample
34,AugOutDouble,4652,0.9810550562988689,0.9609021767889698,upsample
35,NStandard,4652,0.9832947653077047,0.9651146414381063,upsample
36,NAugWithin,4652,0.9862842295779324,0.9701486617755533,upsample
37,NAugOut100,4652,0.984027626323581,0.9661890555945768,upsample
38,NAugOutDouble,4652,0.9842143834337574,0.9665212929373923,upsample
39,RCSumPool,6806,0.9875265501584213,0.9733557367843008,upsample
40,RCSumPoolBias,6806,0.9889772445695452,0.9756727183649634,upsample
41,RCSumPoolBiasHalf,6806,0.9887794683511686,0.9759516130145012,upsample
42,RCWeight,6806,0.9911473723401046,0.9798803478679478,upsample
43,Siamese,6806,0.9850698051472428,0.9677385420146247,upsample
44,Standard,6806,0.9812323168474113,0.9610724190910737,upsample
45,AugWithin,6806,0.9843789905020793,0.9667120691058668,upsample
46,AugOut100,6806,0.9811890920084525,0.9589662637608756,upsample
47,AugOutDouble,6806,0.9809592648945611,0.9604266083591749,upsample
48,NStandard,6806,0.9837322264838425,0.9653557424507188,upsample
49,NAugWithin,6806,0.9866986547105413,0.9710422724979972,upsample
50,NAugOut100,6806,0.9832650197369346,0.9640843698751634,upsample
51,NAugOutDouble,6806,0.9842368517480581,0.9664881274027822,upsample
52,RCSumPool,7626,0.9893233701556202,0.9769885555161855,upsample
53,RCSumPoolBias,7626,0.9910784620545526,0.979024294483035,upsample
54,RCSumPoolBiasHalf,7626,0.9890719177193128,0.9777280646716469,upsample
55,RCWeight,7626,0.9907510371251733,0.9782645595804043,upsample
56,Siamese,7626,0.9856848279404533,0.9693709944372538,upsample
57,Standard,7626,0.9795820398067304,0.958444771227464,upsample
58,AugWithin,7626,0.9824075077476546,0.9639326913356875,upsample
59,AugOut100,7626,0.9798830567250443,0.9584969828371424,upsample
60,AugOutDouble,7626,0.9791738510936726,0.9576896002318458,upsample
61,NStandard,7626,0.9828894066388294,0.9645417579649205,upsample
62,NAugWithin,7626,0.9856795291343242,0.9704078262524645,upsample
63,NAugOut100,7626,0.9830043976133972,0.9650161636410307,upsample
64,NAugOutDouble,7626,0.983320803434576,0.9652197312329808,upsample
65,RCSumPool,2143,0.988746952949922,0.9755103624999605,upsample
66,RCSumPoolBias,2143,0.9887527506696151,0.9763401340450005,upsample
67,RCSumPoolBiasHalf,2143,0.9847460876617626,0.9711193096063133,upsample
68,RCWeight,2143,0.9906094230905903,0.9789981385176848,upsample
69,Siamese,2143,0.9859923909488064,0.9703817105633182,upsample
70,Standard,2143,0.9803890755064563,0.9578978659540626,upsample
71,AugWithin,2143,0.9830715530995169,0.9652247776249772,upsample
72,AugOut100,2143,0.9821065510430466,0.9618412930585445,upsample
73,AugOutDouble,2143,0.9795811968148463,0.9595986703711613,upsample
74,NStandard,2143,0.9832854837950209,0.9640461188105678,upsample
75,NAugWithin,2143,0.9856090102826258,0.9693866797847787,upsample
76,NAugOut100,2143,0.9844646143920288,0.9662762487113262,upsample
77,NAugOutDouble,2143,0.9836585077037673,0.9666979183579915,upsample
78,RCSumPool,3578,0.9865026935053033,0.9726993162281288,upsample
79,RCSumPoolBias,3578,0.9870448835201125,0.9739707884634099,upsample
80,RCSumPoolBiasHalf,3578,0.9885288158969551,0.9770465032508473,upsample
81,RCWeight,3578,0.9898210708436445,0.978303250217699,upsample
82,Siamese,3578,0.9863294930809378,0.9707258255108872,upsample
83,Standard,3578,0.9795357440687651,0.9586699022236679,upsample
84,AugWithin,3578,0.9831326442052454,0.9647015507780768,upsample
85,AugOut100,3578,0.9792873883373381,0.9581723411965967,upsample
86,AugOutDouble,3578,0.9808786387422108,0.9604670962394863,upsample
87,NStandard,3578,0.9829822389695846,0.9650668180303428,upsample
88,NAugWithin,3578,0.9862857091147085,0.9702477081436497,upsample
89,NAugOut100,3578,0.9824553002263124,0.9644065949484392,upsample
90,NAugOutDouble,3578,0.9847056412552384,0.9677247553791466,upsample
91,RCSumPool,1780,0.9889641093796764,0.9763253307688015,upsample
92,RCSumPoolBias,1780,0.9896418146408457,0.9774390999074525,upsample
93,RCSumPoolBiasHalf,1780,0.9854729445109539,0.9729420168998417,upsample
94,RCWeight,1780,0.9903470805754524,0.9784206576445255,upsample
95,Siamese,1780,0.9851723318846661,0.9684683832019458,upsample
96,Standard,1780,0.9798506187414195,0.9582200873665819,upsample
97,AugWithin,1780,0.983027665909792,0.9634657409197297,upsample
98,AugOut100,1780,0.9800651429720256,0.958168073373735,upsample
99,AugOutDouble,1780,0.9815423056079211,0.961382169585814,upsample
100,NStandard,1780,0.9831419687277193,0.9641035718986584,upsample
101,NAugWithin,1780,0.9860401662235482,0.9688550373257815,upsample
102,NAugOut100,1780,0.9835802298859513,0.9652416880411067,upsample
103,NAugOutDouble,1780,0.9851262339917347,0.967374406308888,upsample
104,RCSumPool,6117,0.9887203815016544,0.9760109638983211,upsample
105,RCSumPoolBias,6117,0.9895642421835856,0.9775444320867142,upsample
106,RCSumPoolBiasHalf,6117,0.9865558364018382,0.9746865314829511,upsample
107,RCWeight,6117,0.9887633998936213,0.9750647329982901,upsample
108,Siamese,6117,0.985937149174519,0.9706534900404677,upsample
109,Standard,6117,0.9799979874859058,0.9577509209311144,upsample
110,AugWithin,6117,0.9834152013216874,0.9649726674166859,upsample
111,AugOut100,6117,0.9809102767437412,0.9600961595500562,upsample
112,AugOutDouble,6117,0.9812930122630719,0.9615531429556213,upsample
113,NStandard,6117,0.9827517839127592,0.9633620869415307,upsample
114,NAugWithin,6117,0.9857767828714922,0.9697188858993272,upsample
115,NAugOut100,6117,0.9836808899984879,0.9657111748621099,upsample
116,NAugOutDouble,6117,0.984708497105295,0.9672181938386284,upsample
117,RCSumPool,9295,0.9902235736624629,0.9784142894137963,upsample
118,RCSumPoolBias,9295,0.9884659613898363,0.9743968344943376,upsample
119,RCSumPoolBiasHalf,9295,0.9882796773873498,0.9755314846671642,upsample
120,RCWeight,9295,0.9902432549423711,0.9790869214474468,upsample
121,Siamese,9295,0.9851962453279112,0.9694562089834762,upsample
122,Standard,9295,0.9806729315185564,0.959840016658291,upsample
123,AugWithin,9295,0.9843884354519651,0.9657604467326846,upsample
124,AugOut100,9295,0.9821190066782332,0.960848515585587,upsample
125,AugOutDouble,9295,0.981153067008341,0.9602245137478423,upsample
126,NStandard,9295,0.9833158142989349,0.9650106541038261,upsample
127,NAugWithin,9295,0.986123028884979,0.9690844342408792,upsample
128,NAugOut100,9295,0.9840792896833398,0.9648729450846878,upsample
129,NAugOutDouble,9295,0.9833380245544957,0.9653376962428009,upsample
