,Unnamed: 0,Model Type,seed,loss,Train or Test
0,0,RCPS,1535,6.564889993719392,train
1,1,CJ-trained,1535,6.495031704066584,train
2,2,CJ-posthoc,1535,6.494457532518139,train
3,3,RCPS,9999,6.506173754591828,train
4,4,CJ-trained,9999,6.5019266901710795,train
5,5,CJ-posthoc,9999,6.500508229692877,train
6,6,RCPS,4652,6.539468273811291,train
7,7,CJ-trained,4652,6.514548425448433,train
8,8,CJ-posthoc,4652,6.515252406669385,train
9,9,RCPS,6806,6.512410020421003,train
10,10,CJ-trained,6806,6.502954542357732,train
11,11,CJ-posthoc,6806,6.510972395703492,train
12,12,RCPS,7626,6.518235652475723,train
13,13,CJ-trained,7626,6.493752510837925,train
14,14,CJ-posthoc,7626,6.506150673184331,train
15,15,RCPS,2143,6.526019237451012,train
16,16,CJ-trained,2143,6.491652043821539,train
17,17,CJ-posthoc,2143,6.495517706603013,train
18,18,RCPS,3578,6.528577183973054,train
19,19,CJ-trained,3578,6.500161185981113,train
20,20,CJ-posthoc,3578,6.491718972039839,train
21,21,RCPS,1780,6.526042106890396,train
22,22,CJ-trained,1780,6.5134517071102165,train
23,23,CJ-posthoc,1780,6.50730615126785,train
24,24,RCPS,6117,6.4875066404118655,train
25,25,CJ-trained,6117,6.496337987588363,train
26,26,CJ-posthoc,6117,6.500607346062213,train
27,27,RCPS,9295,6.513820501227598,train
28,28,CJ-trained,9295,6.502567663192631,train
29,29,CJ-posthoc,9295,6.49951442544783,train
0,0,RCPS,1535,6.570239754525088,test
1,1,CJ-trained,1535,6.550191724209944,test
2,2,CJ-posthoc,1535,6.535284214947358,test
3,3,RCPS,9999,6.543539185887884,test
4,4,CJ-trained,9999,6.546220355659576,test
5,5,CJ-posthoc,9999,6.53400851813559,test
6,6,RCPS,4652,6.548113318013579,test
7,7,CJ-trained,4652,6.549572398741349,test
8,8,CJ-posthoc,4652,6.541592919840848,test
9,9,RCPS,6806,6.538909096250094,test
10,10,CJ-trained,6806,6.550137537653877,test
11,11,CJ-posthoc,6806,6.544439090178223,test
12,12,RCPS,7626,6.5391799134294395,test
13,13,CJ-trained,7626,6.550159004013381,test
14,14,CJ-posthoc,7626,6.540249937602358,test
15,15,RCPS,2143,6.549737857980419,test
16,16,CJ-trained,2143,6.549414611755347,test
17,17,CJ-posthoc,2143,6.532722262541694,test
18,18,RCPS,3578,6.544945610981697,test
19,19,CJ-trained,3578,6.551546466309454,test
20,20,CJ-posthoc,3578,6.535879133994509,test
21,21,RCPS,1780,6.546902406315901,test
22,22,CJ-trained,1780,6.552505874676182,test
23,23,CJ-posthoc,1780,6.538956174696167,test
24,24,RCPS,6117,6.53837812470702,test
25,25,CJ-trained,6117,6.546698791122424,test
26,26,CJ-posthoc,6117,6.535162861340782,test
27,27,RCPS,9295,6.541019056069853,test
28,28,CJ-trained,9295,6.546219482832716,test
29,29,CJ-posthoc,9295,6.533272315746866,test
