,Unnamed: 0,Model Type,seed,loss,Train or Test
0,0,RCPS,1535,6.534043152160323,train
1,1,CJ-duringtraining,1535,6.488634032949159,train
2,2,CJ-posthoc,1535,6.494346369903795,train
3,3,RCPS,9999,6.4837018154045305,train
4,4,CJ-duringtraining,9999,6.494040590932278,train
5,5,CJ-posthoc,9999,6.4908191761818435,train
6,6,RCPS,4652,6.513442914729392,train
7,7,CJ-duringtraining,4652,6.499101917434127,train
8,8,CJ-posthoc,4652,6.508059059870463,train
9,9,RCPS,6806,6.507365841438067,train
10,10,CJ-duringtraining,6806,6.502641245600882,train
11,11,CJ-posthoc,6806,6.497025503825372,train
12,12,RCPS,7626,6.491312728889087,train
13,13,CJ-duringtraining,7626,6.4910327853352925,train
14,14,CJ-posthoc,7626,6.488665912910433,train
15,15,RCPS,2143,6.546463674847361,train
16,16,CJ-duringtraining,2143,6.4945602779762375,train
17,17,CJ-posthoc,2143,6.490805655481646,train
18,18,RCPS,3578,6.48168540863003,train
19,19,CJ-duringtraining,3578,6.4974851387396315,train
20,20,CJ-posthoc,3578,6.5029858282661674,train
21,21,RCPS,1780,6.491434533337091,train
22,22,CJ-duringtraining,1780,6.4916418698980225,train
23,23,CJ-posthoc,1780,6.5003951824490525,train
24,24,RCPS,6117,6.499662888544867,train
25,25,CJ-duringtraining,6117,6.503939382150698,train
26,26,CJ-posthoc,6117,6.495892302243598,train
27,27,RCPS,9295,6.508577403191129,train
28,28,CJ-duringtraining,9295,6.499720792712015,train
29,29,CJ-posthoc,9295,6.499266271778632,train
0,0,RCPS,1535,6.548571196608622,test
1,1,CJ-duringtraining,1535,6.550477630759881,test
2,2,CJ-posthoc,1535,6.53629586456391,test
3,3,RCPS,9999,6.5376118005964745,test
4,4,CJ-duringtraining,9999,6.544888885974076,test
5,5,CJ-posthoc,9999,6.531193054937548,test
6,6,RCPS,4652,6.5350562630397615,test
7,7,CJ-duringtraining,4652,6.547268750158504,test
8,8,CJ-posthoc,4652,6.536444312565543,test
9,9,RCPS,6806,6.535223867558049,test
10,10,CJ-duringtraining,6806,6.546569002037393,test
11,11,CJ-posthoc,6806,6.533780121735523,test
12,12,RCPS,7626,6.541883497272312,test
13,13,CJ-duringtraining,7626,6.553475100694777,test
14,14,CJ-posthoc,7626,6.5342886362073465,test
15,15,RCPS,2143,6.5525442229677235,test
16,16,CJ-duringtraining,2143,6.545903369927803,test
17,17,CJ-posthoc,2143,6.531944343358535,test
18,18,RCPS,3578,6.540936226829457,test
19,19,CJ-duringtraining,3578,6.548160163570152,test
20,20,CJ-posthoc,3578,6.536262878728684,test
21,21,RCPS,1780,6.5396676833327145,test
22,22,CJ-duringtraining,1780,6.5526217487615455,test
23,23,CJ-posthoc,1780,6.535681498581429,test
24,24,RCPS,6117,6.5395846456031315,test
25,25,CJ-duringtraining,6117,6.545246323501736,test
26,26,CJ-posthoc,6117,6.531301020265454,test
27,27,RCPS,9295,6.53630426493065,test
28,28,CJ-duringtraining,9295,6.541674815732431,test
29,29,CJ-posthoc,9295,6.531867509017941,test
