,Model Type,seed,jsd,pears,spear,Train or Test
0,RCPS,1535,0.16021911051697366,0.4195207590853526,0.36546259238513545,train
1,CJ-duringtraining,1535,0.15265532599092368,0.44604824904415546,0.38773827874678785,train
2,CJ-posthoc,1535,0.15522599571543916,0.4427518836631981,0.3845625645744769,train
3,RCPS,9999,0.15183317785779515,0.4500415171264841,0.390250473970776,train
4,CJ-duringtraining,9999,0.15450072713388832,0.44081463495215417,0.3833289685315564,train
5,CJ-posthoc,9999,0.15436613772896907,0.4446380345492263,0.38655363266423975,train
6,RCPS,4652,0.15500855953689416,0.44007292553410576,0.3828229896843523,train
7,CJ-duringtraining,4652,0.15464645182327846,0.4380396493264787,0.38214992535826264,train
8,CJ-posthoc,4652,0.1561518029042124,0.43328637695693634,0.37842741575875516,train
9,RCPS,6806,0.1533019657209419,0.4430745476210302,0.38443482267505563,train
10,CJ-duringtraining,6806,0.15501530520973475,0.4363866103418414,0.38133850587223694,train
11,CJ-posthoc,6806,0.15488260757369085,0.4407576424806835,0.3843532367208326,train
12,RCPS,7626,0.15115330876426558,0.4497255811336147,0.389585692165444,train
13,CJ-duringtraining,7626,0.1530355967614964,0.44369704116859954,0.3863903743534449,train
14,CJ-posthoc,7626,0.15310125412898998,0.44600394985232217,0.3878421152041487,train
15,RCPS,2143,0.16147954682852503,0.4176584544695537,0.3658796007134892,train
16,CJ-duringtraining,2143,0.154294664110023,0.4412587037676446,0.38410108296554435,train
17,CJ-posthoc,2143,0.1535155117143608,0.4447574591700593,0.38650420036990174,train
18,RCPS,3578,0.15020499674360474,0.4549860968905924,0.3941770670818277,train
19,CJ-duringtraining,3578,0.15518777713395757,0.4391413426993898,0.3823031105782441,train
20,CJ-posthoc,3578,0.15573532220413847,0.4381862733592639,0.38202372325498996,train
21,RCPS,1780,0.15224401268368803,0.44893106329450994,0.3895877782249291,train
22,CJ-duringtraining,1780,0.15360459785310512,0.4422358425337771,0.3843419125040077,train
23,CJ-posthoc,1780,0.15567451745930908,0.43939078868033027,0.38307194120370264,train
24,RCPS,6117,0.1515059278531215,0.4491326685865395,0.38956135111141815,train
25,CJ-duringtraining,6117,0.1567800794370279,0.4338478044541334,0.3781576262889009,train
26,CJ-posthoc,6117,0.15449002871119202,0.4411612481432954,0.38421574198919906,train
27,RCPS,9295,0.15336778432836892,0.44349187353177316,0.38551270110525093,train
28,CJ-duringtraining,9295,0.15496677517083793,0.43769596930680627,0.38128809063642927,train
29,CJ-posthoc,9295,0.15525719985459274,0.4398456893686965,0.38315977382308886,train
