,Model Type,Held-out AuROC,Held-out AuPRC,Imbalance
0,Standard-NoRCAug,0.918903421141273,0.6782269879312318,upsample
1,Standard-RCAug,0.9282078136777625,0.6989893346249838,upsample
2,RCPS-Sum,0.9227114171167877,0.6879840195268152,upsample
3,RCPS-Avg,0.9263450630937843,0.6906883352129375,upsample
4,CJ-trained,0.9301067371719546,0.7173834015891808,upsample
5,CJ-trained-max,0.9234050455278077,0.6962095878533847,upsample
6,CJ-posthoc,0.9306776862723155,0.7153015110849203,upsample
7,CJ-posthoc-postsigmoid,0.9305018276405745,0.7152096962498569,upsample
8,CJRCPS-early,0.8851709308870435,0.5062054606270363,upsample
9,CJRCPS-later,0.9188021369926741,0.7048665311696773,upsample
10,CJRCPS-all,0.9274220557788331,0.7103396097392211,upsample
11,Standard-NoRCAug,0.922789180301968,0.6727935345500768,upsample
12,Standard-RCAug,0.9288345479202258,0.711204448445723,upsample
13,RCPS-Sum,0.9264712396905491,0.697702291549656,upsample
14,RCPS-Avg,0.9261248369304634,0.6967457148697399,upsample
15,CJ-trained,0.928542661678851,0.7051797677162938,upsample
16,CJ-trained-max,0.9248401671675329,0.6979898733512702,upsample
17,CJ-posthoc,0.9327158840426104,0.7230144213232773,upsample
18,CJ-posthoc-postsigmoid,0.9323377999848588,0.7220890916634786,upsample
19,CJRCPS-early,0.929269994327539,0.6966091294590392,upsample
20,CJRCPS-later,0.9152770783205566,0.6233010918936525,upsample
21,CJRCPS-all,0.9276203724733137,0.712663783880489,upsample
22,Standard-NoRCAug,0.9217654355122387,0.6905745228654881,upsample
23,Standard-RCAug,0.9266418181060124,0.6988422287178123,upsample
24,RCPS-Sum,0.9239105748057155,0.705509526173365,upsample
25,RCPS-Avg,0.9247779017599989,0.7039330383807596,upsample
26,CJ-trained,0.9271376098422133,0.7166792311868657,upsample
27,CJ-trained-max,0.9241111887371477,0.6940077218816104,upsample
28,CJ-posthoc,0.929690422976868,0.7101957531691803,upsample
29,CJ-posthoc-postsigmoid,0.9289646332485206,0.7088965877592398,upsample
30,CJRCPS-early,0.9244060922449668,0.6886828223169604,upsample
31,CJRCPS-later,0.9228612518254462,0.6657811213081847,upsample
32,CJRCPS-all,0.9271504675117207,0.7032552099287884,upsample
33,Standard-NoRCAug,0.9202055430476147,0.677062355787443,upsample
34,Standard-RCAug,0.925347753672562,0.7046515564068243,upsample
35,RCPS-Sum,0.9238586641080246,0.6921957930989525,upsample
36,RCPS-Avg,0.9242980192468683,0.6965878906788484,upsample
37,CJ-trained,0.9270552521831295,0.715546833945654,upsample
38,CJ-trained-max,0.9231234111349201,0.6829617324277486,upsample
39,CJ-posthoc,0.928732715177728,0.7146620481242718,upsample
40,CJ-posthoc-postsigmoid,0.928989285686856,0.7143690664854953,upsample
41,CJRCPS-early,0.9258417967657099,0.6985377498360534,upsample
42,CJRCPS-later,0.9197274434646556,0.6802672008595381,upsample
43,CJRCPS-all,0.9293332883486336,0.7123959468466187,upsample
44,Standard-NoRCAug,0.9213926316707647,0.6801621170695382,upsample
