,Model Type,seed,Held-out AuROC,Held-out AuPRC,Imbalance
0,RCSumPoolBias,1535,0.9227114171167877,0.6879840195268152,upsample
1,RCSumPoolBiasHalf,1535,0.9036502477998642,0.6351412831929997,upsample
2,Siamese,1535,0.9301067371719546,0.7173834015891808,upsample
3,Standard,1535,0.918903421141273,0.6782269879312318,upsample
4,AugWithin,1535,0.9282078136777625,0.6989893346249838,upsample
5,NAugWithin,1535,0.9306776862723155,0.7153015110849203,upsample
6,AStandard,1535,0.9248161661844527,0.6902334929120011,upsample
7,AAugWithin,1535,0.9305018276405745,0.7152096962498569,upsample
8,RCSumPoolBias,9999,0.9264712396905491,0.697702291549656,upsample
9,RCSumPoolBiasHalf,9999,0.9002648405621552,0.6455724974719307,upsample
10,Siamese,9999,0.928542661678851,0.7051797677162938,upsample
11,Standard,9999,0.922789180301968,0.6727935345500768,upsample
12,AugWithin,9999,0.9288345479202258,0.711204448445723,upsample
13,NAugWithin,9999,0.9327158840426104,0.7230144213232773,upsample
14,AStandard,9999,0.9244935586847352,0.6893281964441724,upsample
15,AAugWithin,9999,0.9323377999848588,0.7220890916634786,upsample
16,RCSumPoolBias,4652,0.9239105748057155,0.705509526173365,upsample
17,RCSumPoolBiasHalf,4652,0.912068695476624,0.6676778914496133,upsample
18,Siamese,4652,0.9271376098422133,0.7166792311868657,upsample
19,Standard,4652,0.9217654355122387,0.6905745228654881,upsample
20,AugWithin,4652,0.9266418181060124,0.6988422287178123,upsample
21,NAugWithin,4652,0.929690422976868,0.7101957531691803,upsample
22,AStandard,4652,0.9256420057251261,0.7010160908265021,upsample
23,AAugWithin,4652,0.9289646332485206,0.7088965877592398,upsample
24,RCSumPoolBias,6806,0.9238586641080246,0.6921957930989525,upsample
25,RCSumPoolBiasHalf,6806,0.9051454747586463,0.6471377607137482,upsample
26,Siamese,6806,0.9270552521831295,0.715546833945654,upsample
27,Standard,6806,0.9202055430476147,0.677062355787443,upsample
28,AugWithin,6806,0.925347753672562,0.7046515564068243,upsample
29,NAugWithin,6806,0.928732715177728,0.7146620481242718,upsample
30,AStandard,6806,0.9244936272589726,0.6923277920097312,upsample
31,AAugWithin,6806,0.928989285686856,0.7143690664854953,upsample
32,RCSumPoolBias,7626,0.9266453839663559,0.705696637223823,upsample
33,RCSumPoolBiasHalf,7626,0.9042902854443775,0.6616619452451604,upsample
34,Siamese,7626,0.926800121732986,0.7078941991772326,upsample
35,Standard,7626,0.9213926316707647,0.6801621170695382,upsample
36,AugWithin,7626,0.9247075103053365,0.7011028798649169,upsample
37,NAugWithin,7626,0.9293365799120274,0.7124018131155927,upsample
38,AStandard,7626,0.9245007246925405,0.6921529565892063,upsample
39,AAugWithin,7626,0.928780579995414,0.7128743967382827,upsample
40,RCSumPoolBias,2143,0.927254528916933,0.6921048355033743,upsample
41,RCSumPoolBiasHalf,2143,0.9067044414710654,0.658770762151813,upsample
42,Siamese,2143,0.9256816416343271,0.7054798478064448,upsample
43,Standard,2143,0.9218415872028405,0.6905037530628273,upsample
44,AugWithin,2143,0.9285204093388237,0.7042746033492994,upsample
45,NAugWithin,2143,0.9328635243756727,0.721685009248756,upsample
46,AStandard,2143,0.9259274802753065,0.7097402257939941,upsample
47,AAugWithin,2143,0.9317608163516093,0.7200295720775236,upsample
48,RCSumPoolBias,3578,0.9244087666402244,0.6959872187208959,upsample
49,RCSumPoolBiasHalf,3578,0.9061283150157831,0.660190533641292,upsample
50,Siamese,3578,0.9273248860844769,0.7073863840591829,upsample
51,Standard,3578,0.9218120659936516,0.6903999097339385,upsample
52,AugWithin,3578,0.925230217429706,0.7092660186510761,upsample
53,NAugWithin,3578,0.927800997014552,0.7174682529597673,upsample
54,AStandard,3578,0.9265864786964533,0.7072482069545262,upsample
55,AAugWithin,3578,0.9276323729648538,0.7173623177965349,upsample
56,RCSumPoolBias,1780,0.9216464249232791,0.6949463256481122,upsample
57,RCSumPoolBiasHalf,1780,0.9134144648850532,0.6689325649260848,upsample
58,Siamese,1780,0.9249449828893563,0.71236867629975,upsample
59,Standard,1780,0.9202644483175174,0.6753347937340894,upsample
60,AugWithin,1780,0.9235883444643036,0.6909647921497143,upsample
61,NAugWithin,1780,0.9267961101400998,0.7048552691624236,upsample
62,AStandard,1780,0.9248982838337059,0.6889959392506536,upsample
63,AAugWithin,1780,0.9265539745079389,0.7047701519687987,upsample
64,RCSumPoolBias,6117,0.9252079650896787,0.6996933556087065,upsample
65,RCSumPoolBiasHalf,6117,0.9013361072983834,0.6464252813019161,upsample
66,Siamese,6117,0.9274454395937772,0.7086978813796495,upsample
67,Standard,6117,0.9237460652102596,0.6744412230598915,upsample
68,AugWithin,6117,0.9258563687911513,0.7081107908943047,upsample
69,NAugWithin,6117,0.930778764698202,0.7190666652632303,upsample
70,AStandard,6117,0.9257816228724158,0.6861507151165451,upsample
71,AAugWithin,6117,0.9305009704626073,0.7179710317513486,upsample
72,RCSumPoolBias,9295,0.9265325107716411,0.6927956671572832,upsample
73,RCSumPoolBiasHalf,9295,0.9067276881375347,0.6421473555010122,upsample
74,Siamese,9295,0.927866416837005,0.7033704490643217,upsample
75,Standard,9295,0.920710146573318,0.6855034079231608,upsample
76,AugWithin,9295,0.9231354116264603,0.6992701813187878,upsample
77,NAugWithin,9295,0.9272124586223051,0.7146310935240757,upsample
78,AStandard,9295,0.9269444362155359,0.6978387343989758,upsample
79,AAugWithin,9295,0.9269455334033339,0.7165562692722895,upsample
