,Model Type,seed,Held-out AuROC,Held-out AuPRC,Imbalance
0,RCSumPool,1535,0.9237049206678364,0.6766600966867856,class_weight
1,RCSumPoolBias,1535,0.9254573353038826,0.6953948966265412,class_weight
2,RCWeight,1535,0.9252853511165532,0.6876119939255825,class_weight
3,Siamese,1535,0.9274784238019532,0.6932040976947624,class_weight
4,AugWithin,1535,0.9282171740611638,0.7045173177370204,class_weight
5,AugOut100,1535,0.9248939293696328,0.685451365029997,class_weight
6,AugOutDouble,1535,0.9281058094996715,0.6991414555976642,class_weight
7,Standard,1535,0.9214983731447925,0.6739490278190852,class_weight
8,NStandard,1535,0.9249765613256661,0.6813971255835253,class_weight
9,NAugWithin,1535,0.9293235508069267,0.7064003731235505,class_weight
10,NAugOut100,1535,0.9268486722930458,0.6956548468088579,class_weight
11,NAugOutDouble,1535,0.9291547896087538,0.7115750054784249,class_weight
12,RCSumPool,9999,0.9253457993067966,0.6994031660851653,class_weight
13,RCSumPoolBias,9999,0.9235422625767895,0.6832317518169386,class_weight
14,RCWeight,9999,0.9249843102144892,0.6818598959278978,class_weight
15,Siamese,9999,0.9282272201869389,0.6893959347576722,class_weight
16,AugWithin,9999,0.9251833126513435,0.6743954995964996,class_weight
17,AugOut100,9999,0.9255393500917797,0.6802375476379132,class_weight
18,AugOutDouble,9999,0.9253919154814295,0.6935679266825902,class_weight
19,Standard,9999,0.9203238678942004,0.6501160829680616,class_weight
20,NStandard,9999,0.9233536491368971,0.6670763364767384,class_weight
21,NAugWithin,9999,0.9263424915598829,0.6804439477430763,class_weight
22,NAugOut100,9999,0.9268713360784974,0.6894484921486075,class_weight
23,NAugOutDouble,9999,0.9284233767929421,0.7037991036956918,class_weight
24,RCSumPool,4652,0.924813834660382,0.6736717810211088,class_weight
25,RCSumPoolBias,4652,0.9255481961684008,0.6877494187548795,class_weight
26,RCWeight,4652,0.924484952617945,0.6887508981956167,class_weight
27,Siamese,4652,0.9296413238229094,0.7107423850167693,class_weight
28,AugWithin,4652,0.9298246227594055,0.7027688644175175,class_weight
29,AugOut100,4652,0.924642364779833,0.685719711913019,class_weight
30,AugOutDouble,4652,0.9271355526150924,0.6963274035449443,class_weight
31,Standard,4652,0.9222856396769441,0.6564387431767217,class_weight
32,NStandard,4652,0.9240560550503006,0.6643316306562068,class_weight
33,NAugWithin,4652,0.9307038130567542,0.7089787953446148,class_weight
34,NAugOut100,4652,0.9273226231346436,0.6979557733704109,class_weight
35,NAugOutDouble,4652,0.9289306890010215,0.7062089889387613,class_weight
36,RCSumPool,6806,0.9236255117009592,0.6619554494916465,class_weight
37,RCSumPoolBias,6806,0.9254753703283116,0.6674322822684162,class_weight
38,RCWeight,6806,0.9236963146010462,0.679705743370553,class_weight
39,Siamese,6806,0.9287662136926843,0.7004090817513562,class_weight
40,AugWithin,6806,0.927824586552208,0.69548142579241,class_weight
41,AugOut100,6806,0.9241359440368392,0.6709427300689301,class_weight
42,AugOutDouble,6806,0.9261700959271292,0.6818317897316659,class_weight
43,Standard,6806,0.9198863985468845,0.6513851116356421,class_weight
44,NStandard,6806,0.9231285542027229,0.6662166717205178,class_weight
45,NAugWithin,6806,0.9296967318067063,0.7039330809901281,class_weight
46,NAugOut100,6806,0.9255752829921627,0.6825394877170927,class_weight
47,NAugOutDouble,6806,0.9278030542416732,0.6924631941921713,class_weight
48,RCSumPool,7626,0.924985201679575,0.681270521019327,class_weight
49,RCSumPoolBias,7626,0.9264232377243887,0.6932114793023707,class_weight
50,RCWeight,7626,0.9259956087801358,0.6892956623141295,class_weight
51,Siamese,7626,0.9275776164363121,0.7008388151138868,class_weight
52,AugWithin,7626,0.9252630644894071,0.7012011098778184,class_weight
53,AugOut100,7626,0.9229738164360928,0.6652317497367743,class_weight
54,AugOutDouble,7626,0.9259988317692922,0.6819152450321027,class_weight
55,Standard,7626,0.9198652433946551,0.6793273897228411,class_weight
56,NStandard,7626,0.9245397091464868,0.6932644111683081,class_weight
57,NAugWithin,7626,0.9280938775823686,0.7094858748943164,class_weight
58,NAugOut100,7626,0.9255756258633497,0.6714869655832075,class_weight
59,NAugOutDouble,7626,0.9292320727742722,0.6927217910065145,class_weight
60,RCSumPool,2143,0.9241919349016536,0.6886002586540804,class_weight
61,RCSumPoolBias,2143,0.9238987114626502,0.6888976709416753,class_weight
62,RCWeight,2143,0.9260363075900161,0.6936063548520781,class_weight
63,Siamese,2143,0.9289464953627359,0.6972308396628911,class_weight
64,AugWithin,2143,0.9258837299118629,0.686700498004575,class_weight
65,AugOut100,2143,0.9241346068392104,0.6845855639341125,class_weight
66,AugOutDouble,2143,0.9277117133574935,0.6883890437628442,class_weight
67,Standard,2143,0.9229766965540624,0.6883229206779937,class_weight
68,NStandard,2143,0.9258434768345255,0.6932408792453847,class_weight
69,NAugWithin,2143,0.9281769209838262,0.6970522120565077,class_weight
70,NAugOut100,2143,0.9259547728217805,0.6911988117592202,class_weight
71,NAugOutDouble,2143,0.9298749905367553,0.6976913321177584,class_weight
72,RCSumPool,3578,0.9249372340005331,0.6764133680579344,class_weight
73,RCSumPoolBias,3578,0.9256186561973008,0.6817605472970444,class_weight
74,RCWeight,3578,0.9243615532777937,0.6920430429850615,class_weight
75,Siamese,3578,0.9282968916121088,0.7066929119229037,class_weight
76,AugWithin,3578,0.9260104208154081,0.6932880067902892,class_weight
77,AugOut100,3578,0.9224239539137238,0.6682697396757045,class_weight
78,AugOutDouble,3578,0.9250656735471313,0.6774632113254209,class_weight
79,Standard,3578,0.922148559776437,0.6738624995547964,class_weight
80,NStandard,3578,0.9266220687256493,0.6880635423485113,class_weight
81,NAugWithin,3578,0.9281638233044883,0.6983258642023913,class_weight
82,NAugOut100,3578,0.9248649224672242,0.6798556277795077,class_weight
83,NAugOutDouble,3578,0.9268565926174621,0.6854707331193702,class_weight
84,RCSumPool,1780,0.9249487887595305,0.6642216284983754,class_weight
85,RCSumPoolBias,1780,0.9242923618722851,0.6737023061000907,class_weight
86,RCWeight,1780,0.9262021543831007,0.6935416566671041,class_weight
87,Siamese,1780,0.926891016884623,0.6964755441224773,class_weight
88,AugWithin,1780,0.9239627598003556,0.6896917905973964,class_weight
89,AugOut100,1780,0.9244004348703838,0.6813704686399986,class_weight
90,AugOutDouble,1780,0.9223648429211089,0.6695682603024239,class_weight
91,Standard,1780,0.9242269077627134,0.6756162165078106,class_weight
92,NStandard,1780,0.9275958228963344,0.6865307805826589,class_weight
93,NAugWithin,1780,0.9258460826555456,0.6910667198095812,class_weight
94,NAugOut100,1780,0.9260573598808893,0.6916148513909078,class_weight
95,NAugOutDouble,1780,0.9255750086952134,0.6823048076778222,class_weight
96,RCSumPool,6117,0.9241401613524377,0.6623310117290847,class_weight
97,RCSumPoolBias,6117,0.9238269142361214,0.668508931715568,class_weight
98,RCWeight,6117,0.9250626219935684,0.6881187618337897,class_weight
99,Siamese,6117,0.9274431080697065,0.6964852909016584,class_weight
100,AugWithin,6117,0.9273707965363976,0.6975932298792188,class_weight
101,AugOut100,6117,0.9239133177752105,0.6749955445348367,class_weight
102,AugOutDouble,6117,0.9277591324426362,0.6938919404767091,class_weight
103,Standard,6117,0.921016296256066,0.6660557221599134,class_weight
104,NStandard,6117,0.926367486869405,0.6768362989344056,class_weight
105,NAugWithin,6117,0.9297822438807092,0.70232567973788,class_weight
106,NAugOut100,6117,0.9263837046765436,0.6886888777624945,class_weight
107,NAugOutDouble,6117,0.9304476197059316,0.701543249008814,class_weight
108,RCSumPool,9295,0.9250651592403513,0.6778368449596519,class_weight
109,RCSumPoolBias,9295,0.9259363606390462,0.6855474608961005,class_weight
110,RCWeight,9295,0.9265287391885857,0.6796656557085359,class_weight
111,Siamese,9295,0.9289904857360101,0.6912207035531935,class_weight
112,AugWithin,9295,0.9261746561139144,0.6895457676857065,class_weight
113,AugOut100,9295,0.9254473920394637,0.6780344914220667,class_weight
114,AugOutDouble,9295,0.9266210401120887,0.6850615662942143,class_weight
115,Standard,9295,0.9227303436063026,0.6774863536256135,class_weight
116,NStandard,9295,0.9257861487720823,0.6854391751275599,class_weight
117,NAugWithin,9295,0.9285935780500998,0.6957253395342636,class_weight
118,NAugOut100,9295,0.928111535448492,0.687672726003224,class_weight
119,NAugOutDouble,9295,0.9298155023858349,0.6954148814267765,class_weight
120,RCSumPool,1535,0.9239273069196342,0.6921056771389313,upsample
121,RCSumPoolBias,1535,0.9227114171167877,0.6879840195268152,upsample
122,RCWeight,1535,0.9258135098927938,0.7009752258241025,upsample
123,Siamese,1535,0.9301067371719546,0.7173834015891808,upsample
124,AugWithin,1535,0.9282078136777625,0.6989893346249838,upsample
125,AugOut100,1535,0.9191230987106946,0.6822884612399613,upsample
126,AugOutDouble,1535,0.9161186899358256,0.6619268595086153,upsample
127,Standard,1535,0.918903421141273,0.6782269879312318,upsample
128,NStandard,1535,0.925395378480417,0.6922659495867493,upsample
129,NAugWithin,1535,0.9306776862723155,0.7153015110849203,upsample
130,NAugOut100,1535,0.9239297755921798,0.6967678192234482,upsample
131,NAugOutDouble,1535,0.921877451528986,0.6824969122245672,upsample
132,RCSumPool,9999,0.9238492694375046,0.6984997364286614,upsample
133,RCSumPoolBias,9999,0.9264712396905491,0.697702291549656,upsample
134,RCWeight,9999,0.9256136845650912,0.7134171801651692,upsample
135,Siamese,9999,0.928542661678851,0.7051797677162938,upsample
136,AugWithin,9999,0.9288345479202258,0.711204448445723,upsample
137,AugOut100,9999,0.9185800936120629,0.6820024989460143,upsample
138,AugOutDouble,9999,0.920800458843937,0.6791128853171955,upsample
139,Standard,9999,0.922789180301968,0.6727935345500768,upsample
140,NStandard,9999,0.9256219820478131,0.6900824424781831,upsample
141,NAugWithin,9999,0.9327158840426104,0.7230144213232773,upsample
142,NAugOut100,9999,0.9248440416119443,0.7003608054052843,upsample
143,NAugOutDouble,9999,0.9253262213620269,0.6990864665150042,upsample
144,RCSumPool,4652,0.92416906539349,0.6969905417333015,upsample
145,RCSumPoolBias,4652,0.9239105748057155,0.705509526173365,upsample
146,RCWeight,4652,0.9259607044933131,0.6993528067135628,upsample
147,Siamese,4652,0.9271376098422133,0.7166792311868657,upsample
148,AugWithin,4652,0.9266418181060124,0.6988422287178123,upsample
149,AugOut100,4652,0.9224856364402402,0.6894281226711364,upsample
150,AugOutDouble,4652,0.9196206733770672,0.6858950875844739,upsample
151,Standard,4652,0.9217654355122387,0.6905745228654881,upsample
152,NStandard,4652,0.9260001689669208,0.7025337998081422,upsample
153,NAugWithin,4652,0.929690422976868,0.7101957531691803,upsample
154,NAugOut100,4652,0.9260231756235593,0.6992657587208843,upsample
155,NAugOutDouble,4652,0.9247600038840448,0.6982450891394463,upsample
156,RCSumPool,6806,0.9207006833285605,0.6812152295446664,upsample
157,RCSumPoolBias,6806,0.9238586641080246,0.6921957930989525,upsample
158,RCWeight,6806,0.925706191211306,0.6996394608655516,upsample
159,Siamese,6806,0.9270552521831295,0.715546833945654,upsample
160,AugWithin,6806,0.925347753672562,0.7046515564068243,upsample
161,AugOut100,6806,0.9202692828012522,0.6723058294801344,upsample
162,AugOutDouble,6806,0.9188737627836093,0.6773611110350042,upsample
163,Standard,6806,0.9202055430476147,0.677062355787443,upsample
164,NStandard,6806,0.9242200503389763,0.6925947451566186,upsample
165,NAugWithin,6806,0.928732715177728,0.7146620481242718,upsample
