,Model Type,seed,Held-out AuROC,Held-out AuPRC,Imbalance
0,RCSumPool,1535,0.9239273069196342,0.6921056771389313,upsample
1,RCSumPoolBias,1535,0.9227114171167877,0.6879840195268152,upsample
2,RCSumPoolBiasHalf,1535,0.9036502477998642,0.6351412831929997,upsample
3,RCWeight,1535,0.9258135098927938,0.7009752258241025,upsample
4,Siamese,1535,0.9301067371719546,0.7173834015891808,upsample
5,Standard,1535,0.918903421141273,0.6782269879312318,upsample
6,AugWithin,1535,0.9282078136777625,0.6989893346249838,upsample
7,AugOut100,1535,0.9191230987106946,0.6822884612399613,upsample
8,AugOutDouble,1535,0.9161186899358256,0.6619268595086153,upsample
9,NStandard,1535,0.925395378480417,0.6922659495867493,upsample
10,NAugWithin,1535,0.9306776862723155,0.7153015110849203,upsample
11,NAugOut100,1535,0.9239297755921798,0.6967678192234482,upsample
12,NAugOutDouble,1535,0.921877451528986,0.6824969122245672,upsample
13,RCSumPool,9999,0.9238492694375046,0.6984997364286614,upsample
14,RCSumPoolBias,9999,0.9264712396905491,0.697702291549656,upsample
15,RCSumPoolBiasHalf,9999,0.9002648405621552,0.6455724974719307,upsample
16,RCWeight,9999,0.9256136845650912,0.7134171801651692,upsample
17,Siamese,9999,0.928542661678851,0.7051797677162938,upsample
18,Standard,9999,0.922789180301968,0.6727935345500768,upsample
19,AugWithin,9999,0.9288345479202258,0.711204448445723,upsample
20,AugOut100,9999,0.9185800936120629,0.6820024989460143,upsample
21,AugOutDouble,9999,0.920800458843937,0.6791128853171955,upsample
22,NStandard,9999,0.9256219820478131,0.6900824424781831,upsample
23,NAugWithin,9999,0.9327158840426104,0.7230144213232773,upsample
24,NAugOut100,9999,0.9248440416119443,0.7003608054052843,upsample
25,NAugOutDouble,9999,0.9253262213620269,0.6990864665150042,upsample
26,RCSumPool,4652,0.92416906539349,0.6969905417333015,upsample
27,RCSumPoolBias,4652,0.9239105748057155,0.705509526173365,upsample
28,RCSumPoolBiasHalf,4652,0.912068695476624,0.6676778914496133,upsample
29,RCWeight,4652,0.9259607044933131,0.6993528067135628,upsample
30,Siamese,4652,0.9271376098422133,0.7166792311868657,upsample
31,Standard,4652,0.9217654355122387,0.6905745228654881,upsample
32,AugWithin,4652,0.9266418181060124,0.6988422287178123,upsample
33,AugOut100,4652,0.9224856364402402,0.6894281226711364,upsample
34,AugOutDouble,4652,0.9196206733770672,0.6858950875844739,upsample
35,NStandard,4652,0.9260001689669208,0.7025337998081422,upsample
36,NAugWithin,4652,0.929690422976868,0.7101957531691803,upsample
37,NAugOut100,4652,0.9260231756235593,0.6992657587208843,upsample
38,NAugOutDouble,4652,0.9247600038840448,0.6982450891394463,upsample
39,RCSumPool,6806,0.9207006833285605,0.6812152295446664,upsample
40,RCSumPoolBias,6806,0.9238586641080246,0.6921957930989525,upsample
