,Unnamed: 0,Model Type,seed,loss,Train or Test
0,0,RCPS,1535,6.1749059337336325,train
1,1,CJ-trained,1535,6.132891668985215,train
2,2,CJ-posthoc,1535,6.14178109965523,train
3,3,RCPS,9999,6.1266061683450355,train
4,4,CJ-trained,9999,6.132328352993356,train
5,5,CJ-posthoc,9999,6.144724336250224,train
6,6,RCPS,4652,6.139472631500758,train
7,7,CJ-trained,4652,6.1658983486124495,train
8,8,CJ-posthoc,4652,6.147249333825211,train
9,9,RCPS,6806,6.139569776014423,train
10,10,CJ-trained,6806,6.149222916951767,train
11,11,CJ-posthoc,6806,6.155321719402927,train
12,12,RCPS,7626,6.132588636460284,train
13,13,CJ-trained,7626,6.141734015514613,train
14,14,CJ-posthoc,7626,6.126042037648529,train
15,15,RCPS,2143,6.187887770404577,train
16,16,CJ-trained,2143,6.137201589895892,train
17,17,CJ-posthoc,2143,6.13504142267705,train
18,18,RCPS,3578,6.152004616211414,train
19,19,CJ-trained,3578,6.144940961367017,train
20,20,CJ-posthoc,3578,6.132976445143227,train
21,21,RCPS,1780,6.153433041352142,train
22,22,CJ-trained,1780,6.144083635571433,train
23,23,CJ-posthoc,1780,6.142536816573667,train
24,24,RCPS,6117,6.126191626898593,train
25,25,CJ-trained,6117,6.141763762757652,train
26,26,CJ-posthoc,6117,6.135200542918745,train
27,27,RCPS,9295,6.160209022362982,train
28,28,CJ-trained,9295,6.143628341069065,train
29,29,CJ-posthoc,9295,6.131548243785081,train
0,0,RCPS,1535,6.246884834422195,test
1,1,CJ-trained,1535,6.247526541237835,test
2,2,CJ-posthoc,1535,6.21321488319848,test
3,3,RCPS,9999,6.217821148224293,test
4,4,CJ-trained,9999,6.237194027045901,test
5,5,CJ-posthoc,9999,6.208034154640562,test
6,6,RCPS,4652,6.226712898184434,test
7,7,CJ-trained,4652,6.245247341502835,test
8,8,CJ-posthoc,4652,6.208154058621863,test
9,9,RCPS,6806,6.2208314498407296,test
10,10,CJ-trained,6806,6.248611827233236,test
11,11,CJ-posthoc,6806,6.2132854086669465,test
12,12,RCPS,7626,6.214627295254064,test
13,13,CJ-trained,7626,6.24085082681454,test
14,14,CJ-posthoc,7626,6.209853376771238,test
15,15,RCPS,2143,6.244278141786907,test
16,16,CJ-trained,2143,6.24095097502124,test
17,17,CJ-posthoc,2143,6.212374569136437,test
18,18,RCPS,3578,6.2259976486225685,test
19,19,CJ-trained,3578,6.250418186469058,test
20,20,CJ-posthoc,3578,6.2095284504712005,test
21,21,RCPS,1780,6.221927889982707,test
22,22,CJ-trained,1780,6.242024213495459,test
23,23,CJ-posthoc,1780,6.215839754994889,test
24,24,RCPS,6117,6.2126930975656345,test
25,25,CJ-trained,6117,6.236727818741128,test
26,26,CJ-posthoc,6117,6.20605231289001,test
27,27,RCPS,9295,6.225047920378188,test
28,28,CJ-trained,9295,6.239911286197045,test
29,29,CJ-posthoc,9295,6.205498309493624,test
