,Unnamed: 0,Model Type,seed,loss,Train or Test
0,0,RCPS,1535,6.170092827374152,train
1,1,CJ-duringtraining,1535,6.133500965480272,train
2,2,CJ-posthoc,1535,6.142057874621633,train
3,3,RCPS,9999,6.140211962363929,train
4,4,CJ-duringtraining,9999,6.14454295089787,train
5,5,CJ-posthoc,9999,6.135621612809301,train
6,6,RCPS,4652,6.163135627435633,train
7,7,CJ-duringtraining,4652,6.156940518654243,train
8,8,CJ-posthoc,4652,6.135124029057941,train
9,9,RCPS,6806,6.1280577761183945,train
10,10,CJ-duringtraining,6806,6.149687793475772,train
11,11,CJ-posthoc,6806,6.153463246455301,train
12,12,RCPS,7626,6.1357736364390085,train
13,13,CJ-duringtraining,7626,6.137346809087868,train
14,14,CJ-posthoc,7626,6.127139297458199,train
15,15,RCPS,2143,6.1330881670315165,train
16,16,CJ-duringtraining,2143,6.140492047607727,train
17,17,CJ-posthoc,2143,6.1303653642722535,train
18,18,RCPS,3578,6.132266162782823,train
19,19,CJ-duringtraining,3578,6.141392971434707,train
20,20,CJ-posthoc,3578,6.132981809499282,train
21,21,RCPS,1780,6.141336022761066,train
22,22,CJ-duringtraining,1780,6.138127037707394,train
23,23,CJ-posthoc,1780,6.144083736217188,train
24,24,RCPS,6117,6.129101437949581,train
25,25,CJ-duringtraining,6117,6.138261308338894,train
26,26,CJ-posthoc,6117,6.133589597673456,train
27,27,RCPS,9295,6.146261468381293,train
28,28,CJ-duringtraining,9295,6.1348685686345235,train
29,29,CJ-posthoc,9295,6.138774630318463,train
0,0,RCPS,1535,6.248942375911146,test
1,1,CJ-duringtraining,1535,6.2496868303378825,test
2,2,CJ-posthoc,1535,6.2061433462277895,test
3,3,RCPS,9999,6.2124200574782895,test
4,4,CJ-duringtraining,9999,6.242021114579568,test
5,5,CJ-posthoc,9999,6.202166423393787,test
6,6,RCPS,4652,6.216995068996918,test
7,7,CJ-duringtraining,4652,6.233068298050848,test
8,8,CJ-posthoc,4652,6.201642137573867,test
9,9,RCPS,6806,6.206084932643753,test
10,10,CJ-duringtraining,6806,6.233666251150467,test
11,11,CJ-posthoc,6806,6.206402566083408,test
12,12,RCPS,7626,6.223891824821032,test
13,13,CJ-duringtraining,7626,6.231897984685258,test
14,14,CJ-posthoc,7626,6.203865157306273,test
15,15,RCPS,2143,6.22482372423753,test
16,16,CJ-duringtraining,2143,6.235956257111442,test
17,17,CJ-posthoc,2143,6.196726755321894,test
18,18,RCPS,3578,6.220801086320172,test
19,19,CJ-duringtraining,3578,6.23066480156638,test
20,20,CJ-posthoc,3578,6.205777190509432,test
21,21,RCPS,1780,6.2307098971571255,test
22,22,CJ-duringtraining,1780,6.244973247774528,test
23,23,CJ-posthoc,1780,6.212771492658522,test
24,24,RCPS,6117,6.217391178786546,test
25,25,CJ-duringtraining,6117,6.234110319344915,test
26,26,CJ-posthoc,6117,6.204270433035715,test
27,27,RCPS,9295,6.230831159021367,test
28,28,CJ-duringtraining,9295,6.234754501328688,test
29,29,CJ-posthoc,9295,6.207527062452106,test
