,Model Type,seed,jsd,pears,spear,Train or Test
0,Standard-NoRCAug,1535,0.15159855284723625,0.546552691653045,0.43493362080848347,train
1,Standard-RCAug,1535,0.1537234375734896,0.5407029942347661,0.43023668878543214,train
2,RCPS,1535,0.15520981166503806,0.5381788441576867,0.42677904502099734,train
3,CJ-duringtraining,1535,0.15010664947690466,0.5546746116323988,0.4396199212596372,train
4,CJ-posthoc,1535,0.15094259403441637,0.5523420866100449,0.43678615130836423,train
5,RCPS-half,1535,0.15716973123753503,0.5282042187688359,0.42302079730890974,train
6,CJRCPS,1535,0.14917383773465337,0.5580761354041693,0.4405080851389624,train
7,Standard-NoRCAug,9999,0.1505245042288545,0.5489516235772623,0.43691428105550867,train
8,Standard-RCAug,9999,0.15318269872373025,0.5475863443700851,0.43477825698663686,train
9,RCPS,9999,0.14787386514633005,0.5648996742737854,0.44431918339928567,train
10,CJ-duringtraining,9999,0.1521323046019458,0.5484298510042055,0.4354093551535758,train
11,CJ-posthoc,9999,0.1504483695024135,0.5598946041321844,0.44199764392328933,train
12,RCPS-half,9999,0.16241865789289317,0.5120242239165747,0.4107200853032281,train
13,CJRCPS,9999,0.15047108726566324,0.5527909638093719,0.43604190350889344,train
14,Standard-NoRCAug,4652,0.1521316369586423,0.5471121445984345,0.43434431259187123,train
15,Standard-RCAug,4652,0.15329416572158622,0.546002682434696,0.4327493223527651,train
16,RCPS,4652,0.15314547927832659,0.5478331760794817,0.43408216107168357,train
17,CJ-duringtraining,4652,0.15427539676137242,0.539239230236741,0.4278546592641394,train
18,CJ-posthoc,4652,0.1506156061686081,0.5579019310681765,0.4395223190259444,train
19,RCPS-half,4652,0.15904444147337263,0.5270157216324031,0.4207475963148678,train
20,CJRCPS,4652,0.1515974001281989,0.5513749712686278,0.4353097473920766,train
21,Standard-NoRCAug,6806,0.1561393180770625,0.5347206000374499,0.42755229916713844,train
22,Standard-RCAug,6806,0.15503541285338346,0.535190613637754,0.4264566776458884,train
23,RCPS,6806,0.14632422126093475,0.5663474063169232,0.44437752212658327,train
24,CJ-duringtraining,6806,0.15346152443096672,0.5453290150754684,0.4310458881295233,train
25,CJ-posthoc,6806,0.15227075181590727,0.5468461494031363,0.4324790042907978,train
26,RCPS-half,6806,0.1547782596891903,0.5353375303588159,0.4267873840735989,train
27,CJRCPS,6806,0.1512468413448209,0.5481269807204784,0.4336299975847804,train
28,Standard-NoRCAug,7626,0.15113755927297576,0.5502740456313298,0.43680721217998897,train
29,Standard-RCAug,7626,0.15187738138523407,0.5509241606082681,0.4369228092199084,train
30,RCPS,7626,0.1464896399108112,0.5658326473421084,0.44546041243753204,train
31,CJ-duringtraining,7626,0.1491801672404146,0.555430748925362,0.4379597752371604,train
32,CJ-posthoc,7626,0.14909452428228337,0.5631267965638136,0.4438151983450403,train
33,RCPS-half,7626,0.15795864560837478,0.5279163523552975,0.4219633095770426,train
34,CJRCPS,7626,0.15257016658459474,0.5459509541801243,0.4317255288318569,train
35,Standard-NoRCAug,2143,0.15186868994789135,0.5461698735537974,0.4343893778992567,train
36,Standard-RCAug,2143,0.15170344062025526,0.5496833592333297,0.4353044015999236,train
37,RCPS,2143,0.14778372652975835,0.5616940434376886,0.4430021315028686,train
38,CJ-duringtraining,2143,0.15083715495880815,0.5510816430877654,0.4365526123590399,train
39,CJ-posthoc,2143,0.14888132372866986,0.5614786720610887,0.4421050540669397,train
40,RCPS-half,2143,0.15921065338807242,0.5293238420735203,0.4227820659119603,train
41,CJRCPS,2143,0.15052026471850416,0.5576797054186514,0.43864769238256635,train
