,Unnamed: 0,Model Type,seed,jsd,pears,spear
0,0,Standard-NoRCAug,1535,0.16172759816238974,0.3563785333507785,0.3141069390992375
1,1,Standard-RCAug,1535,0.1593186913222273,0.36675734751688016,0.3212769338719644
2,2,RCPS,1535,0.16302646604868326,0.3533828788489623,0.3111708983549854
3,3,CJ-trained,1535,0.15950457893332345,0.3666217838607025,0.3217740624833669
4,4,CJ-posthoc,1535,0.15715668889196052,0.3788439157861848,0.3306390061233276
5,5,RCPS-half,1535,0.1719276300064801,0.3086056985247335,0.2721987858870503
6,6,Standard-NoRCAug,9999,0.15928238906129066,0.3663481753662592,0.323347621257758
7,7,Standard-RCAug,9999,0.15838776591622722,0.3690045012702443,0.3231227232343106
8,8,RCPS,9999,0.15791753806554498,0.3769357096497494,0.330252237556799
9,9,CJ-trained,9999,0.1584071452597189,0.37283357071226414,0.3271706800843975
10,10,CJ-posthoc,9999,0.15718061419061324,0.3767093872610916,0.3287401682934711
11,11,RCPS-half,9999,0.1636462625991804,0.346255823194165,0.3067964217219433
12,12,Standard-NoRCAug,4652,0.16054994636742548,0.3592789528611953,0.3165765645946151
13,13,Standard-RCAug,4652,0.15904024390203458,0.36833733716451256,0.32305692607135417
14,14,RCPS,4652,0.16468554752586492,0.34724199474967976,0.30610895163216345
15,15,CJ-trained,4652,0.15916140179000865,0.3670003566701563,0.32248550018055444
16,16,CJ-posthoc,4652,0.15757071694846506,0.3783779338969195,0.3301927706502697
17,17,RCPS-half,4652,0.16547591359844702,0.3427013220389649,0.3035671988217195
18,18,Standard-NoRCAug,6806,0.16148993928233674,0.3547044653661802,0.3134026966672864
19,19,Standard-RCAug,6806,0.15989723828113772,0.3632891152968144,0.3198999208987168
20,20,RCPS,6806,0.1599166702898766,0.3655843409657131,0.3222089192568662
21,21,CJ-trained,6806,0.1617361936832982,0.35539538949720206,0.3125901433243985
22,22,CJ-posthoc,6806,0.15782766952465355,0.37455050272974,0.3284108467738209
23,23,RCPS-half,6806,0.1594753652534368,0.3690884214670746,0.3245701726082709
24,24,Standard-NoRCAug,7626,0.16170157419993886,0.3560181298435331,0.31306035625451706
25,25,Standard-RCAug,7626,0.1584281574750733,0.3719426448719329,0.3257265926879249
26,26,RCPS,7626,0.16093676373993535,0.3639475393223149,0.32053897430940675
27,27,CJ-trained,7626,0.1600444398998614,0.3625324904823337,0.318180551068163
28,28,CJ-posthoc,7626,0.15666143427915255,0.38313794882261404,0.3341925239650374
29,29,RCPS-half,7626,0.16163679473297365,0.3625562893416146,0.3191304440320845
30,30,Standard-NoRCAug,2143,0.1623081465032252,0.3537833282979205,0.31173392129131305
31,31,Standard-RCAug,2143,0.15794363593687133,0.3728525044360701,0.3273656225602289
32,32,RCPS,2143,0.16384808577241086,0.3528936161731094,0.3094520458355535
33,33,CJ-trained,2143,0.1589578187459669,0.37082292383013976,0.3254917762500425
34,34,CJ-posthoc,2143,0.1567636611671034,0.3812678474581189,0.33339789107371703
35,35,RCPS-half,2143,0.16590655827055742,0.3379862143501052,0.299459795748838
36,36,Standard-NoRCAug,3578,0.16209515360384902,0.3542827530785189,0.31319327529594193
37,37,Standard-RCAug,3578,0.15881614704221622,0.3685009674004353,0.32300964288136746
38,38,RCPS,3578,0.1609753776035031,0.3613150624836943,0.318291561621397
39,39,CJ-trained,3578,0.16090734311934302,0.3609022071109731,0.31818753723091386
40,40,CJ-posthoc,3578,0.15712452481656175,0.3796660456561086,0.3315377813392792
41,41,RCPS-half,3578,0.16166722521971735,0.3571131035228897,0.3155545417458444
42,42,Standard-NoRCAug,1780,0.1619831588874969,0.3563739429817247,0.3138209353602054
43,43,Standard-RCAug,1780,0.15954034808003173,0.3658955467314116,0.3207024471657585
44,44,RCPS,1780,0.16023363741922333,0.3630377580064966,0.3201686966610192
45,45,CJ-trained,1780,0.15941689173808593,0.3672961596548753,0.3222462472596124
46,46,CJ-posthoc,1780,0.15796352983876466,0.3760935310947664,0.3284559443317201
47,47,RCPS-half,1780,0.1587087961621248,0.370066438632742,0.3249239361866826
48,48,Standard-NoRCAug,6117,0.160755719621843,0.35998853758373284,0.31820802734103354
49,49,Standard-RCAug,6117,0.15801930128081254,0.3724141389798453,0.3268777484199669
50,50,RCPS,6117,0.1604998531059193,0.3618059847727321,0.3179971239559228
51,51,CJ-trained,6117,0.1585486646014497,0.3709562071288329,0.3265791679652776
52,52,CJ-posthoc,6117,0.15646976139835478,0.3821562716205638,0.3340294125797659
53,53,RCPS-half,6117,0.15958272145661762,0.3649937993924957,0.32092021220990724
54,54,Standard-NoRCAug,9295,0.16103914107339218,0.35656707260678394,0.3149931493935911
55,55,Standard-RCAug,9295,0.15855557726482272,0.3694510932017967,0.3244495279178351
56,56,RCPS,9295,0.15707226409680725,0.37772230849310107,0.33021496105138426
57,57,CJ-trained,9295,0.1601671608474326,0.3636334422331132,0.3205029906887856
58,58,CJ-posthoc,9295,0.1569845901028092,0.3794758638467053,0.3317371481440585
59,59,RCPS-half,9295,0.15865517242976498,0.372571370727377,0.3275535170674154
0,0,CJRCPS,1535,0.16445333754682626,0.34971388302902595,0.3052439035070109
1,1,CJRCPS,9999,0.15656037525699526,0.380680771227822,0.33484911015382224
2,2,CJRCPS,4652,0.1603244496225124,0.3656666881242943,0.3222362467631883
3,3,CJRCPS,6806,0.15706981057337904,0.3765428244001638,0.3292544678960207
4,4,CJRCPS,7626,0.15919331344566598,0.3701070114977377,0.32427693453848183
5,5,CJRCPS,2143,0.1596028149203175,0.36995350081451656,0.323857145495265
6,6,CJRCPS,3578,0.1606765855314924,0.3628561480906367,0.3195166476595227
7,7,CJRCPS,1780,0.15878064167952222,0.3714753044946357,0.3259988054588404
8,8,CJRCPS,6117,0.1582603934443798,0.36928373386707336,0.3249792219624224
9,9,CJRCPS,9295,0.1580388543402071,0.3733332092068151,0.3277314351934467
