,Unnamed: 0,Model Type,seed,loss,Train or Test
0,0,RCPS,1535,6.504051777997012,train
1,1,CJ-trained,1535,6.428102191164728,train
2,2,CJ-posthoc,1535,6.418358574883618,train
3,3,RCPS,9999,6.494676473026321,train
4,4,CJ-trained,9999,6.442354765237321,train
5,5,CJ-posthoc,9999,6.430652683360889,train
6,6,RCPS,4652,6.5146313357460475,train
7,7,CJ-trained,4652,6.431228639623853,train
8,8,CJ-posthoc,4652,6.42415089686488,train
9,9,RCPS,6806,6.495673320766557,train
10,10,CJ-trained,6806,6.446128248142752,train
11,11,CJ-posthoc,6806,6.4253647974059485,train
12,12,RCPS,7626,6.471239352267343,train
13,13,CJ-trained,7626,6.396017398809228,train
14,14,CJ-posthoc,7626,6.415976407815205,train
15,15,RCPS,2143,6.496749332716728,train
16,16,CJ-trained,2143,6.4373322311492425,train
17,17,CJ-posthoc,2143,6.427197079111504,train
18,18,RCPS,3578,6.484576649246923,train
19,19,CJ-trained,3578,6.4362230477696425,train
20,20,CJ-posthoc,3578,6.419393475055236,train
21,21,RCPS,1780,6.456876922182237,train
22,22,CJ-trained,1780,6.439773858459522,train
23,23,CJ-posthoc,1780,6.432220141484288,train
24,24,RCPS,6117,6.495470987388012,train
25,25,CJ-trained,6117,6.438641398211126,train
26,26,CJ-posthoc,6117,6.422508608212,train
27,27,RCPS,9295,6.464957967221327,train
28,28,CJ-trained,9295,6.461005081663443,train
29,29,CJ-posthoc,9295,6.417004356898053,train
0,0,RCPS,1535,6.544508859970035,test
1,1,CJ-trained,1535,6.527301427222559,test
2,2,CJ-posthoc,1535,6.5062704211631575,test
3,3,RCPS,9999,6.520928001295147,test
4,4,CJ-trained,9999,6.516280645697028,test
5,5,CJ-posthoc,9999,6.505185567723238,test
6,6,RCPS,4652,6.550328165957304,test
7,7,CJ-trained,4652,6.516212882642058,test
8,8,CJ-posthoc,4652,6.509093132558179,test
9,9,RCPS,6806,6.5271333095967305,test
10,10,CJ-trained,6806,6.531798764824065,test
11,11,CJ-posthoc,6806,6.509868078260737,test
12,12,RCPS,7626,6.5389217482855795,test
13,13,CJ-trained,7626,6.528459507137464,test
14,14,CJ-posthoc,7626,6.503683460049562,test
15,15,RCPS,2143,6.550316612512821,test
16,16,CJ-trained,2143,6.522109274332683,test
17,17,CJ-posthoc,2143,6.505725621531401,test
18,18,RCPS,3578,6.536908606630039,test
19,19,CJ-trained,3578,6.531676141335059,test
20,20,CJ-posthoc,3578,6.502464451860173,test
21,21,RCPS,1780,6.5273982319422545,test
22,22,CJ-trained,1780,6.52310473688201,test
23,23,CJ-posthoc,1780,6.513801727832192,test
24,24,RCPS,6117,6.525585199447843,test
25,25,CJ-trained,6117,6.518091895251674,test
26,26,CJ-posthoc,6117,6.505268392974937,test
27,27,RCPS,9295,6.507430442921537,test
28,28,CJ-trained,9295,6.540230405408512,test
29,29,CJ-posthoc,9295,6.505613274713512,test
