,Unnamed: 0,Model Type,seed,loss,Train or Test
0,0,RCPS,1535,6.503175819901317,train
1,1,CJ-duringtraining,1535,6.407247806483332,train
2,2,CJ-posthoc,1535,6.435401036460817,train
3,3,RCPS,9999,6.452732733739988,train
4,4,CJ-duringtraining,9999,6.421227449667487,train
5,5,CJ-posthoc,9999,6.434764832820736,train
6,6,RCPS,4652,6.509149160818612,train
7,7,CJ-duringtraining,4652,6.424749237261741,train
8,8,CJ-posthoc,4652,6.4258519011715265,train
9,9,RCPS,6806,6.42404209112347,train
10,10,CJ-duringtraining,6806,6.422560611921706,train
11,11,CJ-posthoc,6806,6.432422160897724,train
12,12,RCPS,7626,6.480683322947416,train
13,13,CJ-duringtraining,7626,6.397927140603478,train
14,14,CJ-posthoc,7626,6.432292720391304,train
15,15,RCPS,2143,6.5225229828694244,train
16,16,CJ-duringtraining,2143,6.447097685433381,train
17,17,CJ-posthoc,2143,6.459995449066841,train
18,18,RCPS,3578,6.5016827314414645,train
19,19,CJ-duringtraining,3578,6.417643673454371,train
20,20,CJ-posthoc,3578,6.4472656297239315,train
21,21,RCPS,1780,6.431427182608724,train
22,22,CJ-duringtraining,1780,6.454471865989915,train
23,23,CJ-posthoc,1780,6.439547342566375,train
24,24,RCPS,6117,6.412853522766015,train
25,25,CJ-duringtraining,6117,6.447838954617086,train
26,26,CJ-posthoc,6117,6.421875634168504,train
27,27,RCPS,9295,6.4727938123952935,train
28,28,CJ-duringtraining,9295,6.4225071889624665,train
29,29,CJ-posthoc,9295,6.428470291793682,train
0,0,RCPS,1535,6.5505274550856845,test
1,1,CJ-duringtraining,1535,6.526723510259561,test
2,2,CJ-posthoc,1535,6.5139673408511225,test
3,3,RCPS,9999,6.517553228475287,test
4,4,CJ-duringtraining,9999,6.5179255396045725,test
5,5,CJ-posthoc,9999,6.500521047042129,test
6,6,RCPS,4652,6.551956965354439,test
7,7,CJ-duringtraining,4652,6.52504201112763,test
8,8,CJ-posthoc,4652,6.502110087688032,test
9,9,RCPS,6806,6.507759170361033,test
10,10,CJ-duringtraining,6806,6.525652819643089,test
11,11,CJ-posthoc,6806,6.508992704177929,test
12,12,RCPS,7626,6.521075587438991,test
13,13,CJ-duringtraining,7626,6.525272201087882,test
14,14,CJ-posthoc,7626,6.502407071199857,test
15,15,RCPS,2143,6.5402506180431,test
16,16,CJ-duringtraining,2143,6.5169289809517315,test
17,17,CJ-posthoc,2143,6.510736682541879,test
18,18,RCPS,3578,6.5406263629219605,test
19,19,CJ-duringtraining,3578,6.5295456704276695,test
20,20,CJ-posthoc,3578,6.5090079387357465,test
21,21,RCPS,1780,6.524101061435268,test
22,22,CJ-duringtraining,1780,6.525005369960174,test
23,23,CJ-posthoc,1780,6.507309014438571,test
24,24,RCPS,6117,6.5189974951124725,test
25,25,CJ-duringtraining,6117,6.5182787475903785,test
26,26,CJ-posthoc,6117,6.496490703945919,test
27,27,RCPS,9295,6.507730610564795,test
28,28,CJ-duringtraining,9295,6.522842990361581,test
29,29,CJ-posthoc,9295,6.5064737241918165,test
