,Model Type,seed,jsd,pears,spear
0,RevComp,1535,0.16329283049992338,0.34974479001764586,0.30880027875652705
1,Siamese,1535,0.15937501677791222,0.365359700802478,0.3205659375262841
2,Standard,1535,0.16067533694991484,0.3603381744550221,0.3164359747892432
3,AugWithin,1535,0.15730049843250776,0.3755181125144975,0.3292169988504294
4,NAugWithin,1535,0.15536390847898846,0.38673181033066106,0.3374238574713641
5,AugOut,1535,0.15688264099503757,0.37635705751014287,0.3289152333790353
6,AugOutDouble,1535,0.15788207942053495,0.37377660579051813,0.32901466971707516
7,NAugOut,1535,0.15496788788485816,0.38716069923574487,0.3368868851188792
8,NAugOutDouble,1535,0.15551345951774473,0.38685383704668297,0.3386016064122459
9,NStandard,1535,0.1576852821579737,0.3775083383708533,0.32938739764142855
10,RevComp,9999,0.16132620171943934,0.35943325812907795,0.3167634906191334
11,Siamese,9999,0.1590547423352517,0.36756698763014195,0.3218558958920675
12,Standard,9999,0.16963209681548022,0.3132197915757677,0.2823722463226133
13,AugWithin,9999,0.16646158033137243,0.32949642603192436,0.29419152119830305
14,NAugWithin,9999,0.16526175317204814,0.338269071328803,0.29983905138746536
15,AugOut,9999,0.16740655145608382,0.32363716300461876,0.28867737158002704
16,AugOutDouble,9999,0.16578658666562066,0.33361658756535334,0.2982853070189335
17,NAugOut,9999,0.16609272541148593,0.3353010943374357,0.296234904150085
18,NAugOutDouble,9999,0.16460439110897898,0.3437118942543251,0.30459050445784946
19,NStandard,9999,0.1675404678744669,0.3261525176131357,0.29064767451413875
20,RevComp,4652,0.17099262734195855,0.2615593047235389,0.27193640175357914
21,Siamese,4652,0.15780903578191158,0.37675614602507534,0.33101424888684156
22,Standard,4652,0.1614658218552,0.3597708098085129,0.3172238829498894
23,AugWithin,4652,0.15872933650294863,0.37184008112149325,0.32523836188083294
24,NAugWithin,4652,0.15747947568035067,0.3792884753921007,0.3306844440934855
25,AugOut,4652,0.15927474170942568,0.3687441225910758,0.3237060842886305
26,AugOutDouble,4652,0.15811247443526574,0.37382510292118976,0.3280160510526649
27,NAugOut,4652,0.15818518528352477,0.37621592118362984,0.328802879142505
28,NAugOutDouble,4652,0.15708258849830356,0.3812104744897607,0.3333202188862283
29,NStandard,4652,0.15945200993391045,0.37092668674887613,0.3254795825781505
30,RevComp,6806,0.16048994918168955,0.36334249675099545,0.3188831620939428
31,Siamese,6806,0.15861625376240737,0.36947764080151363,0.32428338903514703
32,Standard,6806,0.16192753790281067,0.35213591960849805,0.31088410862074906
33,AugWithin,6806,0.15789924932985938,0.3730404419889204,0.32755283424939086
34,NAugWithin,6806,0.1561412717646799,0.38386674447903135,0.3354445148002489
35,AugOut,6806,0.157408047610847,0.37345304728683637,0.3280717714283816
36,AugOutDouble,6806,0.1590942551759063,0.36840780215085356,0.32317569848415484
37,NAugOut,6806,0.15584897098882897,0.38391953018761665,0.33520024715609353
38,NAugOutDouble,6806,0.15736328808821676,0.3793305816638251,0.3310792861338861
39,NStandard,6806,0.158742308497256,0.3704693771692941,0.32437477788734004
40,RevComp,7626,0.16460095271205866,0.3491640785287185,0.30744558535683053
41,Siamese,7626,0.15863398729168632,0.3693013871568,0.3235053669373437
42,Standard,7626,0.16059058683306995,0.36326898871327773,0.3205549920945225
43,AugWithin,7626,0.15696436547135315,0.3798209487763242,0.3331074436741118
44,NAugWithin,7626,0.1557797599420534,0.38685381967833254,0.3384100293464036
45,AugOut,7626,0.1583275129386372,0.3720663496612629,0.3261981665741866
46,AugOutDouble,7626,0.15792005203965087,0.37244873728528827,0.32795620208495524
47,NAugOut,7626,0.15720367703442753,0.37912787022075023,0.33118329882308384
48,NAugOutDouble,7626,0.1559258329378497,0.38309031248516645,0.33527216538985366
49,NStandard,7626,0.1587596434086888,0.373832008102426,0.3283286852945432
50,RevComp,2143,0.1672805957036807,0.33523936233520635,0.2959846009013561
51,Siamese,2143,0.15941102890963185,0.3684649317949843,0.32382230539849755
52,Standard,2143,0.16110289736566757,0.36054652672045256,0.31800293373260013
53,AugWithin,2143,0.15905750358939005,0.3693593194306678,0.3246372471288762
54,NAugWithin,2143,0.1576864614716199,0.37820304457173426,0.33091796266626927
55,AugOut,2143,0.15683328478186367,0.3778266721706823,0.3310833961072552
56,AugOutDouble,2143,0.1575699785885901,0.37641168237012124,0.32942916483004847
57,NAugOut,2143,0.1546943249239863,0.38941256942712144,0.3392497373650034
58,NAugOutDouble,2143,0.15608326153576577,0.38560070472530295,0.3360101386248316
59,NStandard,2143,0.15953442405340373,0.3702182873930813,0.325205990418466
60,RevComp,3578,0.1654184695442441,0.3426440052798313,0.30213487818856316
61,Siamese,3578,0.15971571387318362,0.3639633487848519,0.3203952505354999
62,Standard,3578,0.16308121935977768,0.34946017441771277,0.30935657523078297
63,AugWithin,3578,0.16044123370110927,0.36042192546850627,0.3171172117791196
64,NAugWithin,3578,0.15909921688461304,0.3694957941422566,0.3239331702368797
65,AugOut,3578,0.15860809312640622,0.36933243786979125,0.32285910262107875
66,AugOutDouble,3578,0.16028288791341083,0.3609938289130824,0.31835183581929977
67,NAugOut,3578,0.15747978433937498,0.37692534135550576,0.3285325027853503
68,NAugOutDouble,3578,0.1590579026585607,0.368961981983748,0.32448720080374766
69,NStandard,3578,0.16132517494478604,0.3599891332455236,0.31705288500175877
70,RevComp,1780,0.16188276460260043,0.35574884349207586,0.3131334046576768
71,Siamese,1780,0.15913843004395853,0.3680413196458731,0.32268516167799777
72,Standard,1780,0.160132349369975,0.3642607494942046,0.3220780543723739
73,AugWithin,1780,0.15875635374986247,0.36841291127627485,0.32363971722021095
74,NAugWithin,1780,0.15699064624557565,0.38010593519109753,0.331943042093854
75,AugOut,1780,0.15889136240110804,0.3720491300697767,0.3252191503058621
76,AugOutDouble,1780,0.15930436398960146,0.3668506997325594,0.32123457443261394
77,NAugOut,1780,0.15736223171885205,0.3818158515360998,0.33276815811590577
78,NAugOutDouble,1780,0.15743228317348815,0.3776237409911977,0.32949610538435326
79,NStandard,1780,0.15761280868351285,0.378128307829758,0.33164509260993047
80,RevComp,6117,0.15874805020519855,0.37128424123429377,0.32586791071877635
81,Siamese,6117,0.15777764658141008,0.3731744335444741,0.3279594435246631
82,Standard,6117,0.16074076985659677,0.36270363676249257,0.3190278654975623
83,AugWithin,6117,0.15833626350018581,0.373703744576517,0.32676129123260733
84,NAugWithin,6117,0.15713262966638847,0.3812656061240552,0.3322920221794722
85,AugOut,6117,0.15833327938271397,0.3712616400960532,0.32493109144255516
86,AugOutDouble,6117,0.1585906674588057,0.3694110420543591,0.32509584605480757
87,NAugOut,6117,0.15724914671587747,0.37919154230882524,0.330796966454626
88,NAugOutDouble,6117,0.15741113958557823,0.37730041735279024,0.3304218338205988
89,NStandard,6117,0.1592813585014008,0.3716476220578255,0.32606599500011235
90,RevComp,9295,0.162967819419979,0.35364742385372555,0.311428000189921
91,Siamese,9295,0.1591765384380328,0.3642236202714499,0.31988296355071233
92,Standard,9295,0.16126675865932785,0.3555112488181507,0.31276846042296474
93,AugWithin,9295,0.15947619412598574,0.36672891454720646,0.3210344434753121
94,NAugWithin,9295,0.157647429587783,0.3797328093118179,0.33080203231883787
95,AugOut,9295,0.15787002056335475,0.37279368844746635,0.32454167278981955
96,AugOutDouble,9295,0.15782505176459632,0.37385534268420634,0.32696123191611143
97,NAugOut,9295,0.15630619741626772,0.38297128168698596,0.3322641797889637
98,NAugOutDouble,9295,0.15578421616888236,0.3864873092007726,0.33624755609827073
99,NStandard,9295,0.15831478870217866,0.3712900918652178,0.32467472624837684
