,Unnamed: 0,Model Type,seed,loss,Train or Test
0,0,RCPS,1535,7.0956648970999066,train
1,1,CJ-trained,1535,6.300792587500858,train
2,2,CJ-posthoc,1535,6.30115228429713,train
3,3,RCPS,9999,6.419885151452662,train
4,4,CJ-trained,9999,6.3748255270994605,train
5,5,CJ-posthoc,9999,6.329622014820777,train
6,6,RCPS,4652,6.433311675265032,train
7,7,CJ-trained,4652,6.353611641986272,train
8,8,CJ-posthoc,4652,6.361349181403639,train
9,9,RCPS,6806,6.434346562338395,train
10,10,CJ-trained,6806,6.371591390988264,train
11,11,CJ-posthoc,6806,6.320885164895501,train
12,12,RCPS,7626,6.447017534367645,train
13,13,CJ-trained,7626,6.3968302047756564,train
14,14,CJ-posthoc,7626,6.378553397098267,train
15,15,RCPS,2143,6.448389861442371,train
16,16,CJ-trained,2143,6.347457286991662,train
17,17,CJ-posthoc,2143,6.339534024554805,train
18,18,RCPS,3578,6.4298137156562065,train
19,19,CJ-trained,3578,6.331563612356947,train
20,20,CJ-posthoc,3578,6.33285039141512,train
21,21,RCPS,1780,6.419111142184467,train
22,22,CJ-trained,1780,6.362002973096697,train
23,23,CJ-posthoc,1780,6.310752438729869,train
24,24,RCPS,6117,6.437854098765715,train
25,25,CJ-trained,6117,6.355047963273548,train
26,26,CJ-posthoc,6117,6.337934979196158,train
27,27,RCPS,9295,6.399685195485966,train
28,28,CJ-trained,9295,6.3826403218116905,train
29,29,CJ-posthoc,9295,6.355640311933428,train
0,0,RCPS,1535,6.6249391574078205,test
1,1,CJ-trained,1535,6.500936752256222,test
2,2,CJ-posthoc,1535,6.473262883140202,test
3,3,RCPS,9999,6.486487849661842,test
4,4,CJ-trained,9999,6.490628484420818,test
5,5,CJ-posthoc,9999,6.463716854057812,test
6,6,RCPS,4652,6.49490053055995,test
7,7,CJ-trained,4652,6.488904797643932,test
8,8,CJ-posthoc,4652,6.472815161570214,test
9,9,RCPS,6806,6.482766344585738,test
10,10,CJ-trained,6806,6.4938124405864075,test
11,11,CJ-posthoc,6806,6.472164286602303,test
12,12,RCPS,7626,6.4827608929641904,test
13,13,CJ-trained,7626,6.496610928409367,test
14,14,CJ-posthoc,7626,6.485577492551495,test
15,15,RCPS,2143,6.494770182959528,test
16,16,CJ-trained,2143,6.488128427830374,test
17,17,CJ-posthoc,2143,6.468337208216966,test
18,18,RCPS,3578,6.502156653196446,test
19,19,CJ-trained,3578,6.491765322551509,test
20,20,CJ-posthoc,3578,6.466720136012182,test
21,21,RCPS,1780,6.4832516750220925,test
22,22,CJ-trained,1780,6.487159575097348,test
23,23,CJ-posthoc,1780,6.470087120260836,test
24,24,RCPS,6117,6.495663749255582,test
25,25,CJ-trained,6117,6.487676248601399,test
26,26,CJ-posthoc,6117,6.4660473397017615,test
27,27,RCPS,9295,6.493481608468329,test
28,28,CJ-trained,9295,6.493239930228932,test
29,29,CJ-posthoc,9295,6.476222976209981,test
