,Unnamed: 0,Model Type,seed,jsd,pears,spear,Train or Test
0,0.0,Standard-NoRCAug,1535,0.1993805443674178,0.4732553724251857,0.35433366922249965,train
1,1.0,Standard-RCAug,1535,0.2073479003855017,0.4489849466254207,0.33717861903251384,train
2,2.0,RCPS,1535,0.23212829941916244,0.365074578720448,0.27630275614918665,train
3,3.0,CJ-duringtraining,1535,0.20080009562530046,0.4684037243515781,0.34999161534680506,train
4,4.0,CJ-posthoc,1535,0.20513458811708546,0.4591930124745756,0.34536084601167183,train
5,5.0,RCPS-half,1535,0.23274719015093795,0.3625815666760919,0.2762757949659088,train
6,6.0,Standard-NoRCAug,9999,0.21174362297557364,0.441351421469934,0.33168785326859695,train
7,7.0,Standard-RCAug,9999,0.2123638569979592,0.4374573247963895,0.3281545144611224,train
8,8.0,RCPS,9999,0.22088780769854474,0.40230186918584665,0.30501421139089163,train
9,9.0,CJ-duringtraining,9999,0.20758954494143994,0.4488931468086764,0.3372911927971591,train
10,10.0,CJ-posthoc,9999,0.21073904911303495,0.445935113342213,0.33447810182978793,train
11,11.0,RCPS-half,9999,0.22014524364034385,0.4046600330137013,0.3094839150135611,train
12,12.0,Standard-NoRCAug,4652,0.20421544906226088,0.4605128136476108,0.34490982129817943,train
13,13.0,Standard-RCAug,4652,0.2112115769191857,0.4408955408760505,0.3312115414290139,train
14,14.0,RCPS,4652,0.22050251353062905,0.4021257060913252,0.30663861032191153,train
15,15.0,CJ-duringtraining,4652,0.2039161175281581,0.4682325961511867,0.3502113330771186,train
16,16.0,CJ-posthoc,4652,0.20934924888643036,0.4507361688958765,0.3387496960470937,train
17,17.0,RCPS-half,4652,0.223865342507216,0.3962948311365855,0.3030494528458442,train
18,18.0,Standard-NoRCAug,6806,0.19922228224603347,0.4745927673830998,0.3559381704996278,train
19,19.0,Standard-RCAug,6806,0.21197969560986726,0.43665339814398063,0.3301226118441641,train
20,20.0,RCPS,6806,0.21783299607969892,0.4130380247470447,0.312942406345738,train
21,21.0,CJ-duringtraining,6806,0.2106813580696168,0.4407972145296986,0.3335050971404856,train
22,22.0,CJ-posthoc,6806,0.20996490115614133,0.446733563916476,0.3372953010727521,train
23,23.0,RCPS-half,6806,0.2198201185172188,0.4042486722795,0.30860395181819883,train
24,24.0,Standard-NoRCAug,7626,0.21524725830222813,0.4216541095515493,0.3189029426478455,train
25,25.0,Standard-RCAug,7626,0.21775168251002253,0.4161302271281665,0.3117652585216951,train
26,26.0,RCPS,7626,0.2183141589946384,0.41339589348681416,0.3147483531288162,train
27,27.0,CJ-duringtraining,7626,0.20894731887506973,0.4496896487058278,0.3373367436798833,train
28,28.0,CJ-posthoc,7626,0.2159602419997794,0.42544557944944944,0.3181884850454715,train
29,29.0,RCPS-half,7626,0.22011462514469035,0.4060677661073124,0.310188704681179,train
30,30.0,Standard-NoRCAug,2143,0.21166041885339792,0.4369237517748748,0.3290093845368501,train
31,31.0,Standard-RCAug,2143,0.2081281674288741,0.4447409245924608,0.3348710763835717,train
32,32.0,RCPS,2143,0.21864370892100984,0.4138134518243619,0.3137533212384451,train
