,Model Type,seed,Held-out AuROC,Held-out AuPRC,Early Stopping Metric
0,RCSumPool,1535,0.9910802228860099,0.9788316794328502,auroc
1,RCSumPoolBias,1535,0.991519384059504,0.9795685145873695,auroc
2,RCWeight,1535,0.9913591688738079,0.9781090869590495,auroc
3,Siamese,1535,0.9903315894801865,0.9774251288770763,auroc
4,Standard,1535,0.9897740042478657,0.9758013937324732,auroc
5,AugWithin,1535,0.9887485085930426,0.9725143291581548,auroc
6,AugOut100,1535,0.9900528656168291,0.9764843516008678,auroc
7,AugOutDouble,1535,0.9885173087825888,0.9721064711878379,auroc
8,NStandard,1535,0.9898673070902122,0.9755443653178675,auroc
9,NAugWithin,1535,0.9911216226507696,0.9785826690782902,auroc
10,NAugOut100,1535,0.9900810013792871,0.9756482285749841,auroc
11,NAugOutDouble,1535,0.9913143420462527,0.979342288540526,auroc
12,RCSumPool,9999,0.9910208733509905,0.9784722195346677,auroc
13,RCSumPoolBias,9999,0.9916481633481982,0.9800676108815705,auroc
14,RCWeight,9999,0.991270879697403,0.9787497367931911,auroc
15,Siamese,9999,0.9905540841280452,0.9777086348390532,auroc
16,Standard,9999,0.988954650651142,0.9729670895421305,auroc
17,AugWithin,9999,0.9882980190730853,0.9713069211157981,auroc
18,AugOut100,9999,0.9893853499411899,0.9744206197231237,auroc
19,AugOutDouble,9999,0.9871068714724522,0.9688386529611501,auroc
20,NStandard,9999,0.9891404418795535,0.9735185746898707,auroc
21,NAugWithin,9999,0.9906200656642155,0.9772066378281768,auroc
22,NAugOut100,9999,0.9897543409462077,0.9753826463061294,auroc
23,NAugOutDouble,9999,0.9907909534004079,0.9778222557465924,auroc
24,RCSumPool,4652,0.9915671831236196,0.979039274725365,auroc
25,RCSumPoolBias,4652,0.9912385764573478,0.9782048609422035,auroc
26,RCWeight,4652,0.9916542770589877,0.9790857283578405,auroc
27,Siamese,4652,0.9904381880568977,0.9775541801265706,auroc
28,Standard,4652,0.9892396151535409,0.9747786103764231,auroc
29,AugWithin,4652,0.9881471119591799,0.9721682858295791,auroc
30,AugOut100,4652,0.9892527416502365,0.9747973266699443,auroc
31,AugOutDouble,4652,0.9882307365223353,0.9719420757722763,auroc
32,NStandard,4652,0.9899702247476243,0.9761820940510997,auroc
33,NAugWithin,4652,0.9907605963935452,0.9781398632609697,auroc
34,NAugOut100,4652,0.989747603171514,0.9761987055213626,auroc
35,NAugOutDouble,4652,0.991200022000897,0.9791533870131616,auroc
36,RCSumPool,6806,0.9921209605083899,0.9804562462175963,auroc
37,RCSumPoolBias,6806,0.991435907579309,0.9785228994886641,auroc
38,RCWeight,6806,0.9922767649373399,0.9809025951855763,auroc
39,Siamese,6806,0.9910505428298231,0.9788509780712839,auroc
40,Standard,6806,0.9894022948627904,0.975126380723688,auroc
41,AugWithin,6806,0.9892466596715098,0.9743946727439385,auroc
42,AugOut100,6806,0.9892872767120505,0.9742946991282632,auroc
43,AugOutDouble,6806,0.9886435177741861,0.972454823470809,auroc
44,NStandard,6806,0.9904955596266618,0.9772181180659922,auroc
45,NAugWithin,6806,0.9907739344373272,0.9781457332397265,auroc
46,NAugOut100,6806,0.9904772079169383,0.9774132061416871,auroc
47,NAugOutDouble,6806,0.9909296648247966,0.9779614840634634,auroc
48,RCSumPool,7626,0.9915670773500765,0.9798629347626447,auroc
49,RCSumPoolBias,7626,0.991377880213578,0.9790834041988102,auroc
50,RCWeight,7626,0.9912908708970443,0.9780653986298018,auroc
51,Siamese,7626,0.9904221210557045,0.9769724686825906,auroc
52,Standard,7626,0.9882308951826497,0.9731013407623419,auroc
53,AugWithin,7626,0.9884799812992375,0.9727169211351369,auroc
54,AugOut100,7626,0.9886749748258967,0.9734495339591652,auroc
55,AugOutDouble,7626,0.9873601885307632,0.9698635195523777,auroc
56,NStandard,7626,0.9897176163720522,0.9752077085682136,auroc
57,NAugWithin,7626,0.9897576410807518,0.9764807392244508,auroc
58,NAugOut100,7626,0.9902469812230807,0.9768444938930956,auroc
59,NAugOutDouble,7626,0.9907633465056652,0.9778246454159831,auroc
60,RCSumPool,2143,0.9921249799030268,0.9807100701925787,auroc
61,RCSumPoolBias,2143,0.9919015438706347,0.9800197430559878,auroc
62,RCWeight,2143,0.9918060197838834,0.980086845299071,auroc
63,Siamese,2143,0.9904202171319292,0.9773685830471922,auroc
64,Standard,2143,0.989390268410943,0.9736334437381231,auroc
65,AugWithin,2143,0.9884715828799174,0.9719580767314407,auroc
66,AugOut100,2143,0.9895161600819111,0.9740712352666665,auroc
67,AugOutDouble,2143,0.9877932042614046,0.9706631454522011,auroc
68,NStandard,2143,0.9895674708276568,0.9750044986021277,auroc
69,NAugWithin,2143,0.9905379853947892,0.9769729671627971,auroc
70,NAugOut100,2143,0.9903437005508686,0.9763631332436922,auroc
71,NAugOutDouble,2143,0.9904728923563806,0.9771783248582897,auroc
72,RCSumPool,3578,0.9918201617065927,0.9803982475060486,auroc
73,RCSumPoolBias,3578,0.9917018751533717,0.9798893915972603,auroc
74,RCWeight,3578,0.9913276060485542,0.9790183436777059,auroc
75,Siamese,3578,0.9898642925442345,0.9760547163597401,auroc
76,Standard,3578,0.9899971864237542,0.9760213709154137,auroc
77,AugWithin,3578,0.9880010069641301,0.9707150179542321,auroc
78,AugOut100,3578,0.9889832412398352,0.9732483695868653,auroc
79,AugOutDouble,3578,0.987354952740381,0.9685245385084036,auroc
80,NStandard,3578,0.9891411928717093,0.9735359628311834,auroc
81,NAugWithin,3578,0.9911714842989753,0.9786212778665606,auroc
82,NAugOut100,3578,0.9898951889961668,0.9754666264791394,auroc
83,NAugOutDouble,3578,0.9910062025605662,0.9780346678115671,auroc
84,RCSumPool,1780,0.9912779136380174,0.9789729389977067,auroc
85,RCSumPoolBias,1780,0.9915349116156275,0.9791210427650562,auroc
86,RCWeight,1780,0.992044983372399,0.9807251812343778,auroc
87,Siamese,1780,0.989950497981841,0.9763551362698805,auroc
88,Standard,1780,0.9896127524814474,0.973882874631084,auroc
89,AugWithin,1780,0.987959723550268,0.9705606002518494,auroc
90,AugOut100,1780,0.9891762885333019,0.9735950244570095,auroc
91,AugOutDouble,1780,0.9873367385362632,0.9695648951696271,auroc
92,NStandard,1780,0.9896560561699824,0.97513742099372,auroc
93,NAugWithin,1780,0.990914539208137,0.9769640256289778,auroc
94,NAugOut100,1780,0.9895893659510733,0.974730067449355,auroc
95,NAugOutDouble,1780,0.9906696311465005,0.9775229680796154,auroc
96,RCSumPool,6117,0.9915435215820338,0.9787230688669689,auroc
97,RCSumPoolBias,6117,0.9916996962183843,0.9785682830066031,auroc
98,RCWeight,6117,0.9923589932897265,0.9813794304330736,auroc
99,Siamese,6117,0.9908287462873485,0.9782693810464372,auroc
100,Standard,6117,0.9895092424921939,0.9745166451346513,auroc
101,AugWithin,6117,0.9891824339761544,0.9746824250264778,auroc
102,AugOut100,6117,0.9897486609069446,0.975390903899181,auroc
103,AugOutDouble,6117,0.9878901880230502,0.9712258900500536,auroc
104,NStandard,6117,0.9903539394298383,0.9763668080003045,auroc
105,NAugWithin,6117,0.9905506782199581,0.9773593607157401,auroc
106,NAugOut100,6117,0.9904964375470694,0.9776437567075899,auroc
107,NAugOutDouble,6117,0.9912757558577387,0.9789783634626872,auroc
108,RCSumPool,9295,0.9922310707667313,0.9807087577247361,auroc
109,RCSumPoolBias,9295,0.9921642113101534,0.9807892576331799,auroc
110,RCWeight,9295,0.9921636930197923,0.9804322636714558,auroc
111,Siamese,9295,0.9910968822190441,0.978540470921183,auroc
112,Standard,9295,0.9892040540883591,0.9747888930428003,auroc
113,AugWithin,9295,0.9887115090076749,0.9724682425299768,auroc
114,AugOut100,9295,0.9890029362735557,0.9742434567611923,auroc
115,AugOutDouble,9295,0.9871267251664877,0.9709272861874,auroc
116,NStandard,9295,0.9896648671061206,0.9763900144345161,auroc
117,NAugWithin,9295,0.9908748000880035,0.9786002075959029,auroc
118,NAugOut100,9295,0.9902115470861504,0.9764498824114781,auroc
119,NAugOutDouble,9295,0.990954267750916,0.9788171341279063,auroc
120,RCSumPool,1535,0.9906647972955822,0.9777533851451816,loss
121,RCSumPoolBias,1535,0.9904303502373558,0.9786436227929796,loss
122,RCWeight,1535,0.9904349408091252,0.9788383980648219,loss
123,Siamese,1535,0.9900270991817359,0.9774466830486845,loss
124,Standard,1535,0.9894456937475143,0.9754516686127374,loss
125,AugWithin,1535,0.9885913608400958,0.9726032820705566,loss
126,AugOut100,1535,0.9898151078467046,0.9762152387495426,loss
127,AugOutDouble,1535,0.9868687011855098,0.9695435405291262,loss
128,NStandard,1535,0.9895092319148395,0.9753112545893451,loss
129,NAugWithin,1535,0.9912644592433383,0.9790449721874298,loss
130,NAugOut100,1535,0.9900828418389365,0.9761914392149588,loss
131,NAugOutDouble,1535,0.9915294537008046,0.97997958739729,loss
132,RCSumPool,9999,0.9909029358504617,0.9790260969781112,loss
133,RCSumPoolBias,9999,0.9906463715443784,0.9785880352917535,loss
134,RCWeight,9999,0.9908127215955727,0.9797051826952197,loss
135,Siamese,9999,0.9897020782385745,0.9765078993245385,loss
136,Standard,9999,0.9889565968843345,0.9741494594025185,loss
137,AugWithin,9999,0.9882980190730853,0.9713069211157981,loss
138,AugOut100,9999,0.9893853499411899,0.9744206197231237,loss
139,AugOutDouble,9999,0.9880162277769785,0.9721218610865986,loss
140,NStandard,9999,0.9896876295725903,0.9759364087708617,loss
141,NAugWithin,9999,0.9904740770200631,0.9777784281550024,loss
142,NAugOut100,9999,0.9897543409462077,0.9753826463061294,loss
143,NAugOutDouble,9999,0.9907909534004079,0.9778222557465924,loss
144,RCSumPool,4652,0.9911500757338569,0.9786474414153433,loss
145,RCSumPoolBias,4652,0.9915811029218883,0.9798898842278445,loss
146,RCWeight,4652,0.9918666703334827,0.9806007491657683,loss
147,Siamese,4652,0.9901225386496526,0.976521633227448,loss
148,Standard,4652,0.9893579969029506,0.9753139194983164,loss
149,AugWithin,4652,0.9879789743351075,0.9716748315785761,loss
150,AugOut100,4652,0.9892527416502365,0.9747973266699443,loss
151,AugOutDouble,4652,0.987344259035176,0.9702794960052786,loss
152,NStandard,4652,0.9900635910540968,0.9766046698665701,loss
153,NAugWithin,4652,0.9906344720207825,0.9778692729475642,loss
154,NAugOut100,4652,0.9897076948137116,0.9759072378011907,loss
155,NAugOutDouble,4652,0.991200022000897,0.9791533870131616,loss
156,RCSumPool,6806,0.9923117336706805,0.9814633619219572,loss
157,RCSumPoolBias,6806,0.9916711902485256,0.9805574575038324,loss
158,RCWeight,6806,0.991526883403708,0.9789310872936783,loss
159,Siamese,6806,0.9908864669098048,0.9782395266227651,loss
160,Standard,6806,0.9891816089425186,0.9752714785484451,loss
161,AugWithin,6806,0.9889288630613402,0.9732306700569342,loss
162,AugOut100,6806,0.9888277752862232,0.97437530802376,loss
163,AugOutDouble,6806,0.9881658021442412,0.9716894414988785,loss
164,NStandard,6806,0.9898769853694035,0.97651058796372,loss
165,NAugWithin,6806,0.9907671966626331,0.9789287878796311,loss
166,NAugOut100,6806,0.9904469884156815,0.9774506539098573,loss
167,NAugOutDouble,6806,0.9908173544767593,0.9784503946587191,loss
168,RCSumPool,7626,0.991154793233878,0.9790468928220005,loss
169,RCSumPoolBias,7626,0.9912162053529874,0.9795148799073566,loss
170,RCWeight,7626,0.9907812645438622,0.9789847358149716,loss
171,Siamese,7626,0.9906702234783418,0.978561734825954,loss
172,Standard,7626,0.9888780600286011,0.9747041015153908,loss
173,AugWithin,7626,0.9884799812992375,0.9727169211351369,loss
174,AugOut100,7626,0.9882913553398716,0.9737744194455994,loss
175,AugOutDouble,7626,0.9864303121588804,0.9686733408014949,loss
176,NStandard,7626,0.9897008724201833,0.9754129652758547,loss
177,NAugWithin,7626,0.9907210370884351,0.9783483114117089,loss
178,NAugOut100,7626,0.9902469812230807,0.9768444938930956,loss
179,NAugOutDouble,7626,0.9907668476099412,0.9786564774580255,loss
180,RCSumPool,2143,0.9912166496018685,0.9798498549207082,loss
181,RCSumPoolBias,2143,0.9917838284945464,0.9800189011599073,loss
182,RCWeight,2143,0.9911749325164795,0.9787757250896054,loss
183,Siamese,2143,0.9898968496407929,0.9765999304399166,loss
184,Standard,2143,0.9895277317075236,0.9758257062440858,loss
185,AugWithin,2143,0.98805431682984,0.9708431335354606,loss
186,AugOut100,2143,0.989157418533217,0.9738879727440609,loss
187,AugOutDouble,2143,0.9877421896815792,0.9707665301724934,loss
188,NStandard,2143,0.9898540219332018,0.9759243857764086,loss
189,NAugWithin,2143,0.9907447832488556,0.9785037745860571,loss
190,NAugOut100,2143,0.9900219268554795,0.9756512731975586,loss
191,NAugOutDouble,2143,0.9905519898118922,0.9776939337771535,loss
192,RCSumPool,3578,0.9912224248373204,0.9798046054770958,loss
193,RCSumPoolBias,3578,0.991443057870821,0.9799587987440633,loss
194,RCWeight,3578,0.9913409440923361,0.9799183721453094,loss
195,Siamese,3578,0.9898111201841306,0.97653818309772,loss
196,Standard,3578,0.9891757490882319,0.9743398256786745,loss
197,AugWithin,3578,0.9878242699510057,0.9706149224910172,loss
198,AugOut100,3578,0.988951932271085,0.9735244961644712,loss
199,AugOutDouble,3578,0.9866164524399841,0.9675759790791596,loss
200,NStandard,3578,0.989238451644567,0.9738140820885969,loss
201,NAugWithin,3578,0.9906356249524019,0.9776922662561774,loss
202,NAugOut100,3578,0.9895846907604693,0.9748411090323222,loss
203,NAugOutDouble,3578,0.9913522512840909,0.9788852011825385,loss
204,RCSumPool,1780,0.9917665450976078,0.9802548844416002,loss
205,RCSumPoolBias,1780,0.9918990370376638,0.9801890316475091,loss
206,RCWeight,1780,0.9908506837201825,0.9794575894281049,loss
207,Siamese,1780,0.9900456201291282,0.9767542386340761,loss
208,Standard,1780,0.989195867216125,0.9740569466061793,loss
209,AugWithin,1780,0.987910581162155,0.9709756991131927,loss
210,AugOut100,1780,0.9885982890071673,0.9736613965042183,loss
211,AugOutDouble,1780,0.9870909631315739,0.969569714340474,loss
212,NStandard,1780,0.9897728195841831,0.9756472100703563,loss
213,NAugWithin,1780,0.9905663644363965,0.9773963052686079,loss
214,NAugOut100,1780,0.9899777981333086,0.9757864856062327,loss
215,NAugOutDouble,1780,0.9907959987984124,0.9782980499634505,loss
216,RCSumPool,6117,0.9917819034160624,0.9801726761349228,loss
