,Model Type,seed,Held-out AuROC,Held-out AuPRC,Imbalance
0,RCSumPoolBias,1535,0.992009697318429,0.9807048646817615,upsample
1,RCSumPoolBiasHalf,1535,0.9906981688484223,0.9795704379796788,upsample
2,Siamese,1535,0.9916888015434476,0.9798155641095776,upsample
3,Standard,1535,0.988287589801738,0.973131797283016,upsample
4,AugWithin,1535,0.990282214390279,0.9770825760114831,upsample
5,NAugWithin,1535,0.9916726816554828,0.9800947473266326,upsample
6,AStandard,1535,0.9900247721637883,0.9772293921031451,upsample
7,AAugWithin,1535,0.9914698503092819,0.9797209228739983,upsample
8,RCSumPoolBias,9999,0.9922580324428611,0.9811384435300264,upsample
9,RCSumPoolBiasHalf,9999,0.991381116883996,0.9810406000299181,upsample
10,Siamese,9999,0.9909646335581375,0.9783302074585325,upsample
11,Standard,9999,0.9883131975765166,0.9728682211139426,upsample
12,AugWithin,9999,0.9901675981790027,0.9771721576750709,upsample
13,NAugWithin,9999,0.9914937445526626,0.9798950744481869,upsample
14,AStandard,9999,0.9901090948323278,0.9770559090208297,upsample
15,AAugWithin,9999,0.9913714174500962,0.9797035046761283,upsample
16,RCSumPoolBias,4652,0.9922061187879198,0.9810574588176804,upsample
17,RCSumPoolBiasHalf,4652,0.9917541167062967,0.9805239390672766,upsample
18,Siamese,4652,0.9908518683838647,0.9793331302696722,upsample
19,Standard,4652,0.9885688628074837,0.9721203167086199,upsample
20,AugWithin,4652,0.9902648781065689,0.9764635200441425,upsample
21,NAugWithin,4652,0.9916213391776741,0.9800561752280121,upsample
22,AStandard,4652,0.9901862672093554,0.9765257612667038,upsample
23,AAugWithin,4652,0.9915117577870485,0.9799500451351909,upsample
24,RCSumPoolBias,6806,0.9922085515794106,0.981359773938482,upsample
25,RCSumPoolBiasHalf,6806,0.9915782681909339,0.9804520801554465,upsample
26,Siamese,6806,0.9911647571016357,0.9801940713447586,upsample
27,Standard,6806,0.9889003782461901,0.9730404755609534,upsample
28,AugWithin,6806,0.9905590025977983,0.977041664067939,upsample
29,NAugWithin,6806,0.9915216899227429,0.9798024711504174,upsample
30,AStandard,6806,0.9905083159159564,0.9775896510448385,upsample
31,AAugWithin,6806,0.9914587969740305,0.9796514973876468,upsample
32,RCSumPoolBias,7626,0.9913794562393697,0.9791226083897757,upsample
33,RCSumPoolBiasHalf,7626,0.9901236069624376,0.9786502359140561,upsample
34,Siamese,7626,0.9911791528808482,0.9790852530331062,upsample
35,Standard,7626,0.9877866991885054,0.9722044556834277,upsample
36,AugWithin,7626,0.9898018544217572,0.9757509870651727,upsample
37,NAugWithin,7626,0.9913857497651826,0.9794174897939927,upsample
38,AStandard,7626,0.9898804970510338,0.9764640491366925,upsample
39,AAugWithin,7626,0.9912424689237329,0.9792857317625329,upsample
40,RCSumPoolBias,2143,0.9920772019936198,0.9813102269445706,upsample
41,RCSumPoolBiasHalf,2143,0.9915338115707795,0.9805689423688237,upsample
42,Siamese,2143,0.9905176768745187,0.9779433921397247,upsample
43,Standard,2143,0.9880607372839048,0.9721310312395838,upsample
44,AugWithin,2143,0.9908286193590969,0.9783690589495955,upsample
45,NAugWithin,2143,0.9915539296986723,0.9800804633311493,upsample
46,AStandard,2143,0.9898444705822621,0.9765067208423716,upsample
47,AAugWithin,2143,0.9914287255557342,0.9798097252565398,upsample
48,RCSumPoolBias,3578,0.9918877086912005,0.9809240924753581,upsample
49,RCSumPoolBiasHalf,3578,0.9910297794833174,0.9806084600086434,upsample
50,Siamese,3578,0.9912131696523011,0.978975805675693,upsample
51,Standard,3578,0.9889285668954195,0.9721353324568084,upsample
52,AugWithin,3578,0.9894034583717645,0.9756481593283655,upsample
53,NAugWithin,3578,0.9911088240520576,0.97925446751553,upsample
54,AStandard,3578,0.9907497651827344,0.9772904457881965,upsample
55,AAugWithin,3578,0.9908582888379296,0.9788835374394463,upsample
56,RCSumPoolBias,1780,0.991647951801112,0.9803199286447631,upsample
57,RCSumPoolBiasHalf,1780,0.9919434301936925,0.9807772382265812,upsample
58,Siamese,1780,0.9908613456933245,0.9788224461029695,upsample
59,Standard,1780,0.9880437394755326,0.9719000165812063,upsample
60,AugWithin,1780,0.9894962323463957,0.9758302636124977,upsample
61,NAugWithin,1780,0.9908756568537026,0.9788515185671828,upsample
62,AStandard,1780,0.9896255299254508,0.9761314130462682,upsample
63,AAugWithin,1780,0.9908056982323126,0.97880827762633,upsample
64,RCSumPoolBias,6117,0.9922265753911504,0.981024331917347,upsample
65,RCSumPoolBiasHalf,6117,0.9904139130287621,0.9779513988355693,upsample
66,Siamese,6117,0.9910247023532498,0.9789438944462923,upsample
67,Standard,6117,0.9882666572175633,0.9725673967509083,upsample
68,AugWithin,6117,0.9898549104309639,0.9755344179242915,upsample
69,NAugWithin,6117,0.9912011643551623,0.9790601466636847,upsample
70,AStandard,6117,0.9903493911674861,0.9772193466790294,upsample
71,AAugWithin,6117,0.9911750594447313,0.9789681605829261,upsample
72,RCSumPoolBias,9295,0.9921927278573665,0.9817035759288467,upsample
73,RCSumPoolBiasHalf,9295,0.9916830897721215,0.9802256803559007,upsample
74,Siamese,9295,0.9912628937949007,0.9793158282380865,upsample
75,Standard,9295,0.9888514791372264,0.9737674069935475,upsample
76,AugWithin,9295,0.9900991521192788,0.9763399793852263,upsample
77,NAugWithin,9295,0.9914139172597037,0.9796106459664371,upsample
78,AStandard,9295,0.9900733116427054,0.9770220904155968,upsample
79,AAugWithin,9295,0.9912454728923564,0.9794149380743088,upsample
