,Model Type,seed,Held-out AuROC,Held-out AuPRC,Imbalance
0,RCSumPool,1535,0.9910802228860099,0.9788316794328502,class_weight
1,RCSumPoolBias,1535,0.991519384059504,0.9795685145873695,class_weight
2,RCWeight,1535,0.9913591688738079,0.9781090869590495,class_weight
3,Siamese,1535,0.9903315894801865,0.9774251288770763,class_weight
4,AugWithin,1535,0.9897740042478657,0.9758013937324732,class_weight
5,AugOut100,1535,0.9887485085930426,0.9725143291581548,class_weight
6,AugOutDouble,1535,0.9900528656168291,0.9764843516008678,class_weight
7,Standard,1535,0.9885173087825888,0.9721064711878379,class_weight
8,NStandard,1535,0.9898673070902122,0.9755443653178675,class_weight
9,NAugWithin,1535,0.9911216226507696,0.9785826690782902,class_weight
10,NAugOut100,1535,0.9900810013792871,0.9756482285749841,class_weight
11,NAugOutDouble,1535,0.9913143420462527,0.979342288540526,class_weight
12,RCSumPool,9999,0.9910208733509905,0.9784722195346677,class_weight
13,RCSumPoolBias,9999,0.9916481633481982,0.9800676108815705,class_weight
14,RCWeight,9999,0.991270879697403,0.9787497367931911,class_weight
15,Siamese,9999,0.9905540841280452,0.9777086348390532,class_weight
16,AugWithin,9999,0.988954650651142,0.9729670895421305,class_weight
17,AugOut100,9999,0.9882980190730853,0.9713069211157981,class_weight
18,AugOutDouble,9999,0.9893853499411899,0.9744206197231237,class_weight
19,Standard,9999,0.9871068714724522,0.9688386529611501,class_weight
20,NStandard,9999,0.9891404418795535,0.9735185746898707,class_weight
21,NAugWithin,9999,0.9906200656642155,0.9772066378281768,class_weight
22,NAugOut100,9999,0.9897543409462077,0.9753826463061294,class_weight
23,NAugOutDouble,9999,0.9907909534004079,0.9778222557465924,class_weight
24,RCSumPool,4652,0.9915671831236196,0.979039274725365,class_weight
25,RCSumPoolBias,4652,0.9912385764573478,0.9782048609422035,class_weight
26,RCWeight,4652,0.9916542770589877,0.9790857283578405,class_weight
27,Siamese,4652,0.9904381880568977,0.9775541801265706,class_weight
28,AugWithin,4652,0.9892396151535409,0.9747786103764231,class_weight
29,AugOut100,4652,0.9881471119591799,0.9721682858295791,class_weight
30,AugOutDouble,4652,0.9892527416502365,0.9747973266699443,class_weight
31,Standard,4652,0.9882307365223353,0.9719420757722763,class_weight
32,NStandard,4652,0.9899702247476243,0.9761820940510997,class_weight
33,NAugWithin,4652,0.9907605963935452,0.9781398632609697,class_weight
34,NAugOut100,4652,0.989747603171514,0.9761987055213626,class_weight
35,NAugOutDouble,4652,0.991200022000897,0.9791533870131616,class_weight
36,RCSumPool,6806,0.9921209605083899,0.9804562462175963,class_weight
37,RCSumPoolBias,6806,0.991435907579309,0.9785228994886641,class_weight
38,RCWeight,6806,0.9922767649373399,0.9809025951855763,class_weight
39,Siamese,6806,0.9910505428298231,0.9788509780712839,class_weight
40,AugWithin,6806,0.9894022948627904,0.975126380723688,class_weight
41,AugOut100,6806,0.9892466596715098,0.9743946727439385,class_weight
42,AugOutDouble,6806,0.9892872767120505,0.9742946991282632,class_weight
43,Standard,6806,0.9886435177741861,0.972454823470809,class_weight
44,NStandard,6806,0.9904955596266618,0.9772181180659922,class_weight
45,NAugWithin,6806,0.9907739344373272,0.9781457332397265,class_weight
46,NAugOut100,6806,0.9904772079169383,0.9774132061416871,class_weight
47,NAugOutDouble,6806,0.9909296648247966,0.9779614840634634,class_weight
48,RCSumPool,7626,0.9915670773500765,0.9798629347626447,class_weight
49,RCSumPoolBias,7626,0.991377880213578,0.9790834041988102,class_weight
50,RCWeight,7626,0.9912908708970443,0.9780653986298018,class_weight
51,Siamese,7626,0.9904221210557045,0.9769724686825906,class_weight
52,AugWithin,7626,0.9882308951826497,0.9731013407623419,class_weight
53,AugOut100,7626,0.9884799812992375,0.9727169211351369,class_weight
54,AugOutDouble,7626,0.9886749748258967,0.9734495339591652,class_weight
55,Standard,7626,0.9873601885307632,0.9698635195523777,class_weight
56,NStandard,7626,0.9897176163720522,0.9752077085682136,class_weight
57,NAugWithin,7626,0.9897576410807518,0.9764807392244508,class_weight
58,NAugOut100,7626,0.9902469812230807,0.9768444938930956,class_weight
59,NAugOutDouble,7626,0.9907633465056652,0.9778246454159831,class_weight
60,RCSumPool,2143,0.9921249799030268,0.9807100701925787,class_weight
61,RCSumPoolBias,2143,0.9919015438706347,0.9800197430559878,class_weight
62,RCWeight,2143,0.9918060197838834,0.980086845299071,class_weight
63,Siamese,2143,0.9904202171319292,0.9773685830471922,class_weight
64,AugWithin,2143,0.989390268410943,0.9736334437381231,class_weight
65,AugOut100,2143,0.9884715828799174,0.9719580767314407,class_weight
66,AugOutDouble,2143,0.9895161600819111,0.9740712352666665,class_weight
67,Standard,2143,0.9877932042614046,0.9706631454522011,class_weight
68,NStandard,2143,0.9895674708276568,0.9750044986021277,class_weight
69,NAugWithin,2143,0.9905379853947892,0.9769729671627971,class_weight
70,NAugOut100,2143,0.9903437005508686,0.9763631332436922,class_weight
71,NAugOutDouble,2143,0.9904728923563806,0.9771783248582897,class_weight
72,RCSumPool,3578,0.9918201617065927,0.9803982475060486,class_weight
73,RCSumPoolBias,3578,0.9917018751533717,0.9798893915972603,class_weight
74,RCWeight,3578,0.9913276060485542,0.9790183436777059,class_weight
75,Siamese,3578,0.9898642925442345,0.9760547163597401,class_weight
76,AugWithin,3578,0.9899971864237542,0.9760213709154137,class_weight
77,AugOut100,3578,0.9880010069641301,0.9707150179542321,class_weight
78,AugOutDouble,3578,0.9889832412398352,0.9732483695868653,class_weight
79,Standard,3578,0.987354952740381,0.9685245385084036,class_weight
80,NStandard,3578,0.9891411928717093,0.9735359628311834,class_weight
81,NAugWithin,3578,0.9911714842989753,0.9786212778665606,class_weight
82,NAugOut100,3578,0.9898951889961668,0.9754666264791394,class_weight
83,NAugOutDouble,3578,0.9910062025605662,0.9780346678115671,class_weight
84,RCSumPool,1780,0.9912779136380174,0.9789729389977067,class_weight
85,RCSumPoolBias,1780,0.9915349116156275,0.9791210427650562,class_weight
86,RCWeight,1780,0.992044983372399,0.9807251812343778,class_weight
87,Siamese,1780,0.989950497981841,0.9763551362698805,class_weight
88,AugWithin,1780,0.9896127524814474,0.973882874631084,class_weight
89,AugOut100,1780,0.987959723550268,0.9705606002518494,class_weight
90,AugOutDouble,1780,0.9891762885333019,0.9735950244570095,class_weight
91,Standard,1780,0.9873367385362632,0.9695648951696271,class_weight
92,NStandard,1780,0.9896560561699824,0.97513742099372,class_weight
93,NAugWithin,1780,0.990914539208137,0.9769640256289778,class_weight
94,NAugOut100,1780,0.9895893659510733,0.974730067449355,class_weight
95,NAugOutDouble,1780,0.9906696311465005,0.9775229680796154,class_weight
96,RCSumPool,6117,0.9915435215820338,0.9787230688669689,class_weight
97,RCSumPoolBias,6117,0.9916996962183843,0.9785682830066031,class_weight
98,RCWeight,6117,0.9923589932897265,0.9813794304330736,class_weight
99,Siamese,6117,0.9908287462873485,0.9782693810464372,class_weight
100,AugWithin,6117,0.9895092424921939,0.9745166451346513,class_weight
101,AugOut100,6117,0.9891824339761544,0.9746824250264778,class_weight
102,AugOutDouble,6117,0.9897486609069446,0.975390903899181,class_weight
103,Standard,6117,0.9878901880230502,0.9712258900500536,class_weight
104,NStandard,6117,0.9903539394298383,0.9763668080003045,class_weight
105,NAugWithin,6117,0.9905506782199581,0.9773593607157401,class_weight
106,NAugOut100,6117,0.9904964375470694,0.9776437567075899,class_weight
107,NAugOutDouble,6117,0.9912757558577387,0.9789783634626872,class_weight
108,RCSumPool,9295,0.9922310707667313,0.9807087577247361,class_weight
109,RCSumPoolBias,9295,0.9921642113101534,0.9807892576331799,class_weight
110,RCWeight,9295,0.9921636930197923,0.9804322636714558,class_weight
111,Siamese,9295,0.9910968822190441,0.978540470921183,class_weight
112,AugWithin,9295,0.9892040540883591,0.9747888930428003,class_weight
113,AugOut100,9295,0.9887115090076749,0.9724682425299768,class_weight
114,AugOutDouble,9295,0.9890029362735557,0.9742434567611923,class_weight
115,Standard,9295,0.9871267251664877,0.9709272861874,class_weight
116,NStandard,9295,0.9896648671061206,0.9763900144345161,class_weight
117,NAugWithin,9295,0.9908748000880035,0.9786002075959029,class_weight
118,NAugOut100,9295,0.9902115470861504,0.9764498824114781,class_weight
119,NAugOutDouble,9295,0.990954267750916,0.9788171341279063,class_weight
120,RCSumPool,1535,0.9914526303764691,0.9796430636832266,upsample
121,RCSumPoolBias,1535,0.992009697318429,0.9807048646817615,upsample
122,RCWeight,1535,0.9915489371874391,0.9794725106586896,upsample
123,Siamese,1535,0.9916888015434476,0.9798155641095776,upsample
124,AugWithin,1535,0.990282214390279,0.9770825760114831,upsample
125,AugOut100,1535,0.9890166551020926,0.9739026797357708,upsample
126,AugOutDouble,1535,0.9894818788766002,0.9749571588721109,upsample
127,Standard,1535,0.988287589801738,0.973131797283016,upsample
128,NStandard,1535,0.9902559931289506,0.9775179105605941,upsample
129,NAugWithin,1535,0.9916726816554828,0.9800947473266326,upsample
130,NAugOut100,1535,0.9907976382883301,0.9782553351527191,upsample
131,NAugOutDouble,1535,0.9913591794511624,0.9794363251716101,upsample
132,RCSumPool,9999,0.9913817515252544,0.9803036348309491,upsample
133,RCSumPoolBias,9999,0.9922580324428611,0.9811384435300264,upsample
134,RCWeight,9999,0.9921326484848998,0.9809863957020061,upsample
135,Siamese,9999,0.9909646335581375,0.9783302074585325,upsample
136,AugWithin,9999,0.9901675981790027,0.9771721576750709,upsample
137,AugOut100,9999,0.9881292468077545,0.9720667972295451,upsample
138,AugOutDouble,9999,0.9881033640217638,0.9729895745725473,upsample
139,Standard,9999,0.9883131975765166,0.9728682211139426,upsample
140,NStandard,9999,0.9903186322211599,0.977616703718471,upsample
141,NAugWithin,9999,0.9914937445526626,0.9798950744481869,upsample
142,NAugOut100,9999,0.9903417966270933,0.9772362017971884,upsample
143,NAugOutDouble,9999,0.9905608853668649,0.9777456336218122,upsample
144,RCSumPool,4652,0.9919733641063827,0.9807924485616801,upsample
145,RCSumPoolBias,4652,0.9922061187879198,0.9810574588176804,upsample
146,RCWeight,4652,0.992239627846366,0.9815919668654502,upsample
147,Siamese,4652,0.9908518683838647,0.9793331302696722,upsample
148,AugWithin,4652,0.9902648781065689,0.9764635200441425,upsample
149,AugOut100,4652,0.988589615576635,0.97303568698497,upsample
150,AugOutDouble,4652,0.988556561344424,0.9739413466811543,upsample
151,Standard,4652,0.9885688628074837,0.9721203167086199,upsample
152,NStandard,4652,0.9903725978828369,0.9770095722944111,upsample
153,NAugWithin,4652,0.9916213391776741,0.9800561752280121,upsample
154,NAugOut100,4652,0.9904011355847585,0.9779390979552531,upsample
155,NAugOutDouble,4652,0.9908147736023083,0.9789851093163151,upsample
156,RCSumPool,6806,0.9922786265516979,0.9815810949849492,upsample
157,RCSumPoolBias,6806,0.9922085515794106,0.981359773938482,upsample
158,RCWeight,6806,0.9918784323514729,0.9799013965317056,upsample
159,Siamese,6806,0.9911647571016357,0.9801940713447586,upsample
160,AugWithin,6806,0.9905590025977983,0.977041664067939,upsample
161,AugOut100,6806,0.9884450971847314,0.9725461624216003,upsample
162,AugOutDouble,6806,0.9888335928310923,0.9740445851912288,upsample
163,Standard,6806,0.9889003782461901,0.9730404755609534,upsample
164,NStandard,6806,0.9907252468754494,0.9779520172734663,upsample
165,NAugWithin,6806,0.9915216899227429,0.9798024711504174,upsample
166,NAugOut100,6806,0.9904683123619655,0.9775212982604238,upsample
167,NAugOutDouble,6806,0.9910511880484358,0.9788418378994383,upsample
168,RCSumPool,7626,0.9920842570889429,0.9813288806786234,upsample
