,Model Type,seed,Held-out AuROC,Held-out AuPRC,Imbalance
0,RCSumPool,1535,0.9914526303764691,0.9796430636832266,upsample
1,RCSumPoolBias,1535,0.992009697318429,0.9807048646817615,upsample
2,RCSumPoolBiasHalf,1535,0.9906981688484223,0.9795704379796788,upsample
3,RCWeight,1535,0.9915489371874391,0.9794725106586896,upsample
4,Siamese,1535,0.9916888015434476,0.9798155641095776,upsample
5,Standard,1535,0.988287589801738,0.973131797283016,upsample
6,AugWithin,1535,0.990282214390279,0.9770825760114831,upsample
7,AugOut100,1535,0.9890166551020926,0.9739026797357708,upsample
8,AugOutDouble,1535,0.9894818788766002,0.9749571588721109,upsample
9,NStandard,1535,0.9902559931289506,0.9775179105605941,upsample
10,NAugWithin,1535,0.9916726816554828,0.9800947473266326,upsample
11,NAugOut100,1535,0.9907976382883301,0.9782553351527191,upsample
12,NAugOutDouble,1535,0.9913591794511624,0.9794363251716101,upsample
13,RCSumPool,9999,0.9913817515252544,0.9803036348309491,upsample
14,RCSumPoolBias,9999,0.9922580324428611,0.9811384435300264,upsample
15,RCSumPoolBiasHalf,9999,0.991381116883996,0.9810406000299181,upsample
16,RCWeight,9999,0.9921326484848998,0.9809863957020061,upsample
17,Siamese,9999,0.9909646335581375,0.9783302074585325,upsample
18,Standard,9999,0.9883131975765166,0.9728682211139426,upsample
19,AugWithin,9999,0.9901675981790027,0.9771721576750709,upsample
20,AugOut100,9999,0.9881292468077545,0.9720667972295451,upsample
21,AugOutDouble,9999,0.9881033640217638,0.9729895745725473,upsample
22,NStandard,9999,0.9903186322211599,0.977616703718471,upsample
23,NAugWithin,9999,0.9914937445526626,0.9798950744481869,upsample
24,NAugOut100,9999,0.9903417966270933,0.9772362017971884,upsample
25,NAugOutDouble,9999,0.9905608853668649,0.9777456336218122,upsample
26,RCSumPool,4652,0.9919733641063827,0.9807924485616801,upsample
27,RCSumPoolBias,4652,0.9922061187879198,0.9810574588176804,upsample
28,RCSumPoolBiasHalf,4652,0.9917541167062967,0.9805239390672766,upsample
29,RCWeight,4652,0.992239627846366,0.9815919668654502,upsample
30,Siamese,4652,0.9908518683838647,0.9793331302696722,upsample
31,Standard,4652,0.9885688628074837,0.9721203167086199,upsample
32,AugWithin,4652,0.9902648781065689,0.9764635200441425,upsample
33,AugOut100,4652,0.988589615576635,0.97303568698497,upsample
34,AugOutDouble,4652,0.988556561344424,0.9739413466811543,upsample
35,NStandard,4652,0.9903725978828369,0.9770095722944111,upsample
36,NAugWithin,4652,0.9916213391776741,0.9800561752280121,upsample
37,NAugOut100,4652,0.9904011355847585,0.9779390979552531,upsample
38,NAugOutDouble,4652,0.9908147736023083,0.9789851093163151,upsample
39,RCSumPool,6806,0.9922786265516979,0.9815810949849492,upsample
40,RCSumPoolBias,6806,0.9922085515794106,0.981359773938482,upsample
41,RCSumPoolBiasHalf,6806,0.9915782681909339,0.9804520801554465,upsample
42,RCWeight,6806,0.9918784323514729,0.9799013965317056,upsample
43,Siamese,6806,0.9911647571016357,0.9801940713447586,upsample
44,Standard,6806,0.9889003782461901,0.9730404755609534,upsample
45,AugWithin,6806,0.9905590025977983,0.977041664067939,upsample
46,AugOut100,6806,0.9884450971847314,0.9725461624216003,upsample
47,AugOutDouble,6806,0.9888335928310923,0.9740445851912288,upsample
48,NStandard,6806,0.9907252468754494,0.9779520172734663,upsample
49,NAugWithin,6806,0.9915216899227429,0.9798024711504174,upsample
50,NAugOut100,6806,0.9904683123619655,0.9775212982604238,upsample
51,NAugOutDouble,6806,0.9910511880484358,0.9788418378994383,upsample
52,RCSumPool,7626,0.9920842570889429,0.9813288806786234,upsample
53,RCSumPoolBias,7626,0.9913794562393697,0.9791226083897757,upsample
54,RCSumPoolBiasHalf,7626,0.9901236069624376,0.9786502359140561,upsample
55,RCWeight,7626,0.9918961811520008,0.9797219215978695,upsample
56,Siamese,7626,0.9911791528808482,0.9790852530331062,upsample
57,Standard,7626,0.9877866991885054,0.9722044556834277,upsample
58,AugWithin,7626,0.9898018544217572,0.9757509870651727,upsample
59,AugOut100,7626,0.9880255146940606,0.9720849014694586,upsample
60,AugOutDouble,7626,0.9889841191602428,0.9737898135632147,upsample
61,NStandard,7626,0.9901185298323701,0.9770537487799423,upsample
62,NAugWithin,7626,0.9913857497651826,0.9794174897939927,upsample
63,NAugOut100,7626,0.9897663779754099,0.9760935434825273,upsample
64,NAugOutDouble,7626,0.9910788266752414,0.9788431373109586,upsample
65,RCSumPool,2143,0.9922987658342993,0.981782861139515,upsample
66,RCSumPoolBias,2143,0.9920772019936198,0.9813102269445706,upsample
67,RCSumPoolBiasHalf,2143,0.9915338115707795,0.9805689423688237,upsample
68,RCWeight,2143,0.9922440491804666,0.9819251846587788,upsample
69,Siamese,2143,0.9905176768745187,0.9779433921397247,upsample
70,Standard,2143,0.9880607372839048,0.9721310312395838,upsample
71,AugWithin,2143,0.9908286193590969,0.9783690589495955,upsample
72,AugOut100,2143,0.9889184760994102,0.9741926634634868,upsample
73,AugOutDouble,2143,0.9887702133240818,0.9733185258030491,upsample
74,NStandard,2143,0.9900697893837211,0.9768941554988159,upsample
75,NAugWithin,2143,0.9915539296986723,0.9800804633311493,upsample
76,NAugOut100,2143,0.9909365929918682,0.9787495110516112,upsample
77,NAugOutDouble,2143,0.9908225902671416,0.9782212334229123,upsample
78,RCSumPool,3578,0.9918124825473654,0.9808767233097518,upsample
79,RCSumPoolBias,3578,0.9918877086912005,0.9809240924753581,upsample
80,RCSumPoolBiasHalf,3578,0.9910297794833174,0.9806084600086434,upsample
81,RCWeight,3578,0.9920641601157587,0.9805752569710792,upsample
82,Siamese,3578,0.9912131696523011,0.978975805675693,upsample
83,Standard,3578,0.9889285668954195,0.9721353324568084,upsample
84,AugWithin,3578,0.9894034583717645,0.9756481593283655,upsample
85,AugOut100,3578,0.988029068685108,0.9712380822698504,upsample
86,AugOutDouble,3578,0.9884153113550015,0.9727189238498118,upsample
87,NStandard,3578,0.9908572416798532,0.9773524519054333,upsample
88,NAugWithin,3578,0.9911088240520576,0.97925446751553,upsample
89,NAugOut100,3578,0.9902749054384524,0.9768057856959166,upsample
90,NAugOutDouble,3578,0.9906713552552527,0.9782444828453042,upsample
91,RCSumPool,1780,0.9923829404198786,0.9815511935815869,upsample
92,RCSumPoolBias,1780,0.991647951801112,0.9803199286447631,upsample
93,RCSumPoolBiasHalf,1780,0.9919434301936925,0.9807772382265812,upsample
94,RCWeight,1780,0.9919817836804116,0.9806333838485053,upsample
95,Siamese,1780,0.9908613456933245,0.9788224461029695,upsample
96,Standard,1780,0.9880437394755326,0.9719000165812063,upsample
97,AugWithin,1780,0.9894962323463957,0.9758302636124977,upsample
98,AugOut100,1780,0.9887689863509821,0.972827901476633,upsample
99,AugOutDouble,1780,0.9887931873376375,0.9738161502676794,upsample
100,NStandard,1780,0.9898879752405291,0.9767086972792506,upsample
101,NAugWithin,1780,0.9908756568537026,0.9788515185671828,upsample
102,NAugOut100,1780,0.9902993179721944,0.9770138260234325,upsample
103,NAugOutDouble,1780,0.990894590317913,0.9786604416369985,upsample
104,RCSumPool,6117,0.9920091578733594,0.9809000751211036,upsample
105,RCSumPoolBias,6117,0.9922265753911504,0.981024331917347,upsample
106,RCSumPoolBiasHalf,6117,0.9904139130287621,0.9779513988355693,upsample
107,RCWeight,6117,0.9926267167046042,0.9823087136577336,upsample
108,Siamese,6117,0.9910247023532498,0.9789438944462923,upsample
109,Standard,6117,0.9882666572175633,0.9725673967509083,upsample
110,AugWithin,6117,0.9898549104309639,0.9755344179242915,upsample
111,AugOut100,6117,0.9885507437995549,0.9724651253092318,upsample
112,AugOutDouble,6117,0.9882735959619893,0.9736072182774661,upsample
113,NStandard,6117,0.9903869513526322,0.9773444893360245,upsample
114,NAugWithin,6117,0.9912011643551623,0.9790601466636847,upsample
115,NAugOut100,6117,0.9905295869754691,0.9778166503396408,upsample
116,NAugOutDouble,6117,0.9906323459725664,0.9785862955960197,upsample
117,RCSumPool,9295,0.9917075128832176,0.9804592956375398,upsample
118,RCSumPoolBias,9295,0.9921927278573665,0.9817035759288467,upsample
119,RCSumPoolBiasHalf,9295,0.9916830897721215,0.9802256803559007,upsample
120,RCWeight,9295,0.9917646411738325,0.981467901325091,upsample
121,Siamese,9295,0.9912628937949007,0.9793158282380865,upsample
122,Standard,9295,0.9888514791372264,0.9737674069935475,upsample
123,AugWithin,9295,0.9900991521192788,0.9763399793852263,upsample
124,AugOut100,9295,0.9888785571642535,0.9733451942630031,upsample
125,AugOutDouble,9295,0.9892251982196197,0.9741599424413984,upsample
126,NStandard,9295,0.990433861918986,0.9776560485581416,upsample
127,NAugWithin,9295,0.9914139172597037,0.9796106459664371,upsample
128,NAugOut100,9295,0.9908921152170049,0.9785346517827351,upsample
129,NAugOutDouble,9295,0.9912081136769422,0.9789169228866476,upsample
