,Model Type,seed,Held-out AuROC,Held-out AuPRC,Early Stopping Metric
0,RC,1535,0.8863568539243684,0.817370052625423,auroc
1,Siamese,1535,0.7461141988086011,0.6083163179716724,auroc
2,Standard,1535,0.6617015736959063,0.5041843413348803,auroc
3,AugWithin,1535,0.7545057955787461,0.6165587746731255,auroc
4,NAugWithin,1535,0.7962885506875953,0.6765156023711674,auroc
5,AugOutside,1535,0.667198445778026,0.5069322121982943,auroc
6,AugOutsideDouble,1535,0.6664433458796744,0.5084716859849432,auroc
7,NAugOutside,1535,0.7033431754120859,0.5479352890667833,auroc
8,NAugOutsideDouble,1535,0.7058911429641364,0.551424822063618,auroc
9,NStandard,1535,0.699211148457182,0.5440712073954058,auroc
10,RC,9999,0.894810709435614,0.8265890459638747,auroc
11,Siamese,9999,0.7459625130459085,0.6052946555971639,auroc
12,Standard,9999,0.6816348776254477,0.5257083750956971,auroc
13,AugWithin,9999,0.7588050653301283,0.6240313977810258,auroc
14,NAugWithin,9999,0.7906113770133648,0.6671475715304339,auroc
15,AugOutside,9999,0.6906955170007488,0.5314558382811415,auroc
16,AugOutsideDouble,9999,0.6792439235058603,0.5209349314936472,auroc
17,NAugOutside,9999,0.730011917491782,0.5802709590711049,auroc
18,NAugOutsideDouble,9999,0.7177473183006485,0.5690512365415957,auroc
19,NStandard,9999,0.6981446844077676,0.5381618206956009,auroc
20,RC,4652,0.759175161850338,0.6186932935511852,auroc
21,Siamese,4652,0.7479129747915015,0.6076929033702925,auroc
22,Standard,4652,0.694896126541556,0.539453608173647,auroc
23,AugWithin,4652,0.7618956317128687,0.6259356876335764,auroc
24,NAugWithin,4652,0.7940071974224202,0.671145413500612,auroc
25,AugOutside,4652,0.6995260305013534,0.544012274619483,auroc
26,AugOutsideDouble,4652,0.6905084806584574,0.5364751412962557,auroc
27,NAugOutside,4652,0.7408061499419674,0.5982728742202198,auroc
28,NAugOutsideDouble,4652,0.7306705641189645,0.5884247361592768,auroc
29,NStandard,4652,0.7357205664808637,0.5884425457741836,auroc
30,RC,6806,0.8916426444581997,0.8270900109808191,auroc
31,Siamese,6806,0.7181715228657722,0.5682839487606961,auroc
32,Standard,6806,0.6411710361402192,0.47070808665233627,auroc
33,AugWithin,6806,0.761481243240747,0.6247460337962468,auroc
34,NAugWithin,6806,0.7918069149846598,0.6671498529331678,auroc
35,AugOutside,6806,0.6523942408758562,0.48371020896035066,auroc
36,AugOutsideDouble,6806,0.6495404811677046,0.4777344396362951,auroc
37,NAugOutside,6806,0.6973912863930772,0.5383113109138534,auroc
38,NAugOutsideDouble,6806,0.6919622047666237,0.5307098374885916,auroc
39,NStandard,6806,0.6797029115643826,0.5187803530183467,auroc
40,RC,7626,0.8877835717275883,0.8192138661720424,auroc
41,Siamese,7626,0.7335211459925471,0.590227702307518,auroc
42,Standard,7626,0.6605885759795386,0.4993246188034904,auroc
43,AugWithin,7626,0.7501688786202519,0.6125696278399778,auroc
44,NAugWithin,7626,0.7832465590809047,0.6580428380753575,auroc
45,AugOutside,7626,0.6666737776604076,0.5087031864422579,auroc
