,Model Type,seed,Held-out AuROC,Held-out AuPRC,Early Stopping Metric
0,RC,1535,0.9450964378692658,0.9107253919757713,auroc
1,Siamese,1535,0.9444099487715739,0.9096127220058708,auroc
2,Standard,1535,0.9152520708265062,0.8634034678367589,auroc
3,AugWithin,1535,0.9513798273339318,0.9212542722934649,auroc
4,NAugWithin,1535,0.9660318860282692,0.9446786362941156,auroc
5,AugOutside,1535,0.9207842482701878,0.8742075472756173,auroc
6,AugOutsideDouble,1535,0.9174591144547417,0.8688168283868779,auroc
7,NAugOutside,1535,0.9487207961025773,0.9165168014000925,auroc
8,NAugOutsideDouble,1535,0.9462862939938602,0.9130147261094882,auroc
9,NStandard,1535,0.9442739147057916,0.9090599457007308,auroc
10,RC,9999,0.9745177951370768,0.9585853495758658,auroc
11,Siamese,9999,0.9461060074226073,0.9129509608444257,auroc
12,Standard,9999,0.9235575961629433,0.877405114909041,auroc
13,AugWithin,9999,0.9511747885158028,0.9209592067414597,auroc
14,NAugWithin,9999,0.96629677144236,0.9452175903724093,auroc
15,AugOutside,9999,0.9238665467191639,0.8758810379293854,auroc
16,AugOutsideDouble,9999,0.9221618950598592,0.8746113334387456,auroc
17,NAugOutside,9999,0.949576575711896,0.9175961676964386,auroc
18,NAugOutsideDouble,9999,0.9479820947728282,0.9154005620597419,auroc
19,NStandard,9999,0.9499463293680587,0.9188484243649135,auroc
20,RC,4652,0.9618127020900958,0.9373708715766828,auroc
21,Siamese,4652,0.9413020264989546,0.9064773451243603,auroc
22,Standard,4652,0.9155218946517136,0.8644137746423745,auroc
23,AugWithin,4652,0.9413394175505269,0.9060354102178195,auroc
24,NAugWithin,4652,0.9589331909123961,0.9341233031412094,auroc
25,AugOutside,4652,0.9166821467695431,0.8660770883671968,auroc
26,AugOutsideDouble,4652,0.9144578703984574,0.8622571459217673,auroc
27,NAugOutside,4652,0.9452482712454411,0.9104965099995931,auroc
28,NAugOutsideDouble,4652,0.9452509273747184,0.91067573987009,auroc
29,NStandard,4652,0.9453342061488595,0.910963131649179,auroc
30,RC,6806,0.9635829778880988,0.9399127085078528,auroc
31,Siamese,6806,0.9444936832937526,0.9088825596690372,auroc
32,Standard,6806,0.9235316450282615,0.8760719495061409,auroc
33,AugWithin,6806,0.9494799425361311,0.9171441606616516,auroc
34,NAugWithin,6806,0.9631439912721781,0.9392862007478815,auroc
35,AugOutside,6806,0.9240432262258329,0.8777122439364599,auroc
36,AugOutsideDouble,6806,0.9184942619550626,0.8672358725014196,auroc
37,NAugOutside,6806,0.9504634135631247,0.9191631682801416,auroc
38,NAugOutsideDouble,6806,0.9468664186134768,0.9132258287371328,auroc
39,NStandard,6806,0.9500922681440424,0.918237136436565,auroc
40,RC,7626,0.9652036644626305,0.9427082927938665,auroc
41,Siamese,7626,0.9468964150326927,0.914245591304767,auroc
42,Standard,7626,0.9205434309480723,0.8731256817961851,auroc
43,AugWithin,7626,0.955050997327421,0.926079918678627,auroc
44,NAugWithin,7626,0.9694490022849619,0.9494090538165993,auroc
45,AugOutside,7626,0.9225013392851812,0.8755337019314148,auroc
46,AugOutsideDouble,7626,0.919703394437715,0.8716995036832008,auroc
47,NAugOutside,7626,0.9505288541690917,0.9198028511439702,auroc
48,NAugOutsideDouble,7626,0.9490080641047678,0.9185827053437358,auroc
49,NStandard,7626,0.9489959788268058,0.9181676428160195,auroc
50,RC,2143,0.9733089568917239,0.955656464535496,auroc
51,Siamese,2143,0.9487990567009482,0.9157174333580942,auroc
52,Standard,2143,0.9154512299577814,0.8643859913239137,auroc
53,AugWithin,2143,0.9484378304533726,0.9166767273293489,auroc
54,NAugWithin,2143,0.9635923475140937,0.9399555287302824,auroc
55,AugOutside,2143,0.9201538198416014,0.871175721582382,auroc
56,AugOutsideDouble,2143,0.9137210602002787,0.8591824390498033,auroc
57,NAugOutside,2143,0.9475713434441024,0.9144423745692801,auroc
58,NAugOutsideDouble,2143,0.9428312680607848,0.9055867792779916,auroc
59,NStandard,2143,0.9433824497050279,0.9069674277259155,auroc
60,RC,3578,0.962204393224786,0.9375895664926696,auroc
61,Siamese,3578,0.9435730964519656,0.909175627199943,auroc
62,Standard,3578,0.9212200630681281,0.8732955466691202,auroc
63,AugWithin,3578,0.9507211063927802,0.9211505133197281,auroc
64,NAugWithin,3578,0.9658484445181307,0.9445533979344782,auroc
65,AugOutside,3578,0.9224322992598584,0.8750880410706227,auroc
66,AugOutsideDouble,3578,0.9143489056240971,0.8642034748319669,auroc
67,NAugOutside,3578,0.9497626897360427,0.9171448367158931,auroc
68,NAugOutsideDouble,3578,0.9442215197926269,0.9100867674237064,auroc
69,NStandard,3578,0.9489427985239467,0.9157692694183345,auroc
70,RC,1780,0.9563385031741737,0.9286997857115543,auroc
71,Siamese,1780,0.9403354206127993,0.904136131642454,auroc
72,Standard,1780,0.9154502528007061,0.8642592036693073,auroc
73,AugWithin,1780,0.9498652300812243,0.9200957875652839,auroc
74,NAugWithin,1780,0.9628586466246812,0.9398767062861069,auroc
75,AugOutside,1780,0.9169743322923513,0.8673764238519616,auroc
76,AugOutsideDouble,1780,0.9115003343865186,0.8588202526283636,auroc
77,NAugOutside,1780,0.9465323324837618,0.9146532047219659,auroc
78,NAugOutsideDouble,1780,0.9439258491072279,0.9096403085135881,auroc
79,NStandard,1780,0.9463456709381514,0.9140891999835494,auroc
80,RC,6117,0.962971667301276,0.9379956978255816,auroc
81,Siamese,6117,0.9454458740867833,0.9119768108014795,auroc
82,Standard,6117,0.9206570822659254,0.8710219294834429,auroc
83,AugWithin,6117,0.9516936713191549,0.9225876007152455,auroc
84,NAugWithin,6117,0.9669342987795586,0.9456991424699209,auroc
85,AugOutside,6117,0.9205365084776017,0.871931750055273,auroc
86,AugOutsideDouble,6117,0.9158820074264046,0.8645158363731443,auroc
87,NAugOutside,6117,0.9487866550712619,0.9170134489444853,auroc
88,NAugOutsideDouble,6117,0.9456829041085548,0.9132102767454081,auroc
89,NStandard,6117,0.9498963052483989,0.9186024580974056,auroc
90,RC,9295,0.9440183196068292,0.9092931192582739,auroc
91,Siamese,9295,0.941122249644409,0.9051591674206924,auroc
92,Standard,9295,0.9230631852700162,0.8755104408218181,auroc
93,AugWithin,9295,0.9457837338094559,0.9135218323976336,auroc
94,NAugWithin,9295,0.9624026793841142,0.9385342609577577,auroc
95,AugOutside,9295,0.9243694480714898,0.8789916487364918,auroc
96,AugOutsideDouble,9295,0.9217639915384738,0.8739709437669626,auroc
97,NAugOutside,9295,0.9521508112922161,0.9228505698188533,auroc
98,NAugOutsideDouble,9295,0.9497343066993883,0.9177555837375632,auroc
99,NStandard,9295,0.9488633163846955,0.9164748114837223,auroc
100,RC,1535,0.945106633574336,0.9112718948477451,loss
101,Siamese,1535,0.9425715009944104,0.9065918330350226,loss
102,Standard,1535,0.9146466330910413,0.8624727397971282,loss
103,AugWithin,1535,0.950621351594927,0.9198793070332586,loss
104,NAugWithin,1535,0.965101067688772,0.9430809116591359,loss
105,AugOutside,1535,0.9198056793950974,0.8728747494256343,loss
106,AugOutsideDouble,1535,0.9167135904490505,0.8675975629592271,loss
107,NAugOutside,1535,0.9490913097025656,0.9171872674982237,loss
108,NAugOutsideDouble,1535,0.9455228802079167,0.9117129560020819,loss
109,NStandard,1535,0.9435547929924498,0.9079263006101755,loss
110,RC,9999,0.9719131888661239,0.9547799827751421,loss
111,Siamese,9999,0.9456351640224233,0.9119507821230286,loss
112,Standard,9999,0.9225401636650302,0.8755352910704813,loss
113,AugWithin,9999,0.9513442763584408,0.9212133084497799,loss
114,NAugWithin,9999,0.9660306845535095,0.9448313502693594,loss
115,AugOutside,9999,0.9222345973910397,0.8743646943090573,loss
116,AugOutsideDouble,9999,0.921810822463399,0.873918205288941,loss
117,NAugOutside,9999,0.9495899053148511,0.9182398036014944,loss
118,NAugOutsideDouble,9999,0.9476922659084274,0.9148800218549269,loss
119,NStandard,9999,0.949899301560968,0.9188219754988797,loss
120,RC,4652,0.9612679348631338,0.9365413451506844,loss
121,Siamese,4652,0.9397800412554688,0.90416083720402,loss
122,Standard,4652,0.9155218946517136,0.8644137746423745,loss
123,AugWithin,4652,0.9372647693866605,0.8994166634180124,loss
124,NAugWithin,4652,0.9557541107466935,0.929089587912742,loss
125,AugOutside,4652,0.9149279945338646,0.8630826396955111,loss
126,AugOutsideDouble,4652,0.9136256657490581,0.8610543265993625,loss
127,NAugOutside,4652,0.9435208165239395,0.9075539714739066,loss
128,NAugOutsideDouble,4652,0.945326374249667,0.9109389405323287,loss
129,NStandard,4652,0.9443300353989246,0.9091624002753798,loss
130,RC,6806,0.9628837849355781,0.9389481655154613,loss
131,Siamese,6806,0.944463828444849,0.9087229329820099,loss
132,Standard,6806,0.9228541415214072,0.8751597659752576,loss
133,AugWithin,6806,0.9494799425361311,0.9171441606616516,loss
134,NAugWithin,6806,0.962892702700357,0.9388319932469873,loss
135,AugOutside,6806,0.9227359029986858,0.8756006603552443,loss
136,AugOutsideDouble,6806,0.91832325045834,0.8667747883360574,loss
137,NAugOutside,6806,0.9506432909326793,0.9193175182694883,loss
138,NAugOutsideDouble,6806,0.9469111020365476,0.9132807149673772,loss
139,NStandard,6806,0.9493345843749976,0.9169504364455344,loss
140,RC,7626,0.9647008902082709,0.942232184829486,loss
141,Siamese,7626,0.9468386126357292,0.9138208456776037,loss
142,Standard,7626,0.9202162769806973,0.872587293867829,loss
143,AugWithin,7626,0.9546483487590405,0.9254355670620616,loss
144,NAugWithin,7626,0.9690042349063354,0.9488298372998049,loss
145,AugOutside,7626,0.9200619182081821,0.8723663434137471,loss
146,AugOutsideDouble,7626,0.9193381669554749,0.8710375774079132,loss
147,NAugOutside,7626,0.9504862695343169,0.9199753203995584,loss
148,NAugOutsideDouble,7626,0.9484828191557261,0.9176781610706145,loss
